,availability_Unit 1,availability_Unit 2,availability_Unit 3,availability_Unit 4,demand_EOM,availability_Solar,availability_Biomass,availability_Wind offshore,availability_Hydro,availability_Wind onshore,fuel_price_uranium,fuel_price_lignite,fuel_price_hard coal,fuel_price_natural gas,fuel_price_oil,fuel_price_biomass,fuel_price_co2,price_EOM,residual_load_EOM
2019-01-15 18:00:00,1,1,1,1,3737.35,0.0,0.5932853717026378,0.39811507936507934,0.33755060728744934,0.6598185749200978,1,2,10,25,40,20,25,24.0,1928.5575309537237
2019-01-15 19:00:00,1,1,1,1,3652.3,0.0,0.5955935251798561,0.41779100529100527,0.3336538461538461,0.6541549163376574,1,2,10,25,40,20,25,24.0,1849.7963070394546
2019-01-15 20:00:00,1,1,1,1,3463.9,0.0,0.5880395683453238,0.4184523809523809,0.34463562753036436,0.6429404023312653,1,2,10,25,40,20,25,24.0,1689.1680417908847
2019-01-15 21:00:00,1,1,1,1,3288.4,0.0,0.5908273381294964,0.42549603174603173,0.3443825910931174,0.6255922165820643,1,2,10,25,40,20,25,24.0,1554.2210458464265
2019-01-15 22:00:00,1,1,1,1,3138.75,0.0,0.5904676258992806,0.45410052910052906,0.3453947368421052,0.594928557999624,1,2,10,25,40,20,25,24.0,1469.7883933607284
2019-01-15 23:00:00,1,1,1,1,2929.25,0.0,0.5925959232613909,0.4681547619047619,0.34529352226720644,0.5852368866328257,1,2,10,25,40,20,25,20.0,1278.8958786560308
2019-01-16 00:00:00,1,1,1,1,2758.1,0.0,0.5913369304556355,0.4709325396825397,0.340080971659919,0.5699003572100019,1,2,10,25,40,20,25,20.0,1144.9760911019794
2019-01-16 01:00:00,1,1,1,1,2650.55,0.0,0.5879496402877697,0.4768849206349206,0.33496963562753035,0.5487403647302125,1,2,10,25,40,20,25,20.0,1087.9451199205007
2019-01-16 02:00:00,1,1,1,1,2596.6,0.0,0.5884592326139089,0.46765873015873016,0.3450910931174089,0.5285297988343673,1,2,10,25,40,20,25,20.0,1088.2120108505894
2019-01-16 03:00:00,1,1,1,1,2604.8500000000004,0.0,0.5873201438848921,0.448478835978836,0.33137651821862346,0.5180673058845647,1,2,10,25,40,20,25,20.0,1130.290200897054
2019-01-16 04:00:00,1,1,1,1,2680.2,0.0,0.5866306954436451,0.4579034391534391,0.32813765182186233,0.5066177852979884,1,2,10,25,40,20,25,20.0,1230.4941610936532
2019-01-16 05:00:00,1,1,1,1,2839.9,0.0,0.5869604316546763,0.426223544973545,0.3185222672064777,0.47985993607821015,1,2,10,25,40,20,25,24.0,1469.760741815057
2019-01-16 06:00:00,1,1,1,1,3240.25,0.0,0.5870203836930455,0.49580026455026455,0.3144230769230769,0.46619195337469443,1,2,10,25,40,20,25,24.0,1876.4500107431581
2019-01-16 07:00:00,1,1,1,1,3586.95,5.11665984445354e-06,0.5885191846522781,0.5648809523809524,0.3117914979757085,0.4540092122579432,1,2,10,25,40,20,25,24.0,2225.9617967531494
2019-01-16 08:00:00,1,1,1,1,3694.8,0.0061502251330331,0.590257793764988,0.6391534391534391,0.3119433198380567,0.4384141755969167,1,2,10,25,40,20,25,43.75,2327.7276225137502
2019-01-16 09:00:00,1,1,1,1,3700.25,0.036358984854686804,0.5891786570743405,0.702744708994709,0.31002024291497976,0.4368913329573228,1,2,10,25,40,20,25,24.0,2236.0263218720925
2019-01-16 10:00:00,1,1,1,1,3742.0,0.0795998772001637,0.589658273381295,0.7081018518518518,0.3165485829959514,0.44823745064861814,1,2,10,25,40,20,25,24.0,2139.1659396373047
2019-01-16 11:00:00,1,1,1,1,3774.15,0.1159230454359394,0.5897182254196642,0.6907076719576719,0.3209514170040485,0.4636303816506862,1,2,10,25,40,20,25,24.0,2048.9833635003674
2019-01-16 12:00:00,1,1,1,1,3745.85,0.13112464183381087,0.590947242206235,0.6932539682539682,0.31933198380566796,0.4697123519458545,1,2,10,25,40,20,25,24.0,1966.4559282492492
2019-01-16 13:00:00,1,1,1,1,3737.8,0.12468788374948828,0.5900179856115108,0.6675595238095238,0.3204453441295546,0.46935044181237073,1,2,10,25,40,20,25,24.0,1985.6803765715433
2019-01-16 14:00:00,1,1,1,1,3665.45,0.0931897257470323,0.5910071942446044,0.6660383597883598,0.32110323886639675,0.45215266027448764,1,2,10,25,40,20,25,24.0,2035.6786910308563
2019-01-16 15:00:00,1,1,1,1,3641.9,0.0425603765861645,0.5904976019184652,0.6664682539682539,0.3204453441295546,0.44038353073886066,1,2,10,25,40,20,25,24.0,2167.9529301001357
2019-01-16 16:00:00,1,1,1,1,3641.2,0.005776708964388039,0.5914868105515587,0.6331349206349206,0.312246963562753,0.4457134799774393,1,2,10,25,40,20,25,24.0,2259.220559391463
2019-01-16 17:00:00,1,1,1,1,3782.85,0.0,0.5911870503597123,0.6271164021164022,0.31634615384615383,0.4565002820078962,1,2,10,25,40,20,25,43.75,2390.7527341336986
2019-01-16 18:00:00,1,1,1,1,3759.9,0.0,0.5961031175059952,0.6230489417989418,0.3093623481781376,0.4737262643354014,1,2,10,25,40,20,25,43.75,2326.36476244192
2019-01-16 19:00:00,1,1,1,1,3677.9,0.0,0.5957434052757794,0.6125,0.3093623481781377,0.4989894717052077,1,2,10,25,40,20,25,24.0,2185.426320736981
2019-01-16 20:00:00,1,1,1,1,3464.55,0.0,0.5948141486810552,0.6546626984126984,0.31260121457489876,0.5141003948110547,1,2,10,25,40,20,25,24.0,1917.433933607284
2019-01-16 21:00:00,1,1,1,1,3290.15,0.0,0.5960131894484413,0.6250992063492063,0.31411943319838054,0.5325390110923105,1,2,10,25,40,20,25,24.0,1708.7627897295415
2019-01-16 22:00:00,1,1,1,1,3143.1,0.0,0.5909172661870503,0.5686838624338625,0.3233805668016194,0.5333051325437113,1,2,10,25,40,20,25,24.0,1582.3636236671769
2019-01-16 23:00:00,1,1,1,1,2955.25,0.0,0.589658273381295,0.6058862433862434,0.3226214574898785,0.5435655198345554,1,2,10,25,40,20,25,24.0,1353.9817030591141
2019-01-17 00:00:00,1,1,1,1,2806.4,0.0,0.5871402877697842,0.62119708994709,0.3173582995951417,0.5460518894529047,1,2,10,25,40,20,25,20.0,1192.7914403889022
2019-01-17 01:00:00,1,1,1,1,2709.8,0.0,0.5843525179856115,0.6409722222222223,0.318168016194332,0.5442376386538823,1,2,10,25,40,20,25,20.0,1092.8170144764056
2019-01-17 02:00:00,1,1,1,1,2648.45,0.0,0.5851618705035971,0.7023148148148148,0.3140688259109311,0.5439979319420944,1,2,10,25,40,20,25,3.3333333333333335,1007.5292442188379
2019-01-17 03:00:00,1,1,1,1,2648.75,0.0,0.5863009592326139,0.6977182539682539,0.309665991902834,0.5522466629065614,1,2,10,25,40,20,25,3.3333333333333335,989.046041146295
2019-01-17 04:00:00,1,1,1,1,2731.2,0.0,0.5870503597122302,0.6872685185185186,0.31513157894736843,0.555743560819703,1,2,10,25,40,20,25,3.3333333333333335,1066.933690543335
2019-01-17 05:00:00,1,1,1,1,2890.55,0.0,0.5867505995203837,0.6620701058201058,0.32393724696356274,0.5448674562887761,1,2,10,25,40,20,25,20.0,1263.5533169500177
2019-01-17 06:00:00,1,1,1,1,3265.5,0.0,0.5870203836930455,0.6242724867724867,0.3137651821862348,0.537798458356834,1,2,10,25,40,20,25,24.0,1671.2948593989204
2019-01-17 07:00:00,1,1,1,1,3611.0,5.11665984445354e-06,0.5884892086330935,0.6180224867724868,0.32586032388663966,0.5193504418123708,1,2,10,25,40,20,25,24.0,2065.402109110467
2019-01-17 08:00:00,1,1,1,1,3729.15,0.0069074907900122245,0.5894184652278177,0.6137896825396825,0.31761133603238867,0.5006345177664975,1,2,10,25,40,20,25,24.0,2214.779105592853
2019-01-17 09:00:00,1,1,1,1,3723.15,0.03242939009414647,0.590257793764988,0.6123015873015873,0.3059210526315789,0.4753384094754653,1,2,10,25,40,20,25,24.0,2208.809866155336
2019-01-17 10:00:00,1,1,1,1,3752.65,0.057705689725746974,0.5887290167865707,0.6161375661375661,0.3006072874493927,0.4811947734536567,1,2,10,25,40,20,25,24.0,2158.9438155964644
2019-01-17 11:00:00,1,1,1,1,3801.5,0.07605914858780186,0.587679856115108,0.6346560846560847,0.3046052631578947,0.48863978191389357,1,2,10,25,40,20,25,24.0,2135.8902398833275
2019-01-17 12:00:00,1,1,1,1,3798.05,0.07854584527220625,0.5862110311750599,0.6592592592592592,0.30379554655870444,0.47821018988531677,1,2,10,25,40,20,25,24.0,2142.456208402489
2019-01-17 13:00:00,1,1,1,1,3778.05,0.07297891936144082,0.5890287769784173,0.6635912698412698,0.3061234817813765,0.4687441248354954,1,2,10,25,40,20,25,24.0,2158.3058815711515
2019-01-17 14:00:00,1,1,1,1,3732.3,0.05558227589029877,0.5912170263788968,0.6672619047619047,0.2982287449392712,0.4563921789810115,1,2,10,25,40,20,25,24.0,2185.4591009169626
2019-01-17 15:00:00,1,1,1,1,3685.15,0.028397462136717126,0.5911570743405276,0.6709656084656085,0.29883603238866396,0.4342310584696371,1,2,10,25,40,20,25,24.0,2260.192455097871
2019-01-17 16:00:00,1,1,1,1,3670.45,0.004006344658207075,0.5900479616306955,0.6801256613756614,0.2990890688259109,0.44406373378454594,1,2,10,25,40,20,25,24.0,2278.224539342853
2019-01-17 17:00:00,1,1,1,1,3807.35,0.0,0.5888489208633093,0.7123346560846561,0.29574898785425097,0.47257003196089487,1,2,10,25,40,20,25,43.75,2340.9910576639004
2019-01-17 18:00:00,1,1,1,1,3804.0,0.0,0.5955935251798561,0.6951058201058201,0.29392712550607286,0.4809738672682835,1,2,10,25,40,20,25,43.75,2323.5230037869633
2019-01-17 19:00:00,1,1,1,1,3701.25,0.0,0.5955935251798561,0.658531746031746,0.29630566801619435,0.48703233690543335,1,2,10,25,40,20,25,24.0,2220.256459323718
2019-01-17 20:00:00,1,1,1,1,3522.15,0.0,0.5970023980815348,0.631547619047619,0.2976214574898785,0.4893072006016168,1,2,10,25,40,20,25,24.0,2046.2629508769103
2019-01-17 21:00:00,1,1,1,1,3326.2,0.0,0.5984412470023981,0.6008597883597884,0.2953441295546559,0.48158488437676256,1,2,10,25,40,20,25,24.0,1881.8938737141782
2019-01-17 22:00:00,1,1,1,1,3166.9,0.0,0.5922661870503597,0.5726521164021164,0.30106275303643726,0.45305038541079146,1,2,10,25,40,20,25,24.0,1805.2131899121748
2019-01-17 23:00:00,1,1,1,1,2949.15,0.0,0.5893884892086331,0.4511574074074074,0.3045546558704453,0.4274581688287272,1,2,10,25,40,20,25,24.0,1700.041614965219
2019-01-18 00:00:00,1,1,1,1,2822.65,0.0,0.5838429256594724,0.40509259259259256,0.30288461538461536,0.39540327129159614,1,2,10,25,40,20,25,24.0,1672.1047847339728
2019-01-18 01:00:00,1,1,1,1,2705.15,0.0,0.5771882494004796,0.38541666666666663,0.30470647773279347,0.3672071818010904,1,2,10,25,40,20,25,24.0,1632.9653788306073
2019-01-18 02:00:00,1,1,1,1,2636.85,0.0,0.5786870503597122,0.29021164021164014,0.3040991902834008,0.33056025568715924,1,2,10,25,40,20,25,24.0,1694.3647046974456
2019-01-18 03:00:00,1,1,1,1,2651.85,0.0,0.5781175059952038,0.2630621693121693,0.30769230769230765,0.2875493513818387,1,2,10,25,40,20,25,24.0,1827.7517538205354
2019-01-18 04:00:00,1,1,1,1,2715.4,0.0,0.5828237410071943,0.24457671957671953,0.30167004048582996,0.2528858808046625,1,2,10,25,40,20,25,24.0,1985.354610157656
2019-01-18 05:00:00,1,1,1,1,2850.15,0.0,0.5810251798561151,0.2307539682539682,0.2985323886639676,0.2257238202669674,1,2,10,25,40,20,25,24.0,2193.538862030994
2019-01-18 06:00:00,1,1,1,1,3207.95,0.0,0.5815647482014389,0.255787037037037,0.3090587044534413,0.2076095130663658,1,2,10,25,40,20,25,43.75,2586.6114025192705
2019-01-18 07:00:00,1,1,1,1,3519.1,5.11665984445354e-06,0.5820443645083933,0.2720238095238095,0.3438765182186235,0.20254747132919718,1,2,10,25,40,20,25,43.75,2903.909006217872
2019-01-18 08:00:00,1,1,1,1,3623.0499999999997,0.007490790012279949,0.585431654676259,0.23306878306878304,0.3771255060728745,0.18451776649746188,1,2,10,25,40,20,25,43.75,3049.801095498132
2019-01-18 09:00:00,1,1,1,1,3612.6,0.0465155546459271,0.5859712230215828,0.21372354497354493,0.38162955465587045,0.1568339913517578,1,2,10,25,40,20,25,43.75,3018.7367170163698
2019-01-18 10:00:00,1,1,1,1,3608.0,0.10393471142038473,0.585941247002398,0.14163359788359783,0.3208502024291498,0.13126057529610824,1,2,10,25,40,20,25,43.75,2963.3583440553284
2019-01-18 11:00:00,1,1,1,1,3625.5,0.16810785918952104,0.5860911270983213,0.1296296296296296,0.31007085020242914,0.10808892648994164,1,2,10,25,40,20,25,43.75,2883.1561839494916
2019-01-18 12:00:00,1,1,1,1,3583.0,0.20425194433074084,0.5881594724220623,0.10968915343915339,0.3111842105263158,0.09441624365482228,1,2,10,25,40,20,25,43.75,2792.453868660431
2019-01-18 13:00:00,1,1,1,1,3514.85,0.20147871469504705,0.5903477218225419,0.09864417989417983,0.32302631578947366,0.09504136115811238,1,2,10,25,40,20,25,43.75,2734.0921384094295
2019-01-18 14:00:00,1,1,1,1,3457.15,0.15598137535816617,0.5880995203836931,0.09282407407407404,0.3314777327935223,0.09319420943786422,1,2,10,25,40,20,25,43.75,2797.0814083802943
2019-01-18 15:00:00,1,1,1,1,3418.0,0.0732552189930413,0.591037170263789,0.0788359788359788,0.3597165991902834,0.09241398759165251,1,2,10,25,40,20,25,43.75,2972.2925920038742
2019-01-18 16:00:00,1,1,1,1,3433.5,0.009343020875972125,0.5914568345323741,0.06200396825396823,0.353087044534413,0.10524534686971232,1,2,10,25,40,20,25,43.75,3122.2274933342014
2019-01-18 17:00:00,1,1,1,1,3599.75,0.0,0.5943045563549161,0.0682539682539682,0.36457489878542504,0.1307529610829103,1,2,10,25,40,20,25,43.75,3245.566009991137
2019-01-18 18:00:00,1,1,1,1,3587.15,0.0,0.5978117505995204,0.06226851851851845,0.36508097165991904,0.1420567775897725,1,2,10,25,40,20,25,43.75,3207.1006486181614
2019-01-18 19:00:00,1,1,1,1,3489.6,0.0,0.599910071942446,0.07509920634920633,0.34883603238866395,0.14077834179357018,1,2,10,25,40,20,25,43.75,3107.614462976392
2019-01-18 20:00:00,1,1,1,1,3290.1,0.0,0.6013489208633094,0.08373015873015865,0.3505566801619433,0.13352133859748067,1,2,10,25,40,20,25,43.75,2922.8045900142347
2019-01-18 21:00:00,1,1,1,1,3139.35,0.0,0.5999700239808153,0.09679232804232799,0.35,0.1272325625117503,1,2,10,25,40,20,25,43.75,2782.551662503693
2019-01-18 22:00:00,1,1,1,1,3022.8,0.0,0.5970023980815348,0.09824735449735447,0.35445344129554657,0.1176348937770257,1,2,10,25,40,20,25,43.75,2689.4138237584943
2019-01-18 23:00:00,1,1,1,1,2887.4,0.0,0.5941546762589928,0.12486772486772482,0.36133603238866396,0.1063310772701635,1,2,10,25,40,20,25,43.75,2571.6252168775013
2019-01-19 00:00:00,1,1,1,1,2757.35,0.0,0.592416067146283,0.15277777777777773,0.3527834008097166,0.09897067117879298,1,2,10,25,40,20,25,43.75,2448.8122109419064
2019-01-19 01:00:00,1,1,1,1,2649.3,0.0,0.5883992805755396,0.14087301587301584,0.35374493927125505,0.0958779845835683,1,2,10,25,40,20,25,43.75,2353.255832191873
2019-01-19 02:00:00,1,1,1,1,2575.25,0.0,0.5903477218225419,0.13201058201058197,0.35926113360323886,0.08316412859560063,1,2,10,25,40,20,25,24.0,2314.5354457067656
2019-01-19 03:00:00,1,1,1,1,2542.55,0.0,0.5900479616306954,0.12890211640211638,0.341497975708502,0.07813498777965777,1,2,10,25,40,20,25,24.0,2295.651683990009
2019-01-19 04:00:00,1,1,1,1,2529.4,0.0,0.5894184652278178,0.12232142857142853,0.34807692307692306,0.08109607068997927,1,2,10,25,40,20,25,24.0,2277.7312518464805
2019-01-19 05:00:00,1,1,1,1,2521.0,0.0,0.5891187050359712,0.14497354497354492,0.3297064777327935,0.07926301936454215,1,2,10,25,40,20,25,24.0,2264.853033599227
2019-01-19 06:00:00,1,1,1,1,2554.15,0.0,0.5924460431654677,0.17843915343915337,0.3260627530364372,0.07710095882684712,1,2,10,25,40,20,25,24.0,2290.021941557221
2019-01-19 07:00:00,1,1,1,1,2689.6,5.11665984445354e-06,0.5930455635491607,0.19361772486772486,0.3242914979757085,0.08379394623049442,1,2,10,25,40,20,25,43.75,2402.6552528270627
2019-01-19 08:00:00,1,1,1,1,2868.35,0.012489766680311026,0.5944844124700239,0.20350529100529097,0.3255060728744939,0.08874318480917462,1,2,10,25,40,20,25,43.75,2533.8655048741693
2019-01-19 09:00:00,1,1,1,1,3016.45,0.0826289398280802,0.5968824940047961,0.2131944444444444,0.31584008097165994,0.08308892648994165,1,2,10,25,40,20,25,43.75,2516.8775564271673
2019-01-19 10:00:00,1,1,1,1,3093.5,0.17278960294719603,0.5941546762589929,0.2272486772486772,0.31826923076923075,0.06504512126339532,1,2,10,25,40,20,25,43.75,2408.0137185740505
2019-01-19 11:00:00,1,1,1,1,3114.6,0.24300040933278755,0.5959832134292566,0.2290343915343915,0.32171052631578945,0.04656890392930997,1,2,10,25,40,20,25,24.0,2299.0629602309996
2019-01-19 12:00:00,1,1,1,1,3061.4,0.26638866148178464,0.595353717026379,0.18869047619047613,0.31948380566801615,0.030856363978191324,1,2,10,25,40,20,25,24.0,2242.8112458738697
