,demand_EOM
880,2673.4
881,2678.6
882,2695.4
883,2721.6
884,2771.2
885,2794.8
886,2843.4
887,2913.2
888,3045.8
889,3131.8
890,3229.4
891,3304.2
892,3403.2
893,3446.6
894,3490.0
895,3530.0
896,3580.4
897,3598.4
898,3594.0
899,3589.6
900,3574.2
901,3589.8
902,3605.4
903,3603.2
904,3626.2
905,3630.4
906,3638.0
907,3651.0
908,3664.6
909,3664.6
910,3673.4
911,3660.0
912,3661.4
913,3652.6
914,3648.8
915,3647.6
916,3654.4
917,3646.2
918,3616.0
919,3587.2
920,3579.0
921,3578.2
922,3568.4
923,3567.0
924,3568.4
925,3554.0
926,3539.8
927,3540.0
928,3545.4
929,3550.0
930,3573.6
931,3614.0
932,3667.0
933,3686.2
934,3696.0
935,3703.0
936,3677.0
937,3655.8
938,3644.0
939,3641.2
940,3623.8
941,3588.6
942,3547.0
943,3520.6
944,3466.0
945,3418.8
946,3366.0
947,3322.4
948,3277.0
949,3230.2
950,3181.0
951,3153.0
952,3167.8
953,3138.0
954,3078.4
955,3044.8
956,2972.4
957,2926.8
958,2905.0
959,2870.0
960,2856.4
961,2823.8
962,2791.8
963,2766.4
964,2731.2
965,2706.6
966,2697.4
967,2685.2
968,2673.4
969,2675.8
970,2685.6
971,2682.8
972,2690.0
973,2694.6
974,2704.2
975,2719.2
976,2740.0
977,2758.0
978,2780.0
979,2803.6
980,2844.4
981,2873.8
982,2933.8
983,3006.2
984,3141.6
985,3255.6
986,3347.8
987,3430.6
988,3516.2
989,3569.6
990,3628.4
991,3682.0
992,3720.4
993,3730.8
994,3741.6
995,3752.6
996,3742.0
997,3754.2
998,3759.2
999,3783.6
1000,3784.2
1001,3779.2
1002,3806.2
1003,3801.8
1004,3819.0
1005,3833.4
1006,3836.4
1007,3837.4
1008,3825.8
1009,3807.6
1010,3802.6
1011,3776.0
1012,3767.4
1013,3754.0
1014,3733.4
1015,3691.6
1016,3672.6
1017,3648.4
1018,3646.8
1019,3628.0
1020,3617.8
1021,3603.0
1022,3592.4
1023,3590.2
1024,3602.6
1025,3600.2
1026,3619.6
1027,3650.6
1028,3698.6
1029,3727.6
1030,3728.8
1031,3717.0
1032,3692.0
1033,3665.2
1034,3650.6
1035,3636.2
1036,3619.0
1037,3591.0
1038,3559.2
1039,3517.8
1040,3440.8
1041,3377.2
1042,3320.0
1043,3277.6
1044,3234.8
1045,3188.4
1046,3148.4
1047,3110.0
1048,3112.2
1049,3073.6
1050,3029.4
1051,2984.2
1052,2928.4
1053,2879.4
1054,2835.8
1055,2807.6
1056,2714.6
1057,2670.2
1058,2635.0
1059,2608.6
1060,2571.4
1061,2538.0
1062,2521.6
1063,2501.8
1064,2468.0
1065,2445.6
1066,2432.4
1067,2440.4
1068,2418.2
1069,2409.0
1070,2406.2
1071,2412.0
1072,2430.0
1073,2432.6
1074,2429.6
1075,2426.4
1076,2455.4
1077,2448.2
1078,2440.8
1079,2448.2
1080,2488.0
1081,2512.2
1082,2535.4
1083,2553.0
1084,2613.0
1085,2663.8
1086,2704.6
1087,2742.4
1088,2799.6
1089,2841.8
1090,2872.0
1091,2918.8
1092,2979.4
1093,3021.0
1094,3049.4
1095,3084.0
1096,3131.4
1097,3142.2
1098,3169.0
1099,3191.4
1100,3206.2
1101,3232.8
1102,3238.2
1103,3239.4
1104,3220.8
1105,3220.6
1106,3207.2
1107,3185.8
1108,3164.2
1109,3129.0
1110,3119.4
1111,3100.2
1112,3090.0
1113,3071.6
1114,3076.0
1115,3060.6
1116,3052.8
1117,3048.8
1118,3047.2
1119,3050.4
1120,3060.4
1121,3080.4
1122,3106.6
1123,3162.8
1124,3216.8
1125,3236.2
1126,3232.2
1127,3229.4
1128,3246.0
1129,3217.6
1130,3201.4
1131,3192.6
1132,3161.6
1133,3124.8
1134,3086.8
1135,3066.4
1136,3022.8
1137,2959.0
1138,2904.8
1139,2877.8
1140,2832.6
1141,2813.0
1142,2782.0
1143,2767.4
1144,2788.2
1145,2756.8
1146,2717.4
1147,2688.4
1148,2658.2
1149,2626.0
1150,2595.0
1151,2548.4
1152,2489.2
1153,2443.6
1154,2415.4
1155,2378.0
1156,2352.6
1157,2334.8
1158,2315.8
1159,2289.0
1160,2278.0
1161,2265.0
1162,2245.6
1163,2241.4
1164,2226.6
1165,2218.4
1166,2218.4
1167,2212.0
1168,2213.6
1169,2201.2
1170,2219.0
1171,2214.0
1172,2215.8
1173,2203.4
1174,2185.8
1175,2178.0
1176,2161.8
1177,2158.8
1178,2167.0
1179,2193.4
1180,2228.2
1181,2251.0
1182,2293.4
1183,2332.6
1184,2397.0
1185,2435.8
1186,2490.4
1187,2523.0
1188,2596.4
1189,2646.4
1190,2698.2
1191,2741.2
1192,2772.0
1193,2808.2
1194,2850.2
1195,2887.4
1196,2942.4
1197,2977.6
1198,3005.2
1199,3017.6
1200,3007.4
1201,2999.2
1202,2989.4
1203,2972.4
1204,2963.0
1205,2941.0
1206,2940.4
1207,2916.0
1208,2905.6
1209,2900.6
1210,2895.2
1211,2880.8
1212,2886.0
1213,2872.0
1214,2868.2
1215,2872.0
1216,2888.8
1217,2904.8
1218,2933.2
1219,2962.8
1220,3022.6
1221,3049.0
1222,3074.2
1223,3102.0
1224,3122.0
1225,3107.6
1226,3104.0
1227,3088.2
1228,3069.8
1229,3042.2
1230,3021.6
1231,2995.8
1232,2950.6
1233,2902.6
1234,2870.2
1235,2847.6
1236,2840.4
1237,2821.2
1238,2806.8
1239,2807.6
1240,2842.0
1241,2818.0
1242,2791.6
1243,2763.2
1244,2728.4
1245,2692.2
1246,2661.2
1247,2611.4
1248,2576.8
1249,2557.2
1250,2534.0
1251,2502.2
1252,2451.8
1253,2438.4
1254,2430.8
1255,2420.4
1256,2404.6
1257,2392.8
1258,2390.0
1259,2423.6
1260,2419.6
1261,2423.2
1262,2431.4
1263,2442.6
1264,2471.4
1265,2497.2
1266,2526.8
1267,2563.6
1268,2655.6
1269,2691.2
1270,2753.0
1271,2838.4
1272,2999.8
1273,3118.8
1274,3206.4
1275,3303.6
1276,3420.4
1277,3477.2
1278,3526.2
1279,3570.4
1280,3607.0
1281,3625.8
1282,3633.2
1283,3643.6
1284,3603.6
1285,3628.0
1286,3649.8
1287,3657.0
1288,3645.2
1289,3651.4
1290,3649.8
1291,3660.8
1292,3678.2
1293,3681.4
1294,3702.8
1295,3707.0
1296,3688.2
1297,3675.2
1298,3683.0
1299,3685.6
1300,3699.4
1301,3692.0
1302,3680.8
1303,3658.6
1304,3657.6
1305,3651.2
1306,3652.8
1307,3644.2
1308,3639.4
1309,3609.4
1310,3594.2
1311,3576.2
1312,3577.8
1313,3567.8
1314,3567.2
1315,3618.6
1316,3702.0
1317,3737.2
1318,3763.8
1319,3759.4
1320,3743.2
1321,3719.2
1322,3716.8
1323,3696.6
1324,3672.0
1325,3631.6
1326,3620.8
1327,3586.4
1328,3505.2
1329,3443.8
1330,3398.6
1331,3364.4
1332,3322.4
1333,3273.6
1334,3237.8
1335,3192.0
1336,3179.6
1337,3119.4
1338,3082.2
1339,3037.8
1340,2971.4
1341,2914.2
1342,2879.4
1343,2829.6
1344,2800.6
1345,2774.8
1346,2751.2
1347,2731.4
1348,2685.2
1349,2673.0
1350,2666.8
1351,2684.8
1352,2656.8
1353,2644.2
1354,2644.2
1355,2646.8
1356,2653.8
1357,2650.2
1358,2664.6
1359,2663.6
1360,2684.8
1361,2693.2
1362,2722.0
1363,2750.2
1364,2821.8
1365,2853.4
1366,2905.0
1367,2961.0
1368,3098.6
1369,3187.2
1370,3259.4
1371,3353.0
1372,3470.2
1373,3527.6
1374,3584.8
1375,3632.6
1376,3666.6
1377,3675.8
1378,3678.4
1379,3684.6
1380,3664.8
1381,3660.6
1382,3687.6
1383,3696.0
1384,3722.2
1385,3724.2
1386,3719.8
1387,3732.0
1388,3741.4
1389,3751.2
1390,3750.4
1391,3744.2
1392,3725.2
1393,3715.8
1394,3709.6
1395,3712.0
1396,3716.6
1397,3721.2
1398,3707.2
1399,3689.6
1400,3683.8
1401,3691.8
1402,3688.4
1403,3693.8
1404,3684.0
1405,3674.6
1406,3658.4
1407,3654.6
1408,3655.4
1409,3653.0
1410,3671.6
1411,3691.0
1412,3731.6
1413,3767.6
1414,3784.8
1415,3794.0
1416,3760.6
1417,3738.2
1418,3722.0
1419,3728.6
1420,3707.2
1421,3654.8
1422,3641.6
1423,3605.6
1424,3531.8
1425,3485.8
1426,3450.6
1427,3387.4
1428,3348.2
1429,3305.4
1430,3278.4
1431,3221.6
1432,3202.4
1433,3176.2
1434,3113.8
1435,3062.6
1436,2998.8
1437,2937.0
1438,2916.8
1439,2864.4
1440,2813.4
1441,2768.0
1442,2744.6
1443,2706.4
1444,2678.8
1445,2661.0
1446,2636.6
1447,2625.8
1448,2605.2
1449,2606.0
1450,2589.4
1451,2585.8
1452,2584.0
1453,2600.8
1454,2611.8
1455,2622.8
1456,2657.2
1457,2672.6
1458,2695.6
1459,2695.4
1460,2777.0
1461,2803.2
1462,2851.8
1463,2927.6
1464,3071.0
1465,3188.0
1466,3300.4
1467,3401.6
1468,3504.8
1469,3569.6
1470,3621.6
1471,3651.8
1472,3689.6
1473,3692.0
1474,3693.4
1475,3704.2
1476,3691.6
1477,3695.6
1478,3706.0
1479,3707.8
1480,3721.6
1481,3737.8
1482,3749.6
1483,3759.0
1484,3771.8
1485,3776.6
1486,3777.8
1487,3770.4
1488,3752.0
1489,3737.8
1490,3745.0
1491,3748.6
1492,3765.4
1493,3754.6
1494,3736.0
1495,3695.2
1496,3676.2
1497,3665.6
1498,3660.6
1499,3659.4
1500,3661.2
1501,3643.4
1502,3639.2
1503,3623.8
1504,3615.4
1505,3626.4
1506,3648.0
1507,3675.0
1508,3735.2
1509,3781.2
1510,3805.8
1511,3809.2
1512,3785.2
1513,3765.0
1514,3748.0
1515,3741.4
1516,3730.8
1517,3690.0
1518,3660.0
1519,3630.8
1520,3549.6
1521,3485.6
1522,3429.0
1523,3394.0
1524,3352.2
1525,3315.0
1526,3270.8
1527,3222.6
1528,3203.4
1529,3164.4
1530,3126.0
1531,3078.6
1532,3019.0
1533,2974.4
1534,2936.0
1535,2891.6
1536,2848.2
1537,2811.8
1538,2798.8
1539,2766.8
1540,2744.6
1541,2702.2
1542,2698.6
1543,2693.8
1544,2657.4
1545,2649.0
1546,2641.2
1547,2646.2
1548,2643.8
1549,2654.8
1550,2643.4
1551,2653.0
1552,2686.0
1553,2721.8
1554,2739.6
1555,2777.4
1556,2834.4
1557,2858.8
1558,2903.8
1559,2965.2
1560,3121.6
1561,3223.2
1562,3314.0
1563,3403.2
1564,3519.2
1565,3591.4
1566,3639.0
1567,3694.4
1568,3716.4
1569,3733.0
1570,3738.4
1571,3728.8
1572,3708.8
1573,3721.6
1574,3728.2
1575,3734.0
1576,3733.8
1577,3747.2
1578,3758.4
1579,3771.2
1580,3772.4
1581,3792.0
1582,3815.2
1583,3826.4
1584,3804.8
1585,3792.6
1586,3795.6
1587,3799.2
1588,3807.8
1589,3793.2
1590,3771.2
1591,3740.0
1592,3743.6
1593,3741.6
1594,3730.4
1595,3713.6
1596,3705.2
1597,3684.4
1598,3682.6
1599,3668.4
1600,3660.0
1601,3658.4
1602,3668.6
1603,3694.8
1604,3751.4
1605,3807.0
1606,3830.8
1607,3840.2
1608,3815.8
1609,3803.4
1610,3807.4
1611,3789.4
1612,3752.6
1613,3710.4
1614,3677.2
1615,3664.8
1616,3611.8
1617,3548.8
1618,3493.6
1619,3434.4
1620,3379.2
1621,3344.0
1622,3298.4
1623,3283.2
1624,3250.8
1625,3196.6
1626,3135.8
1627,3084.4
1628,3002.2
1629,2980.6
1630,2927.4
1631,2886.4
1632,2857.6
1633,2835.0
1634,2814.2
1635,2783.8
1636,2736.8
1637,2714.2
1638,2694.6
1639,2675.0
1640,2654.8
1641,2639.0
1642,2624.0
1643,2629.6
1644,2653.6
1645,2640.2
1646,2651.0
1647,2662.6
1648,2697.4
1649,2712.8
1650,2717.0
1651,2734.4
1652,2790.0
1653,2810.4
1654,2866.2
1655,2934.0
1656,3062.6
1657,3176.0
1658,3259.0
1659,3334.2
1660,3445.0
1661,3500.8
1662,3554.6
1663,3576.0
1664,3619.6
1665,3627.2
1666,3627.2
1667,3618.2
1668,3605.0
1669,3606.8
1670,3615.6
1671,3623.0
1672,3605.8
1673,3608.8
1674,3606.2
1675,3611.2
1676,3620.8
1677,3635.2
1678,3627.6
1679,3618.4
1680,3605.8
1681,3590.0
1682,3572.2
1683,3564.0
1684,3556.2
1685,3530.6
1686,3508.8
1687,3463.8
1688,3473.6
1689,3461.8
1690,3448.0
1691,3445.2
1692,3435.0
1693,3418.8
1694,3412.4
1695,3405.8
1696,3415.8
1697,3417.2
1698,3430.0
1699,3471.0
1700,3547.8
1701,3599.6
1702,3626.6
1703,3625.0
1704,3613.4
1705,3593.6
1706,3575.6
1707,3566.0
1708,3550.0
1709,3511.0
1710,3469.4
1711,3428.0
1712,3362.6
1713,3311.2
1714,3265.8
1715,3220.8
1716,3183.0
1717,3154.6
1718,3135.4
1719,3084.4
1720,3083.4
1721,3039.6
1722,2995.2
1723,2973.0
1724,2928.6
1725,2893.2
1726,2883.4
1727,2844.4
1728,2796.0
1729,2759.0
1730,2749.4
1731,2725.0
1732,2678.6
1733,2658.6
1734,2635.4
1735,2624.6
1736,2592.0
1737,2571.2
1738,2566.6
1739,2571.2
1740,2559.8
1741,2546.0
1742,2534.8
1743,2529.6
1744,2536.8
1745,2534.4
1746,2521.0
1747,2525.4
1748,2534.2
1749,2527.8
1750,2512.0
1751,2510.0
1752,2531.0
1753,2544.4
1754,2549.0
1755,2592.2
1756,2637.6
1757,2668.6
1758,2703.2
1759,2749.0
1760,2809.2
1761,2854.6
1762,2887.4
1763,2922.2
1764,2967.2
1765,3001.0
1766,3043.4
1767,3054.2
1768,3078.0
1769,3088.0
1770,3105.8
1771,3102.2
1772,3113.8
1773,3105.2
1774,3120.6
1775,3118.8
1776,3090.6
1777,3074.4
1778,3052.6
1779,3028.0
1780,3004.8
1781,2963.6
1782,2947.4
1783,2922.0
1784,2906.6
1785,2890.8
1786,2875.2
1787,2863.6
1788,2875.0
1789,2880.2
1790,2872.2
1791,2870.0
1792,2893.4
1793,2911.2
1794,2941.0
1795,2983.4
1796,3074.6
1797,3136.8
1798,3183.2
1799,3181.4
1800,3189.0
1801,3181.0
1802,3174.2
1803,3159.0
1804,3129.0
1805,3099.6
1806,3072.6
1807,3043.6
1808,2982.6
1809,2920.0
1810,2873.4
1811,2837.2
1812,2823.0
1813,2797.6
1814,2775.0
1815,2764.6
1816,2798.2
1817,2771.0
1818,2740.8
1819,2714.0
1820,2692.8
1821,2667.0
1822,2638.8
1823,2612.6
1824,2569.0
1825,2537.4
1826,2518.0
1827,2503.2
1828,2459.0
1829,2446.6
1830,2427.2
1831,2409.0
1832,2403.0
1833,2381.2
1834,2378.2
1835,2361.6
1836,2360.2
1837,2359.0
1838,2344.8
1839,2346.4
1840,2339.4
1841,2326.4
1842,2328.2
1843,2338.2
1844,2325.0
1845,2318.4
1846,2300.8
1847,2299.6
1848,2257.4
1849,2277.2
1850,2282.6
1851,2295.0
1852,2311.6
1853,2351.6
1854,2382.8
1855,2407.2
1856,2453.2
1857,2507.6
1858,2553.6
1859,2589.0
1860,2643.2
1861,2689.6
1862,2714.4
1863,2732.6
1864,2751.6
1865,2776.4
1866,2802.0
1867,2819.0
1868,2836.8
1869,2870.0
1870,2890.4
1871,2890.6
1872,2885.2
