assume_storage_id,name,technology,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,unit_operator,operating_type,node,bidding_EOM,bidding_CRM_capacity_pos,bidding_CRM_capacity_neg,bidding_CRM_energy_pos,bidding_CRM_energy_neg,bidding_redispatch
storage_31,storage_31,battery,2488.2380626123318,2539.5473383222,0.9797958971132712,0.9797958971132712,0.0,1.0,21941.68866694952,0.0,0.0,storage_battery,Market,DE0 17,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_32,storage_32,battery,538.568760400725,549.6744393272467,0.9797958971132712,0.9797958971132712,0.0,1.0,4749.1077421416185,0.0,0.0,storage_battery,Market,DE0 18,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_33,storage_33,battery,538.568760400725,549.6744393272467,0.9797958971132712,0.9797958971132712,0.0,1.0,1295.4576503804549,0.0,0.0,storage_battery,Market,DE0 18,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_34,storage_34,battery,556.076627592981,567.5433314545189,0.9797958971132712,0.9797958971132712,0.0,1.0,4903.573222960416,0.0,0.0,storage_battery,Market,DE0 19,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_35,storage_35,battery,0.0450452414988611,0.0459741070886175,0.9797958971132712,0.9797958971132712,0.0,1.0,0.3950620789086405,0.0,0.0,storage_battery,Market,DE0 2,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_36,storage_36,battery,2787.3779996871035,2844.855758122893,0.9797958971132712,0.9797958971132712,0.0,1.0,24579.55092535446,0.0,0.0,storage_battery,Market,DE0 20,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_37,storage_37,battery,2947.5298215596704,3008.3100268583094,0.9797958971132712,0.9797958971132712,0.0,1.0,615.267348692692,0.0,0.0,storage_battery,Market,DE0 21,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_38,storage_38,battery,2947.5298215596704,3008.3100268583094,0.9797958971132712,0.9797958971132712,0.0,1.0,25991.89072147462,0.0,0.0,storage_battery,Market,DE0 21,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_39,storage_39,battery,2395.253609579252,2444.645478345994,0.9797958971132712,0.9797958971132712,0.0,1.0,21121.736446186827,0.0,0.0,storage_battery,Market,DE0 22,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_40,storage_40,battery,0.4323409703045489,0.4412561550609218,0.9797958971132712,0.9797958971132712,0.0,1.0,3.8111918117691417,0.0,0.0,storage_battery,Market,DE0 23,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
