datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2
1/4/2030 14:00,3.305862457,62.63576329,57.87592912,86.36877333,76.68140903,24.62489942,0,130.7716392
1/4/2030 15:00,3.305941116,62.63576329,57.87592916,86.36877332,76.68141007,24.62489947,0,130.7718867
1/4/2030 16:00,3.305941116,62.63576329,57.87592916,86.36877332,76.68141007,24.62489947,0,130.7718867
1/4/2030 17:00,3.305941116,62.63576329,57.87592916,86.36877332,76.68141007,24.62489947,0,130.7718867
1/4/2030 18:00,3.306021939,62.63576329,57.87592916,86.36877319,76.68141108,24.62489948,0,130.7715571
1/4/2030 19:00,3.306021939,62.63576329,57.87592916,86.36877319,76.68141108,24.62489948,0,130.7715571
1/4/2030 20:00,3.306021939,62.63576329,57.87592916,86.36877319,76.68141108,24.62489948,0,130.7715571
1/4/2030 21:00,3.306105048,62.63576327,57.87592903,86.36877298,76.68141204,24.62489936,0,130.7705264
1/4/2030 22:00,3.306105048,62.63576327,57.87592903,86.36877298,76.68141204,24.62489936,0,130.7705264
1/4/2030 23:00,3.306105048,62.63576327,57.87592903,86.36877298,76.68141204,24.62489936,0,130.7705264
1/5/2030 0:00,3.30619047,62.63576327,57.87592898,86.36877281,76.68141298,24.62489931,0,130.7708753
1/5/2030 1:00,3.30619047,62.63576327,57.87592898,86.36877281,76.68141298,24.62489931,0,130.7708753
1/5/2030 2:00,3.30619047,62.63576327,57.87592898,86.36877281,76.68141298,24.62489931,0,130.7708753
1/5/2030 3:00,3.306278607,62.63576327,57.87592908,86.36877298,76.68141392,24.62489943,0,130.771017
1/5/2030 4:00,3.306278607,62.63576327,57.87592908,86.36877298,76.68141392,24.62489943,0,130.771017
1/5/2030 5:00,3.306278607,62.63576327,57.87592908,86.36877298,76.68141392,24.62489943,0,130.771017
1/5/2030 6:00,3.306369698,62.63576327,57.87592909,86.36877316,76.68141483,24.62489945,0,130.7720925
1/5/2030 7:00,3.306369698,62.63576327,57.87592909,86.36877316,76.68141483,24.62489945,0,130.7720925
1/5/2030 8:00,3.306369698,62.63576327,57.87592909,86.36877316,76.68141483,24.62489945,0,130.7720925
1/5/2030 9:00,3.3064642,62.63576329,57.87592908,86.36877325,76.68141571,24.62489945,0,130.7715415
1/5/2030 10:00,3.3064642,62.63576329,57.87592908,86.36877325,76.68141571,24.62489945,0,130.7715415
1/5/2030 11:00,3.3064642,62.63576329,57.87592908,86.36877325,76.68141571,24.62489945,0,130.7715415
1/5/2030 12:00,3.306562547,62.63576329,57.8759291,86.36877324,76.68141658,24.62489948,0,130.7721883
1/5/2030 13:00,3.306562547,62.63576329,57.8759291,86.36877324,76.68141658,24.62489948,0,130.7721883
1/5/2030 14:00,3.306562547,62.63576329,57.8759291,86.36877324,76.68141658,24.62489948,0,130.7721883
1/5/2030 15:00,3.306665032,62.63576329,57.87592917,86.36877321,76.68141743,24.62489956,0,130.7731927
1/5/2030 16:00,3.306665032,62.63576329,57.87592917,86.36877321,76.68141743,24.62489956,0,130.7731927
1/5/2030 17:00,3.306665032,62.63576329,57.87592917,86.36877321,76.68141743,24.62489956,0,130.7731927
1/5/2030 18:00,3.306771855,62.63576329,57.87592918,86.36877309,76.68141826,24.62489958,0,130.7716259
1/5/2030 19:00,3.306771855,62.63576329,57.87592918,86.36877309,76.68141826,24.62489958,0,130.7716259
1/5/2030 20:00,3.306771855,62.63576329,57.87592918,86.36877309,76.68141826,24.62489958,0,130.7716259
1/5/2030 21:00,3.306883345,62.63576329,57.87592913,86.36877292,76.68141908,24.62489954,0,130.7716184
1/5/2030 22:00,3.306883345,62.63576329,57.87592913,86.36877292,76.68141908,24.62489954,0,130.7716184
1/5/2030 23:00,3.306883345,62.63576329,57.87592913,86.36877292,76.68141908,24.62489954,0,130.7716184
1/6/2030 0:00,3.307000069,62.63576329,57.87592913,86.36877279,76.68141988,24.62489954,0,130.7721431
1/6/2030 1:00,3.307000069,62.63576329,57.87592913,86.36877279,76.68141988,24.62489954,0,130.7721431
1/6/2030 2:00,3.307000069,62.63576329,57.87592913,86.36877279,76.68141988,24.62489954,0,130.7721431
1/6/2030 3:00,3.307122493,62.63576329,57.8759292,86.36877291,76.68142068,24.62489962,0,130.7724374
1/6/2030 4:00,3.307122493,62.63576329,57.8759292,86.36877291,76.68142068,24.62489962,0,130.7724374
1/6/2030 5:00,3.307122493,62.63576329,57.8759292,86.36877291,76.68142068,24.62489962,0,130.7724374
1/6/2030 6:00,3.30725142,62.63576335,57.87592921,86.36877304,76.68142146,24.62489964,0,130.7743017
1/6/2030 7:00,3.30725142,62.63576335,57.87592921,86.36877304,76.68142146,24.62489964,0,130.7743017
1/6/2030 8:00,3.30725142,62.63576335,57.87592921,86.36877304,76.68142146,24.62489964,0,130.7743017
1/6/2030 9:00,3.30738791,62.63576335,57.8759292,86.36877321,76.68142222,24.62489963,0,130.7759456
1/6/2030 10:00,3.30738791,62.63576335,57.8759292,86.36877321,76.68142222,24.62489963,0,130.7759456
1/6/2030 11:00,3.30738791,62.63576335,57.8759292,86.36877321,76.68142222,24.62489963,0,130.7759456
1/6/2030 12:00,3.307533396,62.63576335,57.8759292,86.36877324,76.68142296,24.62489965,0,130.7773232
1/6/2030 13:00,3.307533396,62.63576335,57.8759292,86.36877324,76.68142296,24.62489965,0,130.7773232
1/6/2030 14:00,3.307533396,62.63576335,57.8759292,86.36877324,76.68142296,24.62489965,0,130.7773232
1/6/2030 15:00,3.30763237,62.63576335,57.87592923,86.36877325,76.68142369,24.62489968,0,130.7787259
