datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg,pos_reserve_energy_DE,neg_reserve_energy_DE
2019-01-05 18:45:00,61564,2756,2827,0,260
2019-01-05 19:00:00,61108,2756,2827,60,40
2019-01-05 19:15:00,60416,2756,2827,64,24
2019-01-05 19:30:00,59800,2756,2827,32,108
2019-01-05 19:45:00,59076,2756,2827,0,292
2019-01-05 20:00:00,57604,2756,2827,0,288
2019-01-05 20:15:00,56560,2756,2827,0,652
2019-01-05 20:30:00,55788,2756,2827,0,752
2019-01-05 20:45:00,55196,2756,2827,0,412
2019-01-05 21:00:00,54576,2756,2827,0,160
2019-01-05 21:15:00,54116,2756,2827,0,176
2019-01-05 21:30:00,53744,2756,2827,0,404
2019-01-05 21:45:00,53308,2756,2827,0,640
2019-01-05 22:00:00,53768,2756,2827,4,204
2019-01-05 22:15:00,53256,2756,2827,0,108
2019-01-05 22:30:00,52520,2756,2827,8,156
2019-01-05 22:45:00,52044,2756,2827,0,192
2019-01-05 23:00:00,50944,2756,2827,0,336
2019-01-05 23:15:00,50056,2756,2827,0,468
2019-01-05 23:30:00,49624,2756,2827,0,368
2019-01-05 23:45:00,49056,2756,2827,4,256
2019-01-06 00:00:00,47820,2756,2827,68,84
2019-01-06 00:15:00,46748,2756,2827,0,188
2019-01-06 00:30:00,46192,2756,2827,12,80
2019-01-06 00:45:00,45652,2756,2827,12,216
2019-01-06 01:00:00,45092,2756,2827,312,12
2019-01-06 01:15:00,44572,2756,2827,84,8
2019-01-06 01:30:00,44404,2756,2827,88,4
2019-01-06 01:45:00,44116,2756,2827,32,24
2019-01-06 02:00:00,43504,2756,2827,248,24
2019-01-06 02:15:00,43312,2756,2827,156,0
2019-01-06 02:30:00,43080,2756,2827,76,4
2019-01-06 02:45:00,42944,2756,2827,104,24
2019-01-06 03:00:00,43080,2756,2827,172,20
2019-01-06 03:15:00,43196,2756,2827,168,4
2019-01-06 03:30:00,43028,2756,2827,224,0
2019-01-06 03:45:00,42872,2756,2827,192,44
2019-01-06 04:00:00,42952,2756,2827,4,232
2019-01-06 04:15:00,43140,2756,2827,0,224
2019-01-06 04:30:00,43096,2756,2827,0,176
2019-01-06 04:45:00,43156,2756,2827,0,132
2019-01-06 05:00:00,43056,2756,2827,4,32
2019-01-06 05:15:00,42664,2756,2827,8,8
2019-01-06 05:30:00,42536,2756,2827,4,48
2019-01-06 05:45:00,42372,2756,2827,16,4
2019-01-06 06:00:00,42108,2756,2827,96,20
2019-01-06 06:15:00,42228,2756,2827,272,0
2019-01-06 06:30:00,42244,2756,2827,444,0
2019-01-06 06:45:00,42448,2756,2827,724,0
2019-01-06 07:00:00,42872,2756,2827,112,24
2019-01-06 07:15:00,43008,2756,2827,168,4
2019-01-06 07:30:00,43380,2756,2827,168,4
2019-01-06 07:45:00,44144,2756,2827,148,4
2019-01-06 08:00:00,44984,2756,2827,4,376
2019-01-06 08:15:00,45504,2756,2827,0,312
2019-01-06 08:30:00,46192,2756,2827,32,28
2019-01-06 08:45:00,47108,2756,2827,80,4
2019-01-06 09:00:00,48220,2756,2827,28,4
2019-01-06 09:15:00,49116,2756,2827,60,0
2019-01-06 09:30:00,49944,2756,2827,144,0
2019-01-06 09:45:00,50556,2756,2827,124,0
2019-01-06 10:00:00,51464,2756,2827,28,36
2019-01-06 10:15:00,52100,2756,2827,100,20
2019-01-06 10:30:00,52780,2756,2827,164,0
2019-01-06 10:45:00,53424,2756,2827,212,0
2019-01-06 11:00:00,54260,2756,2827,164,0
2019-01-06 11:15:00,54820,2756,2827,248,0
2019-01-06 11:30:00,55340,2756,2827,336,0
2019-01-06 11:45:00,55580,2756,2827,508,0
2019-01-06 12:00:00,55828,2756,2827,1104,0
2019-01-06 12:15:00,55536,2756,2827,692,0
