,Bleiloch,Erzhausen,Geesthacht,Glems,Goldisthal,Happurg,Hohenwarte I,Hohenwarte II,Häusern,Koepchenwerk Herdecke II,Langenprozelten,Leitzach I,Leitzach II,Markersbach,Reisach - Rabenleite,Rönkhausen,Schwarzenbachwerk,Säckingen,Tanzmühle - Rabenleite,Waldeck I,Waldeck II,Waldshut,Wehr,Wendefurth,Witznau,battery_00_0,battery_00_1,battery_01_0,battery_01_1,battery_02,battery_03_0,battery_03_1,battery_03_2,battery_04_0,battery_04_1,battery_04_2,battery_05,battery_06_0,battery_06_1,battery_06_2,battery_07,battery_08,battery_09
2013-01-22 11:00:00,264.51014265489266,277.7356497876373,267.81651943807884,277.7356497876373,290.96115692038194,274.4292730044511,264.51014265489266,264.51014265489266,271.12289622126497,281.04202657082345,281.04202657082345,284.34840335400963,284.34840335400963,277.7356497876373,281.04202657082345,281.04202657082345,241.36550517258956,284.34840335400963,267.81651943807884,287.65478013719576,287.65478013719576,261.20376587170654,284.34840335400963,271.12289622126497,254.5910123053342,90.33738516269793,90.03068452179141,91.05771659016774,91.31955797922086,90.1407560723312,90.89291709746807,91.25812907981144,89.57727232580102,90.59257789261493,90.89890719459939,91.09137933220775,90.29293280479055,89.91955079732641,90.58197030564678,89.79047431331185,91.01623684595953,90.78898014223807,91.03420216975279
2013-01-22 12:00:00,265.48691623975077,278.7612620517383,268.80550269274767,278.7612620517383,292.03560786372583,275.4426755987414,265.48691623975077,265.48691623975077,272.1240891457445,282.07984850473514,282.07984850473514,285.39843495773204,285.39843495773204,278.7612620517383,282.07984850473514,282.07984850473514,242.25681106877252,285.39843495773204,268.80550269274767,288.71702141072893,288.71702141072893,262.1683297867539,285.39843495773204,272.1240891457445,255.5311568807601,90.6709798243862,90.36314661033336,91.39397126596221,91.65677957352243,90.47362462915422,91.22856320759601,91.59512383167254,89.90806007001859,90.92711492087987,91.23457542474355,91.42775831657083,90.62636331440301,90.25160249522945,90.91646816259434,90.12204936219588,91.35233834683963,91.12424243769887,91.3703700123374
2013-01-22 13:00:00,266.6601904163056,279.99319993712095,269.99344279650944,279.99319993712095,293.3262094579362,276.6599475569171,266.6601904163056,266.6601904163056,273.32669517671326,283.3264523173247,283.3264523173247,286.6597046975286,286.6597046975286,279.99319993712095,283.3264523173247,283.3264523173247,243.3274237548789,286.6597046975286,269.99344279650944,289.9929570777324,289.9929570777324,263.32693803610186,286.6597046975286,273.32669517671326,256.6604332756942,91.07168476569792,90.76249113522289,91.79787134472285,92.06184108880511,90.87345739281798,91.63173229363497,91.99991286991275,90.30539341750844,91.32895180759472,91.63777108075146,91.83180771144295,91.02687108065334,90.65045406991393,91.31825799777559,90.52032839889004,91.75605443601015,91.52695049587575,91.77416578938026
2013-01-22 14:00:00,267.83463524049506,281.2263670025198,271.1825681810012,281.2263670025198,294.6180987645445,277.8784340620136,267.83463524049506,267.83463524049506,274.5305011215074,284.574299943026,284.574299943026,287.92223288353216,287.92223288353216,281.2263670025198,284.574299943026,284.574299943026,244.39910465695172,287.92223288353216,271.1825681810012,291.2701658240384,291.2701658240384,264.4867022999889,287.92223288353216,274.5305011215074,257.7908364189765,91.47278951491565,91.16223411064747,92.20217441937416,92.46730675881494,91.27368909416258,92.03530364620829,92.40510579101306,90.70312320885827,91.73118963162695,92.04136902980423,92.23626025118757,91.427778458076,91.04970360328679,91.720448723328,90.91900482301631,92.16017333749363,91.93006036059124,92.17836445824555
2013-01-22 15:00:00,269.0089671646712,282.4594155229047,272.3715792542296,282.4594155229047,295.90986388113834,279.09680343334634,269.0089671646712,269.0089671646712,275.7341913437879,285.8220276124631,285.8220276124631,289.1846397020215,289.1846397020215,282.4594155229047,285.8220276124631,285.8220276124631,245.47068253776246,289.1846397020215,272.3715792542296,292.54725179157987,292.54725179157987,265.6463550751128,289.1846397020215,275.7341913437879,258.92113089599604,91.87385570571787,91.5619386585646,92.60643862815321,92.87273345119159,91.67388232101824,92.4388362032502,92.8102597606997,91.1008147662291,92.13338878832059,92.44492818076885,92.6406739106918,91.82864729605663,91.44891475658706,92.12260078606944,91.31764292216327,92.56425339080954,92.33313147413838,92.58252427127519
2013-01-22 16:00:00,270.1823564666452,283.6914742899774,273.55963592247826,283.6914742899774,297.2005921133097,280.31419483414436,270.1823564666452,270.1823564666452,276.9369153783113,287.0687537458105,287.0687537458105,290.4460332016436,290.4460332016436,283.6914742899774,287.0687537458105,287.0687537458105,246.54140027581374,290.4460332016436,273.55963592247826,293.82331265747666,293.82331265747666,266.8050770108121,290.4460332016436,276.9369153783113,260.050518099146,92.27459996548154,91.96132236841764,93.0103783388829,93.2778347124072,92.07375431755305,92.84204484953085,93.21508851813651,91.49818710133931,92.53526510455747,92.84816339962559,93.04476295218434,92.22919436141143,91.8478054678652,92.52443004615587,91.71596103927183,92.96800909389545,92.73587904731944,92.98635967005268
2013-01-22 17:00:00,271.35452282336803,284.92224896453644,274.7464543586602,284.92224896453644,298.48997510570484,281.5303174292443,271.35452282336803,271.35452282336803,278.1383858939522,288.3141804998285,288.3141804998285,291.70611203512067,291.70611203512067,284.92224896453644,288.3141804998285,288.3141804998285,247.61100207632333,291.70611203512067,274.7464543586602,295.09804357041276,295.09804357041276,267.96259128807594,291.70611203512067,278.1383858939522,261.1787282174917,92.67492655628521,92.36028982732094,93.41389705024761,93.68251376365137,92.47320955422957,93.24483325838615,93.61949534961438,91.89514528182126,92.93672257196756,93.25097835336216,93.44843083867443,92.62932396332882,92.24628044201306,92.92584050645901,92.11386401602675,93.37134398939527,93.13820686362082,93.38977417818256
2013-01-22 18:00:00,272.5256109268931,286.1518914732377,275.9321810634792,286.1518914732377,299.77817201958237,282.74532133665156,272.5256109268931,272.5256109268931,279.33875120006536,289.5584616098239,289.5584616098239,292.96503174641003,292.96503174641003,286.1518914732377,289.5584616098239,289.5584616098239,248.67961997078993,292.96503174641003,275.9321810634792,296.37160188299623,296.37160188299623,269.11904079030694,292.96503174641003,279.33875120006536,262.3059005171346,93.07488489438806,92.7588902837626,93.81704457254142,94.08682055845038,92.87229733974706,93.6472511499617,94.0235301750568,92.29173830813797,93.33781074640528,93.65342276540086,93.8517273988703,93.02908549375164,92.6443888667265,93.32688171703067,92.5114009695166,93.77430786491284,93.54016458633268,93.79281759309609
2013-01-22 19:00:00,273.69807655627943,287.3829803840934,277.1193025132329,287.3829803840934,301.0678842119073,283.96175442713985,273.69807655627943,273.69807655627943,280.54052847018636,290.80420634104684,290.80420634104684,294.2254322980003,294.2254322980003,287.3829803840934,290.80420634104684,290.80420634104684,249.74949485760493,294.2254322980003,277.1193025132329,297.6466582549539,297.6466582549539,270.2768505993259,294.2254322980003,280.54052847018636,263.43439868541896,93.47531369492025,93.15795960538647,94.22066630863364,94.49160293067526,93.27185456368156,94.0501423970867,94.42804025801335,92.68879783833982,93.7393707122746,94.05634056418445,94.25549834817468,93.42931725510313,93.04296557785577,93.72839466379138,92.90940553721292,94.17774573820905,93.94259512330717,94.19633509934876
2013-01-22 20:00:00,274.3296752493246,288.0461590117908,277.75879618994117,288.0461590117908,301.762642774257,284.6170380711742,274.3296752493246,274.3296752493246,281.1879171305577,291.47527995240733,291.47527995240733,294.9044008930239,294.9044008930239,288.0461590117908,291.47527995240733,291.47527995240733,250.32582866500866,294.9044008930239,277.75879618994117,298.3335218336405,298.3335218336405,270.900554308708,294.9044008930239,281.1879171305577,264.0423124274749,93.69102177261132,93.37293534169355,94.43809439745013,94.70965624572106,93.48709312940895,94.2671769768182,94.64594689281395,92.90269091464936,93.95568814049219,94.27338944710101,94.47300681706152,93.64491918922302,93.25767594847811,93.94468676315768,93.12380769833604,94.3950747814768,94.15938152183692,94.41370704030999
2013-01-22 21:00:00,274.9575187903742,288.7053947298929,278.3944877752539,288.7053947298929,302.4532706694116,285.2684257450132,274.9575187903742,274.9575187903742,281.8314567601335,292.14236371477256,292.14236371477256,295.57933269965224,295.57933269965224,288.7053947298929,292.14236371477256,292.14236371477256,250.89873589621644,295.57933269965224,278.3944877752539,299.016301684532,299.016301684532,271.5205498054945,295.57933269965224,281.8314567601335,264.6466118357352,93.90544736408556,93.58663294589859,94.65422977377274,94.92641313100832,93.7010520003895,94.48292118365288,94.86255796993922,93.11531229578094,94.17071945961676,94.48914787208156,94.68922209555707,93.85923926819964,93.47110976472251,94.15969290402293,93.336935137532,94.61111170112314,94.37487902302406,94.62978660260283
2013-01-22 22:00:00,275.53179410409143,289.3083838092959,278.9759415303925,289.3083838092959,303.0849735145005,285.8642363829948,275.53179410409143,275.53179410409143,282.42008895669363,292.7525312355971,292.7525312355971,296.1966786618982,296.1966786618982,289.3083838092959,292.7525312355971,292.7525312355971,251.42276211998336,296.1966786618982,278.9759415303925,299.64082608819933,299.64082608819933,272.08764667779025,296.1966786618982,282.42008895669363,265.199351825188,94.10157795357446,93.78209766070682,94.8519242675881,95.12467610603326,93.89675569043544,94.68025788294504,95.0606875772977,93.30979261192498,94.36740409547818,94.68649757641343,94.88698967421354,94.05527334762081,93.6663331982179,94.35635450985885,93.53187833436951,94.80871613868251,94.57199006583679,94.82743004449623
2013-01-22 23:00:00,276.1619808215812,289.97007986266027,279.614005581851,289.97007986266027,303.77817890373933,286.5180551023905,276.1619808215812,276.1619808215812,283.0660303421207,293.4221046229301,293.4221046229301,296.87412938319983,296.87412938319983,289.97007986266027,293.4221046229301,293.4221046229301,251.99780749969287,296.87412938319983,279.614005581851,300.3261541434696,300.3261541434696,272.70995606131146,296.87412938319983,283.0660303421207,265.8059065407719,94.31680380333167,93.99659280627172,95.06886628328596,95.3422419502309,94.11151307785022,94.89680726927033,95.27810706916236,93.52320751784163,94.58323793352339,94.90306123394818,95.10401189028744,94.27039329109695,93.88056357133846,94.57216307567688,93.74580118701108,95.02555933025369,94.7882918257838,95.04431603786063
