name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/146086014-220+2,way/169244940-220,way/23284340-220,220,1.29,1,491.556,1.650715,8.281088,0.00010804,27511.92
merged_way/146633582-2-220+4,way/207248812-220,way/46584363-220,220,1.29,1,491.556,0.569634,2.857664,3.73E-05,9493.9
merged_way/147964967-1-220+1,way/23881272-220,way/42410916-220,220,1.29,3,1474.668,0.184979,0.927977,0.00010896,9248.94
merged_way/149064310-1-380+3,way/254326606-380,DE182-380,380,2.58,2,3396.205,0.078076,0.640222,4.51E-05,5205.06
merged_way/151689335-1-380+1,DE94-380,way/42797575-380,380,2.58,2,3396.205,0.047587,0.390213,2.75E-05,3172.46
merged_way/151967297-2-220+3,way/151967291-220,way/42097854-220,220,1.29,1,491.556,1.176835,5.90379,7.70E-05,19613.92
merged_way/152107801-220+4,way/600395952-220,way/156402422-220,220,1.29,2,983.112,2.721534,13.65303,0.0007125,90717.81
merged_way/152107836-1-380+3,way/600395952-380,way/152107815-380,380,2.58,2,3396.205,0.742192,6.085976,0.00042903,49479.48
merged_way/152403657-2-220+5,way/152403632-220,DE148-220,220,1.29,1,491.556,0.443528,2.225031,2.90E-05,7392.13
merged_way/152403734-380+2,DE156-380,way/160584794-380,380,2.58,2,3396.205,0.596263,4.889355,0.00034467,39750.85
merged_way/152542161-220+3,way/152973139-220,way/207248812-220,220,1.29,2,983.112,0.365678,1.834484,9.57E-05,12189.26
merged_way/152924493-1-380+1,way/259561755-380,way/152924498-380,380,2.58,1,1698.103,0.592192,4.855978,8.56E-05,19739.75
merged_way/152924510-1-380+1,way/600395952-380,way/149987048-380,380,2.58,2,3396.205,0.252485,2.070375,0.00014595,16832.32
merged_way/152924510-2-220+2,way/600395952-220,DE174-220,220,1.29,2,983.112,0.274321,1.376177,7.18E-05,9144.03
merged_way/153089338-220+2,way/152973139-220,way/160929097-220,220,1.29,2,983.112,0.416611,2.089998,0.00010907,13887.03
merged_way/155269862-1-220+4,DE80-220,way/28452784-220,220,1.29,2,983.112,0.323085,1.620811,8.46E-05,10769.51
merged_way/155496642-1-220+1,way/35818137-220,way/24478889-220,220,1.29,2,983.112,0.176866,0.887277,4.63E-05,5895.53
merged_way/156676048-1-380+1,DE197-380,way/26260052-380,380,2.58,2,3396.205,0.118803,0.974188,6.87E-05,7920.23
merged_way/156684001-380+3,way/940922557-380,way/29331499-380,380,2.58,2,3396.205,0.928205,7.611282,0.00053655,61880.34
merged_way/156960648-1-380+3,way/274630377-380,way/456386244-380,380,2.58,2,3396.205,0.676548,5.54769,0.00039108,45103.17
merged_way/156960648-2-220+3,way/274630377-220,way/172997498-220,220,1.29,2,983.112,1.38934,6.969857,0.00036373,46311.34
merged_way/157160048-1-380+2,way/1128250707-380,way/32076853-380,380,2.58,1,1698.103,0.950316,7.792591,0.00013733,31677.2
merged_way/157160048-2-220+3,way/1128250707-220,way/32076853-220,220,1.29,1,491.556,1.899958,9.531454,0.00012435,31665.96
merged_way/157903633-1-380+4,way/63114179-380,DE102-380,380,2.58,1,1698.103,0.239296,1.962231,3.46E-05,7976.55
merged_way/159685340-1-220+3,DE132-220,way/90148336-220,220,1.29,2,983.112,0.172874,0.867252,4.53E-05,5762.47
