name,technology,bidding_EOM,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,unit_operator
HAMM UENTROP BLOCK 20,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,400,160,0.575,330.0,330.0,3.5,24.1,34.2,46.7,RL_operator
MAINZ III,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,397,160,0.58,330.0,330.0,3.5,24.1,34.2,46.7,RL_operator
KW BASF LUDWIGSHAFEN SUED,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,396,160,0.51,330.0,330.0,3.5,24.1,34.2,46.7,RL_operator
RDK (KARLSRUHE) 4RP,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,378,160,0.497,320.0,320.0,3.5,24.1,34.2,46.7,RL_operator
NUERNBERG FRANKEN 1,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,440,110,0.363,440.0,440.0,5.5,17.1,21.8,29.6,RL_operator
IRSCHING 3,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,440,110,0.308,440.0,440.0,5.5,17.1,21.8,29.6,RL_operator
KW HUNTORF CAES GT,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,321,90,0.31,321.0,321.0,5.5,17.1,21.8,29.6,RL_operator
KW DUISBURG HUCKINGEN BLOCK A,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,303,80,0.363,303.0,303.0,5.5,17.1,21.8,29.6,RL_operator
KW DUISBURG HUCKINGEN BLOCK B,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,303,80,0.363,303.0,303.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_3,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,492,210,0.42,340.0,340.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_4,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,535,230,0.38,380.0,380.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_5,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,440,190,0.33,320.0,320.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_6,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,512,220,0.36,360.0,360.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_7,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,459,211,0.39,314.0,314.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_8,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,402,164,0.39,275.0,275.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_9,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,237,97,0.39,164.0,164.0,1.3,45.1,73.9,73.2,RL_operator
Agg_PP_10,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,510,210,0.5,430.0,430.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_11,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,460,200,0.47,380.0,380.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_12,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,566,230,0.51,490.0,490.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_13,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,487,210,0.39,420.0,420.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_14,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,417,190,0.56,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_15,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,454,200,0.5,400.0,400.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_16,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,408,170,0.53,361.0,361.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_17,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,419,170,0.5,348.0,348.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_18,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,442,178,0.5,367.0,367.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_19,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,420,171,0.42,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_20,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,407,167,0.44,341.0,341.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_21,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,43,18,0.45,37.0,37.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_22,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,544,140,0.38,544.0,544.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_23,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,478,130,0.35,478.0,478.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_24,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,400,110,0.33,400.0,400.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_25,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,412,105,0.36,412.0,412.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_26,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,443,113,0.35,443.0,443.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_27,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,411,105,0.35,411.0,411.0,5.5,14.18,17.11,21.99,RL_operator
Agg_PP_28,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,353,92,0.35,353.0,353.0,5.5,9.3,9.3,9.3,RL_operator
Agg_PP_29,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,510,210,0.5,430.0,430.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_30,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,460,200,0.47,380.0,380.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_31,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,566,230,0.51,490.0,490.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_32,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,487,210,0.39,420.0,420.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_33,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,417,190,0.56,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_34,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,454,200,0.5,400.0,400.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_35,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,408,170,0.53,361.0,361.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_36,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,419,170,0.5,348.0,348.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_37,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,442,178,0.5,367.0,367.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_38,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,420,171,0.42,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_39,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,407,167,0.44,341.0,341.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_40,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,43,18,0.45,37.0,37.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_41,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,544,140,0.38,544.0,544.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_42,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,478,130,0.35,478.0,478.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_43,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,400,110,0.33,400.0,400.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_44,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,412,105,0.36,412.0,412.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_45,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,443,113,0.35,443.0,443.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_46,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,411,105,0.35,411.0,411.0,5.5,14.18,17.11,21.99,RL_operator
Agg_PP_47,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,353,92,0.35,353.0,353.0,5.5,9.3,9.3,9.3,RL_operator
Agg_PP_49,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,460,200,0.47,380.0,380.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_50,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,566,230,0.51,490.0,490.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_51,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,487,210,0.39,420.0,420.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_52,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,417,190,0.56,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_53,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,454,200,0.5,400.0,400.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_54,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,408,170,0.53,361.0,361.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_55,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,419,170,0.5,348.0,348.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_56,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,442,178,0.5,367.0,367.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_57,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,420,171,0.42,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_58,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,407,167,0.44,341.0,341.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_59,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,43,18,0.45,37.0,37.0,3.5,24.1,34.2,46.7,RL_operator
Agg_PP_61,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,478,130,0.35,478.0,478.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_62,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,400,110,0.33,400.0,400.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_63,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,412,105,0.36,412.0,412.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_64,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,443,113,0.35,443.0,443.0,5.5,17.1,21.8,29.6,RL_operator
Agg_PP_65,open cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,411,105,0.35,411.0,411.0,5.5,14.18,17.11,21.99,RL_operator
