datetime,uranium,lignite,hard coal,natural gas,oil,co2
2020-01-02 07:00:00,0.9,1.8,7.522378176,12.339,35.22053386,25.33
2020-01-02 07:15:00,0.9,1.8,7.523503784,12.3485,35.23494833,25.33
2020-01-02 07:30:00,0.9,1.8,7.524629392,12.358,35.2493628,25.33
2020-01-02 07:45:00,0.9,1.8,7.525755,12.3675,35.26377727,25.33
2020-01-02 08:00:00,0.9,1.8,7.526880608,12.377,35.27819174,25.33
2020-01-02 08:15:00,0.9,1.8,7.528006216,12.3865,35.29260621,25.33
2020-01-02 08:30:00,0.9,1.8,7.529131824,12.396,35.30702069,25.33
2020-01-02 08:45:00,0.9,1.8,7.530257433,12.4055,35.32143516,25.33
2020-01-02 09:00:00,0.9,1.8,7.531383041,12.415,35.33584963,25.33
2020-01-02 09:15:00,0.9,1.8,7.532508649,12.4245,35.3502641,25.33
2020-01-02 09:30:00,0.9,1.8,7.533634257,12.434,35.36467857,25.33
2020-01-02 09:45:00,0.9,1.8,7.534759865,12.4435,35.37909304,25.33
2020-01-02 10:00:00,0.9,1.8,7.535885473,12.453,35.39350752,25.33
2020-01-02 10:15:00,0.9,1.8,7.537011081,12.4625,35.40792199,25.33
2020-01-02 10:30:00,0.9,1.8,7.538136689,12.472,35.42233646,25.33
2020-01-02 10:45:00,0.9,1.8,7.539262297,12.4815,35.43675093,25.33
2020-01-02 11:00:00,0.9,1.8,7.540387905,12.491,35.4511654,25.33
2020-01-02 11:15:00,0.9,1.8,7.541513513,12.5005,35.46557987,25.33
2020-01-02 11:30:00,0.9,1.8,7.542639122,12.51,35.47999435,25.33
2020-01-02 11:45:00,0.9,1.8,7.54376473,12.5195,35.49440882,25.33
2020-01-02 12:00:00,0.9,1.8,7.544890338,12.529,35.50882329,25.33
2020-01-02 12:15:00,0.9,1.8,7.546015946,12.5385,35.52323776,25.33
2020-01-02 12:30:00,0.9,1.8,7.547141554,12.548,35.53765223,25.33
2020-01-02 12:45:00,0.9,1.8,7.548267162,12.5575,35.5520667,25.33
2020-01-02 13:00:00,0.9,1.8,7.54939277,12.567,35.56648118,25.33
2020-01-02 13:15:00,0.9,1.8,7.550518378,12.5765,35.58089565,25.33
2020-01-02 13:30:00,0.9,1.8,7.551643986,12.586,35.59531012,25.33
2020-01-02 13:45:00,0.9,1.8,7.552769594,12.5955,35.60972459,25.33
2020-01-02 14:00:00,0.9,1.8,7.553895202,12.605,35.62413906,25.33
2020-01-02 14:15:00,0.9,1.8,7.55502081,12.6145,35.63855354,25.33
2020-01-02 14:30:00,0.9,1.8,7.556146419,12.624,35.65296801,25.33
2020-01-02 14:45:00,0.9,1.8,7.557272027,12.6335,35.66738248,25.33
2020-01-02 15:00:00,0.9,1.8,7.558397635,12.643,35.68179695,25.33
2020-01-02 15:15:00,0.9,1.8,7.559523243,12.6525,35.69621142,25.33
2020-01-02 15:30:00,0.9,1.8,7.560648851,12.662,35.71062589,25.33
2020-01-02 15:45:00,0.9,1.8,7.561774459,12.6715,35.72504037,25.33
2020-01-02 16:00:00,0.9,1.8,7.562900067,12.681,35.73945484,25.33
2020-01-02 16:15:00,0.9,1.8,7.564025675,12.6905,35.75386931,25.33
2020-01-02 16:30:00,0.9,1.8,7.565151283,12.7,35.76828378,25.33
2020-01-02 16:45:00,0.9,1.8,7.566276891,12.7095,35.78269825,25.33
2020-01-02 17:00:00,0.9,1.8,7.567402499,12.719,35.79711272,25.33
2020-01-02 17:15:00,0.9,1.8,7.568528108,12.7285,35.8115272,25.33
2020-01-02 17:30:00,0.9,1.8,7.569653716,12.738,35.82594167,25.33
2020-01-02 17:45:00,0.9,1.8,7.570779324,12.7475,35.84035614,25.33
2020-01-02 18:00:00,0.9,1.8,7.571904932,12.757,35.85477061,25.33
2020-01-02 18:15:00,0.9,1.8,7.57303054,12.7665,35.86918508,25.33
2020-01-02 18:30:00,0.9,1.8,7.574156148,12.776,35.88359955,25.33
2020-01-02 18:45:00,0.9,1.8,7.575281756,12.7855,35.89801403,25.33
2020-01-02 19:00:00,0.9,1.8,7.576407364,12.795,35.9124285,25.33
2020-01-02 19:15:00,0.9,1.8,7.577532972,12.8045,35.92684297,25.33
2020-01-02 19:30:00,0.9,1.8,7.57865858,12.814,35.94125744,25.33
2020-01-02 19:45:00,0.9,1.8,7.579784188,12.8235,35.95567191,25.33
2020-01-02 20:00:00,0.9,1.8,7.580909797,12.833,35.97008638,25.33
2020-01-02 20:15:00,0.9,1.8,7.582035405,12.8425,35.98450086,25.33
2020-01-02 20:30:00,0.9,1.8,7.583161013,12.852,35.99891533,25.33
2020-01-02 20:45:00,0.9,1.8,7.584286621,12.8615,36.0133298,25.33
2020-01-02 21:00:00,0.9,1.8,7.585412229,12.871,36.02774427,25.33
2020-01-02 21:15:00,0.9,1.8,7.586537837,12.8805,36.04215874,25.33
2020-01-02 21:30:00,0.9,1.8,7.587663445,12.89,36.05657321,25.33
2020-01-02 21:45:00,0.9,1.8,7.588789053,12.8995,36.07098769,25.33
2020-01-02 22:00:00,0.9,1.8,7.589914661,12.909,36.08540216,25.33
2020-01-02 22:15:00,0.9,1.8,7.591040269,12.9185,36.09981663,25.33
2020-01-02 22:30:00,0.9,1.8,7.592165877,12.928,36.1142311,25.33
2020-01-02 22:45:00,0.9,1.8,7.593291486,12.9375,36.12864557,25.33
2020-01-02 23:00:00,0.9,1.8,7.594417094,12.947,36.14306005,25.33
2020-01-02 23:15:00,0.9,1.8,7.595542702,12.9565,36.15747452,25.33
2020-01-02 23:30:00,0.9,1.8,7.59666831,12.966,36.17188899,25.33
2020-01-02 23:45:00,0.9,1.8,7.597793918,12.9755,36.18630346,25.33
2020-01-03 00:00:00,0.9,1.8,7.598919526,12.985,36.20071793,25.33
2020-01-03 00:15:00,0.9,1.8,7.598923064,12.98255208,36.20075581,25.33
2020-01-03 00:30:00,0.9,1.8,7.598926601,12.98010417,36.2007937,25.33
2020-01-03 00:45:00,0.9,1.8,7.598930139,12.97765625,36.20083158,25.33
2020-01-03 01:00:00,0.9,1.8,7.598933677,12.97520833,36.20086946,25.33
2020-01-03 01:15:00,0.9,1.8,7.598937214,12.97276042,36.20090734,25.33
2020-01-03 01:30:00,0.9,1.8,7.598940752,12.9703125,36.20094522,25.33
2020-01-03 01:45:00,0.9,1.8,7.598944289,12.96786458,36.2009831,25.33
2020-01-03 02:00:00,0.9,1.8,7.598947827,12.96541667,36.20102099,25.33
2020-01-03 02:15:00,0.9,1.8,7.598951365,12.96296875,36.20105887,25.33
2020-01-03 02:30:00,0.9,1.8,7.598954902,12.96052083,36.20109675,25.33
2020-01-03 02:45:00,0.9,1.8,7.59895844,12.95807292,36.20113463,25.33
2020-01-03 03:00:00,0.9,1.8,7.598961978,12.955625,36.20117251,25.33
2020-01-03 03:15:00,0.9,1.8,7.598965515,12.95317708,36.2012104,25.33
2020-01-03 03:30:00,0.9,1.8,7.598969053,12.95072917,36.20124828,25.33
2020-01-03 03:45:00,0.9,1.8,7.598972591,12.94828125,36.20128616,25.33
2020-01-03 04:00:00,0.9,1.8,7.598976128,12.94583333,36.20132404,25.33
2020-01-03 04:15:00,0.9,1.8,7.598979666,12.94338542,36.20136192,25.33
2020-01-03 04:30:00,0.9,1.8,7.598983204,12.9409375,36.20139981,25.33
2020-01-03 04:45:00,0.9,1.8,7.598986741,12.93848958,36.20143769,25.33
2020-01-03 05:00:00,0.9,1.8,7.598990279,12.93604167,36.20147557,25.33
2020-01-03 05:15:00,0.9,1.8,7.598993816,12.93359375,36.20151345,25.33
2020-01-03 05:30:00,0.9,1.8,7.598997354,12.93114583,36.20155133,25.33
