name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion748,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,181.79085500000002,181.79085500000002,0.95,0.95,1,224.120096,0.28,0.28,0,battery_operator_748,way/91080806-220
battery_li_ion749,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,136.173913,136.173913,0.95,0.95,1,136.173913,0.28,0.28,0,battery_operator_749,way/91086220-220
battery_li_ion750,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.16056616,29.16056616,0.95,0.95,1,29.18316616,0.28,0.28,0,battery_operator_750,way/91854336-220
battery_li_ion751,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.11026616,29.11026616,0.95,0.95,1,29.11026616,0.28,0.28,0,battery_operator_751,way/91854336-380
battery_li_ion752,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.15256616,29.15256616,0.95,0.95,1,29.16324616,0.28,0.28,0,battery_operator_752,way/92024105-220
battery_li_ion753,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,45.03998216,45.03998216,0.95,0.95,1,57.33413916,0.28,0.28,0,battery_operator_753,way/92165128-380
battery_li_ion754,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.13822616,29.13822616,0.95,0.95,1,29.151786159999997,0.28,0.28,0,battery_operator_754,way/92877635-220
battery_li_ion755,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,35.911182159999996,35.911182159999996,0.95,0.95,1,41.117122159999994,0.28,0.28,0,battery_operator_755,way/93278553-220
battery_li_ion756,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,106.56713927999999,106.56713927999999,0.95,0.95,1,136.75631227999997,0.28,0.28,0,battery_operator_756,way/933248930-220
battery_li_ion757,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,163.270921,163.270921,0.95,0.95,1,183.33895,0.28,0.28,0,battery_operator_757,way/93341407-380
battery_li_ion758,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,80.3492523,80.3492523,0.95,0.95,1,80.3751723,0.28,0.28,0,battery_operator_758,way/940636813-220
battery_li_ion759,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,80.3200323,80.3200323,0.95,0.95,1,80.33171229999999,0.28,0.28,0,battery_operator_759,way/940636813-380
battery_li_ion760,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,121.1234283,121.1234283,0.95,0.95,1,121.1535583,0.28,0.28,0,battery_operator_760,way/940919943
battery_li_ion761,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,135.128091,135.128091,0.95,0.95,1,164.39606400000002,0.28,0.28,0,battery_operator_761,way/940922557-380
battery_li_ion762,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,109.96552700000001,109.96552700000001,0.95,0.95,1,114.009247,0.28,0.28,0,battery_operator_762,way/941198517-380
battery_li_ion763,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,150.5373623,150.5373623,0.95,0.95,1,179.30048430000002,0.28,0.28,0,battery_operator_763,way/941453716-380
battery_li_ion764,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,178.3572368,178.3572368,0.95,0.95,1,202.20511379999996,0.28,0.28,0,battery_operator_764,way/941805476-380
battery_li_ion765,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,120.85901700000001,120.85901700000001,0.95,0.95,1,133.717503,0.28,0.28,0,battery_operator_765,way/942448206-220
battery_li_ion766,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,121.659282,121.659282,0.95,0.95,1,137.33778,0.28,0.28,0,battery_operator_766,way/942448206-380
battery_li_ion767,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,215.4142498,215.4142498,0.95,0.95,1,263.20836280000003,0.28,0.28,0,battery_operator_767,way/942771541-380
battery_li_ion768,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,151.33234779999998,151.33234779999998,0.95,0.95,1,161.3343478,0.28,0.28,0,battery_operator_768,way/943135226-220
battery_li_ion769,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,164.13427879999998,164.13427879999998,0.95,0.95,1,183.44037479999997,0.28,0.28,0,battery_operator_769,way/943135226-380
battery_li_ion770,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,627.690878,627.690878,0.95,0.95,1,944.750724,0.28,0.28,0,battery_operator_770,way/943939310-380
battery_li_ion771,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,381.15303299999994,381.15303299999994,0.95,0.95,1,466.581142,0.28,0.28,0,battery_operator_771,way/946025110-380
battery_li_ion772,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,142.4250193,142.4250193,0.95,0.95,1,163.97632430000002,0.28,0.28,0,battery_operator_772,way/946710698-220
battery_li_ion773,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,296.07058319999993,296.07058319999993,0.95,0.95,1,309.78545419999995,0.28,0.28,0,battery_operator_773,way/946969736-380
battery_li_ion774,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,164.0263233,164.0263233,0.95,0.95,1,204.74677129999998,0.28,0.28,0,battery_operator_774,way/947118608-380
battery_li_ion775,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,257.10247830000003,257.10247830000003,0.95,0.95,1,296.3288983,0.28,0.28,0,battery_operator_775,way/948341123-380
battery_li_ion776,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,75.05882353,75.05882353,0.95,0.95,1,75.05882353,0.28,0.28,0,battery_operator_776,way/951273401-380
battery_li_ion777,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,82.72393453,82.72393453,0.95,0.95,1,88.98678253,0.28,0.28,0,battery_operator_777,way/951773852-380
battery_li_ion778,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,84.62668553,84.62668553,0.95,0.95,1,91.38864652999999,0.28,0.28,0,battery_operator_778,way/952004951-220
battery_li_ion779,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,99.69027953,99.69027953,0.95,0.95,1,121.83993853,0.28,0.28,0,battery_operator_779,way/952004951-380
battery_li_ion780,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,49.20152716,49.20152716,0.95,0.95,1,68.62007116,0.28,0.28,0,battery_operator_780,way/952346322-380
battery_li_ion781,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,82.70966353,82.70966353,0.95,0.95,1,86.45322353,0.28,0.28,0,battery_operator_781,way/953015049-380
battery_li_ion782,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,84.68586653,84.68586653,0.95,0.95,1,89.73733653000001,0.28,0.28,0,battery_operator_782,way/953757606-380
battery_li_ion783,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,75.05882353,75.05882353,0.95,0.95,1,75.05882353,0.28,0.28,0,battery_operator_783,way/953757608-220
battery_li_ion784,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,75.08092352999999,75.08092352999999,0.95,0.95,1,75.08924353,0.28,0.28,0,battery_operator_784,way/953757608-380
battery_li_ion785,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.11026616,29.11026616,0.95,0.95,1,29.11026616,0.28,0.28,0,battery_operator_785,way/95434457-220
battery_li_ion786,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.11026616,29.11026616,0.95,0.95,1,29.11026616,0.28,0.28,0,battery_operator_786,way/95434457-380
battery_li_ion787,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,204.78205,204.78205,0.95,0.95,1,258.666224,0.28,0.28,0,battery_operator_787,way/954971276-220
