datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-01 18:00:00,2756,2827,8750.08,8750.08,20781.44,16406.399999999998
2019-01-01 18:15:00,2756,2827,8753.28,8753.28,20789.04,16412.399999999998
2019-01-01 18:30:00,2756,2827,8745.6,8745.6,20770.8,16398.0
2019-01-01 18:45:00,2756,2827,8736.0,8736.0,20748.0,16380.0
2019-01-01 19:00:00,2756,2827,8708.48,8708.48,20682.64,16328.4
2019-01-01 19:15:00,2756,2827,8625.92,8625.92,20486.56,16173.599999999999
2019-01-01 19:30:00,2756,2827,8551.680000000002,8551.680000000002,20310.24,16034.400000000001
2019-01-01 19:45:00,2756,2827,8450.56,8450.56,20070.08,15844.8
2019-01-01 20:00:00,2756,2827,8352.64,8352.64,19837.52,15661.199999999999
2019-01-01 20:15:00,2756,2827,8276.48,8276.48,19656.64,15518.4
2019-01-01 20:30:00,2756,2827,8168.320000000001,8168.320000000001,19399.760000000002,15315.599999999999
2019-01-01 20:45:00,2756,2827,8067.2,8067.2,19159.6,15126.0
2019-01-01 21:00:00,2756,2827,8023.04,8023.04,19054.72,15043.199999999999
2019-01-01 21:15:00,2756,2827,7966.72,7966.72,18920.96,14937.599999999999
2019-01-01 21:30:00,2756,2827,7935.360000000001,7935.360000000001,18846.48,14878.8
2019-01-01 21:45:00,2756,2827,7906.56,7906.56,18778.08,14824.8
2019-01-01 22:00:00,2756,2827,7946.88,7946.88,18873.84,14900.4
2019-01-01 22:15:00,2756,2827,7841.92,7841.92,18624.56,14703.6
2019-01-01 22:30:00,2756,2827,7757.4400000000005,7757.4400000000005,18423.920000000002,14545.199999999999
2019-01-01 22:45:00,2756,2827,7647.360000000001,7647.360000000001,18162.48,14338.8
2019-01-01 23:00:00,2756,2827,7536.0,7536.0,17898.0,14130.0
2019-01-01 23:15:00,2756,2827,7420.8,7420.8,17624.4,13914.0
2019-01-01 23:30:00,2756,2827,7267.84,7267.84,17261.12,13627.199999999999
2019-01-01 23:45:00,2756,2827,7187.84,7187.84,17071.12,13477.199999999999
