,demand_DE
1985,71268
1986,71680
1987,72416
1988,73692
1989,75168
1990,76048
1991,76348
1992,75996
1993,75588
1994,75436
1995,75352
1996,74908
1997,74152
1998,73624
1999,72936
2000,71828
2001,70792
2002,69704
2003,68808
2004,68148
2005,67672
2006,66428
2007,65652
2008,65636
2009,65204
2010,64204
2011,63200
2012,61848
2013,60980
2014,60092
2015,59412
2016,58216
2017,57904
2018,57932
2019,57500
2020,56728
2021,56436
2022,56312
2023,55912
2024,55432
2025,55348
2026,55236
2027,55180
2028,55316
2029,54988
2030,55104
2031,55132
2032,55676
2033,56084
2034,56372
2035,57020
2036,58292
2037,58912
2038,59648
2039,61040
2040,63880
2041,65944
2042,67756
2043,69540
2044,71736
2045,72792
2046,73908
2047,74568
2048,75124
2049,75476
2050,75700
2051,75752
2052,75344
2053,75616
2054,76040
2055,76204
2056,76072
2057,76064
2058,76176
2059,76288
2060,76348
2061,76512
2062,76528
2063,76764
2064,76108
2065,75964
2066,75880
2067,76064
2068,75912
2069,75676
2070,75352
2071,74900
2072,75096
2073,74804
2074,74892
2075,74612
2076,74648
2077,74384
2078,74072
2079,73740
2080,73776
2081,73744
2082,74044
2083,74656
2084,75852
2085,76644
2086,77172
2087,77556
2088,76928
2089,76808
2090,76584
2091,76340
2092,76088
2093,75452
2094,74672
2095,74136
2096,72776
2097,71560
2098,70512
2099,69604
2100,68896
2101,68064
2102,67160
2103,65920
2104,65944
2105,65452
2106,64440
2107,63436
2108,62264
2109,61388
2110,60708
2111,60148
2112,59636
2113,58832
2114,58656
2115,57808
2116,57020
2117,56856
2118,56664
2119,56308
2120,55992
2121,55852
2122,55908
2123,55968
2124,55936
2125,55856
2126,56056
2127,56024
2128,56284
2129,56436
2130,56964
2131,57384
2132,58500
2133,59264
2134,60084
2135,61148
2136,63516
2137,65724
2138,67664
2139,69728
2140,71676
2141,72920
2142,73920
2143,74596
2144,74748
2145,74948
2146,75304
2147,75632
2148,75128
2149,75264
2150,75632
2151,75712
2152,75588
2153,75668
2154,75852
2155,75880
2156,75860
2157,75984
2158,75992
2159,76000
2160,75692
2161,75456
2162,75324
2163,75384
2164,75544
2165,75272
2166,74772
2167,74332
2168,74344
2169,74252
2170,73976
2171,73788
2172,73788
2173,73424
2174,73140
2175,72956
2176,73120
2177,72864
2178,73160
2179,73800
2180,74856
2181,75908
2182,76360
2183,76596
2184,76400
2185,76108
2186,75868
2187,75744
2188,75252
2189,74448
2190,74088
2191,73512
2192,72184
2193,70912
2194,69944
2195,69012
2196,68336
2197,67612
2198,66712
2199,66004
2200,66112
2201,65508
2202,64396
2203,63516
2204,62056
2205,61412
2206,60480
2207,59772
2208,59380
2209,58868
2210,58524
2211,58052
2212,57276
2213,56660
2214,56708
2215,56120
2216,55388
2217,55012
2218,55024
2219,54672
2220,54992
2221,54912
2222,55052
2223,54932
2224,55044
2225,55424
2226,55840
2227,56168
2228,57140
2229,57860
2230,58984
2231,60116
2232,62424
2233,63988
2234,66060
2235,67892
2236,69688
2237,70920
2238,72120
2239,72896
2240,73620
2241,73804
2242,74052
2243,74184
2244,73904
2245,74356
2246,74544
2247,74896
2248,74884
2249,75084
2250,75428
2251,75548
2252,75632
2253,75672
2254,75864
2255,75516
2256,75344
2257,75144
2258,75176
2259,75048
2260,75352
2261,75068
2262,74780
2263,74120
2264,74140
2265,73916
2266,74052
2267,73856
2268,74272
2269,73884
2270,73780
2271,73552
2272,73336
2273,73256
2274,73504
2275,73880
2276,74568
2277,75604
2278,76320
2279,76316
2280,75788
2281,75528
2282,75124
2283,74828
2284,74664
2285,73848
2286,73368
2287,72644
2288,71396
2289,70176
2290,69032
2291,68252
2292,67512
2293,66832
2294,66024
2295,65180
2296,65080
2297,64368
2298,63236
2299,62392
2300,61284
2301,60352
2302,59872
2303,59060
2304,58476
2305,58012
2306,57868
2307,57228
2308,56684
2309,56308
2310,56076
2311,55456
2312,55356
2313,55412
2314,55200
2315,55124
2316,55060
2317,54956
2318,55036
2319,55248
2320,55560
2321,56000
2322,56388
2323,56816
2324,57912
2325,58464
2326,59560
2327,60928
2328,62856
2329,65156
2330,66912
2331,68668
2332,70512
2333,71752
2334,72760
2335,73468
2336,74096
2337,74420
2338,74540
2339,74700
2340,74660
2341,74960
2342,75300
2343,75200
2344,75132
2345,75268
2346,75636
2347,75576
2348,75596
2349,75708
2350,75604
2351,75344
2352,75172
2353,74848
2354,74660
2355,74468
2356,74156
2357,73616
2358,73248
2359,72460
2360,72396
2361,72428
2362,72264
2363,71932
2364,71712
2365,71504
2366,71328
2367,71076
2368,71148
2369,71220
2370,71680
2371,72196
2372,73272
2373,74308
2374,74784
2375,75056
2376,74852
2377,74456
2378,74360
2379,74152
2380,74104
2381,73044
2382,72440
2383,71776
2384,70204
2385,69324
2386,68436
2387,67680
2388,67096
2389,66464
2390,65692
2391,65040
2392,65268
2393,64720
2394,63660
2395,63032
2396,61648
2397,61072
2398,60368
2399,59704
2400,58988
2401,58208
2402,57828
2403,56888
2404,56000
2405,55380
2406,55304
2407,54860
2408,54228
2409,54016
2410,53612
2411,53472
2412,53368
2413,52976
2414,52864
2415,52584
2416,52756
2417,52480
2418,52656
2419,52628
2420,52924
2421,52544
2422,51980
2423,52040
2424,52476
2425,52700
2426,53324
2427,53948
2428,55244
2429,55896
2430,56332
2431,57084
2432,59076
2433,59456
2434,60120
2435,60764
2436,61908
2437,62448
2438,63268
2439,64008
2440,64320
2441,64780
2442,64940
2443,65196
2444,65248
2445,65336
2446,65744
2447,65560
2448,65288
2449,65148
2450,64940
2451,64232
2452,63684
2453,62964
2454,62760
2455,62120
2456,61784
2457,61460
2458,61420
2459,61240
2460,60968
2461,60968
2462,60788
2463,60604
2464,60348
2465,60856
2466,61128
2467,61676
2468,62884
2469,63884
2470,64704
2471,64928
2472,65224
2473,64856
2474,64668
2475,64348
2476,63732
2477,63004
2478,62280
2479,61496
2480,60332
2481,59276
2482,58336
2483,57832
2484,57336
2485,57136
2486,57000
2487,56832
2488,57212
2489,56508
2490,55940
2491,55268
2492,54132
2493,53320
2494,52872
2495,52348
2496,51180
