,wind_onshore_DE,wind_offshore_DE,solar_DE,water_DE,biomass_DE
330,19525.0,3816.0,1665.0,1493.0,4915.0
331,19910.0,3794.0,1848.0,1508.0,4916.0
332,20348.0,3763.0,2020.0,1545.0,4901.0
333,20817.0,3755.0,2138.0,1535.0,4897.0
334,21279.0,3738.0,2195.0,1489.0,4898.0
335,21626.0,3709.0,2219.0,1481.0,4879.0
336,22040.0,3753.0,2213.0,1522.0,4905.0
337,22393.0,3785.0,2155.0,1448.0,4916.0
338,22863.0,3798.0,2068.0,1476.0,4899.0
339,23555.0,3715.0,1959.0,1470.0,4914.0
340,23778.0,3703.0,1905.0,1546.0,4883.0
341,23797.0,3697.0,1777.0,1472.0,4899.0
342,23934.0,3690.0,1582.0,1481.0,4914.0
343,23711.0,3696.0,1444.0,1453.0,4914.0
344,23695.0,3614.0,1288.0,1523.0,4913.0
345,23725.0,3517.0,1085.0,1502.0,4919.0
346,23587.0,3460.0,877.0,1495.0,4907.0
347,23511.0,3370.0,713.0,1467.0,4924.0
348,23362.0,3386.0,547.0,1466.0,4928.0
349,23195.0,3447.0,357.0,1458.0,4919.0
350,23377.0,3436.0,235.0,1461.0,4920.0
351,23591.0,3442.0,122.0,1456.0,4926.0
352,23581.0,3481.0,49.0,1511.0,4937.0
353,23492.0,3466.0,27.0,1447.0,4943.0
354,23646.0,3494.0,7.0,1444.0,4940.0
355,23858.0,3589.0,0.0,1444.0,4925.0
356,23975.0,3623.0,0.0,1388.0,4915.0
357,23972.0,3652.0,0.0,1403.0,4926.0
358,24019.0,3689.0,0.0,1432.0,4944.0
359,23893.0,3702.0,0.0,1420.0,4943.0
360,23793.0,3714.0,0.0,1434.0,4937.0
361,23909.0,3732.0,0.0,1494.0,4933.0
362,23659.0,3778.0,0.0,1456.0,4945.0
363,23516.0,3764.0,0.0,1488.0,4942.0
364,23494.0,3787.0,0.0,1514.0,4939.0
365,23369.0,3822.0,0.0,1432.0,4939.0
366,23182.0,3870.0,0.0,1435.0,4943.0
367,22904.0,3890.0,0.0,1418.0,4930.0
368,22871.0,3884.0,0.0,1558.0,4941.0
369,22979.0,3879.0,0.0,1450.0,4922.0
370,22902.0,3870.0,0.0,1451.0,4939.0
371,22894.0,3868.0,0.0,1431.0,4916.0
372,22665.0,3885.0,0.0,1466.0,4914.0
373,22782.0,3879.0,0.0,1432.0,4934.0
374,22936.0,3873.0,0.0,1426.0,4921.0
375,23225.0,3867.0,0.0,1390.0,4909.0
376,22675.0,3875.0,0.0,1455.0,4901.0
377,22965.0,3896.0,0.0,1392.0,4908.0
378,23216.0,3896.0,0.0,1376.0,4890.0
379,23505.0,3904.0,0.0,1368.0,4901.0
380,23947.0,3910.0,0.0,1400.0,4896.0
381,24313.0,3901.0,0.0,1370.0,4905.0
382,24458.0,3917.0,0.0,1347.0,4884.0
383,24591.0,3913.0,0.0,1345.0,4887.0
384,24857.0,3886.0,0.0,1476.0,4877.0
385,25223.0,3855.0,0.0,1428.0,4873.0
386,25570.0,3826.0,0.0,1360.0,4869.0
387,25750.0,3846.0,0.0,1337.0,4882.0
388,25661.0,3860.0,0.0,1422.0,4857.0
389,25802.0,3837.0,0.0,1355.0,4844.0
390,26063.0,3806.0,0.0,1355.0,4857.0
391,26311.0,3778.0,0.0,1345.0,4853.0
392,26611.0,3744.0,0.0,1381.0,4856.0
393,26929.0,3704.0,0.0,1321.0,4865.0
394,27139.0,3690.0,0.0,1322.0,4870.0
395,27223.0,3685.0,0.0,1326.0,4854.0
396,27496.0,3679.0,0.0,1383.0,4861.0
397,27797.0,3690.0,0.0,1363.0,4863.0
398,28181.0,3634.0,0.0,1354.0,4849.0
399,28452.0,3617.0,0.0,1352.0,4845.0
400,28778.0,3580.0,0.0,1400.0,4851.0
401,28840.0,3513.0,0.0,1368.0,4838.0
402,28902.0,3512.0,0.0,1365.0,4843.0
403,28801.0,3479.0,0.0,1373.0,4853.0
404,28574.0,3487.0,0.0,1429.0,4829.0
405,28330.0,3611.0,0.0,1385.0,4844.0
406,28317.0,3707.0,0.0,1387.0,4842.0
407,28333.0,3711.0,0.0,1374.0,4813.0
408,29175.0,3674.0,0.0,1378.0,4848.0
409,29158.0,3590.0,0.0,1388.0,4835.0
410,28928.0,3573.0,0.0,1415.0,4838.0
411,28452.0,3644.0,0.0,1463.0,4847.0
412,27953.0,3752.0,0.0,1351.0,4860.0
413,27588.0,3781.0,0.0,1345.0,4849.0
414,27470.0,3763.0,0.0,1344.0,4850.0
415,27291.0,3699.0,0.0,1360.0,4845.0
416,26855.0,3649.0,7.0,1365.0,4863.0
417,26429.0,3615.0,30.0,1434.0,4883.0
418,26033.0,3607.0,84.0,1413.0,4894.0
419,25735.0,3614.0,143.0,1406.0,4888.0
420,25556.0,3629.0,207.0,1422.0,4876.0
421,25357.0,3587.0,295.0,1453.0,4858.0
422,24948.0,3579.0,431.0,1554.0,4882.0
423,24639.0,3587.0,563.0,1518.0,4875.0
424,24291.0,3631.0,690.0,1444.0,4880.0
425,23850.0,3603.0,835.0,1462.0,4867.0
426,23556.0,3530.0,964.0,1465.0,4862.0
427,23320.0,3502.0,1099.0,1516.0,4867.0
428,23016.0,3499.0,1240.0,1540.0,4874.0
429,22758.0,3474.0,1408.0,1447.0,4876.0
430,22586.0,3382.0,1535.0,1437.0,4885.0
431,22281.0,3301.0,1590.0,1485.0,4882.0
432,21812.0,3287.0,1630.0,1402.0,4885.0
433,21595.0,3263.0,1695.0,1454.0,4900.0
434,21247.0,3275.0,1661.0,1415.0,4889.0
435,21104.0,3303.0,1580.0,1382.0,4884.0
436,21026.0,3347.0,1497.0,1452.0,4895.0
437,20766.0,3390.0,1413.0,1382.0,4896.0
438,20480.0,3373.0,1279.0,1405.0,4883.0
439,20312.0,3302.0,1129.0,1388.0,4895.0
440,20046.0,3241.0,1026.0,1434.0,4898.0
441,19620.0,3193.0,879.0,1444.0,4906.0
