,power,unit,simulation
2019-01-01 21:00:00,-1459.5694444444443,demand_DE,example_01b
2019-01-01 22:00:00,-1466.5902777777778,demand_DE,example_01b
2019-01-01 22:00:00,1466.5902777777778,KKW ISAR 2,example_01b
2019-01-01 23:00:00,1445.888888888889,KKW ISAR 2,example_01b
2019-01-01 22:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 23:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 22:00:00,-1466.5902777777778,demand_DE,example_01b
2019-01-01 23:00:00,-1445.888888888889,demand_DE,example_01b
2019-01-01 23:00:00,1445.888888888889,KKW ISAR 2,example_01b
2019-01-02 00:00:00,1445.888888888889,KKW ISAR 2,example_01b
2019-01-01 23:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 00:00:00,0.0,IRSCHING 5,example_01b
2019-01-01 23:00:00,-1445.888888888889,demand_DE,example_01b
2019-01-02 00:00:00,-1445.888888888889,demand_DE,example_01b
2019-01-02 00:00:00,1445.888888888889,KKW ISAR 2,example_01b
2019-01-02 01:00:00,1466.4305555555557,KKW ISAR 2,example_01b
2019-01-02 00:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 01:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 00:00:00,-1445.888888888889,demand_DE,example_01b
2019-01-02 01:00:00,-1466.4305555555557,demand_DE,example_01b
2019-01-02 01:00:00,1466.4305555555557,KKW ISAR 2,example_01b
2019-01-02 02:00:00,1452.7412587412587,KKW ISAR 2,example_01b
2019-01-02 01:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 02:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 01:00:00,-1466.4305555555557,demand_DE,example_01b
2019-01-02 02:00:00,-1452.7412587412587,demand_DE,example_01b
2019-01-02 02:00:00,1452.7412587412587,KKW ISAR 2,example_01b
2019-01-02 03:00:00,1452.7412587412587,KKW ISAR 2,example_01b
2019-01-02 02:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 03:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 02:00:00,-1452.7412587412587,demand_DE,example_01b
2019-01-02 03:00:00,-1452.7412587412587,demand_DE,example_01b
2019-01-02 03:00:00,1452.7412587412587,KKW ISAR 2,example_01b
2019-01-02 04:00:00,1453.2430555555557,KKW ISAR 2,example_01b
2019-01-02 03:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 04:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 03:00:00,-1452.7412587412587,demand_DE,example_01b
2019-01-02 04:00:00,-1453.2430555555557,demand_DE,example_01b
2019-01-01 19:00:00,0.0,NEURATH F,example_01b
2019-01-01 20:00:00,0.0,NEURATH F,example_01b
2019-01-01 21:00:00,0.0,NEURATH F,example_01b
2019-01-01 22:00:00,0.0,NEURATH F,example_01b
2019-01-01 23:00:00,0.0,NEURATH F,example_01b
2019-01-02 00:00:00,0.0,NEURATH F,example_01b
2019-01-02 01:00:00,0.0,NEURATH F,example_01b
2019-01-02 02:00:00,0.0,NEURATH F,example_01b
2019-01-02 03:00:00,0.0,NEURATH F,example_01b
2019-01-02 04:00:00,0.0,NEURATH F,example_01b
2019-01-02 05:00:00,0.0,NEURATH F,example_01b
2019-01-02 04:00:00,1453.2430555555557,KKW ISAR 2,example_01b
2019-01-02 05:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 04:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 05:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 04:00:00,-1453.2430555555557,demand_DE,example_01b
2019-01-02 05:00:00,-1491.4652777777778,demand_DE,example_01b
2019-01-02 05:00:00,0.0,NEURATH F,example_01b
2019-01-02 06:00:00,0.0,NEURATH F,example_01b
2019-01-02 05:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 06:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 05:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 06:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 05:00:00,-1491.4652777777778,demand_DE,example_01b
2019-01-02 06:00:00,-1502.263888888889,demand_DE,example_01b
2019-01-02 06:00:00,0.0,NEURATH F,example_01b
2019-01-02 07:00:00,0.0,NEURATH F,example_01b
2019-01-02 06:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 07:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 06:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 07:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 06:00:00,-1502.263888888889,demand_DE,example_01b
2019-01-02 07:00:00,-1486.020979020979,demand_DE,example_01b
2019-01-02 07:00:00,0.0,NEURATH F,example_01b
2019-01-02 08:00:00,0.0,NEURATH F,example_01b
2019-01-02 07:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 08:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 07:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 08:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 07:00:00,-1486.020979020979,demand_DE,example_01b
2019-01-02 08:00:00,-1486.020979020979,demand_DE,example_01b
2019-01-02 08:00:00,0.0,NEURATH F,example_01b
2019-01-02 09:00:00,0.0,NEURATH F,example_01b
2019-01-02 08:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 09:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 08:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 09:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 08:00:00,-1486.020979020979,demand_DE,example_01b
2019-01-02 09:00:00,-1529.4791666666667,demand_DE,example_01b
2019-01-02 09:00:00,0.0,NEURATH F,example_01b
2019-01-02 10:00:00,0.0,NEURATH F,example_01b
2019-01-02 09:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 10:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 09:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 10:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 09:00:00,-1529.4791666666667,demand_DE,example_01b
2019-01-02 10:00:00,-1529.4791666666667,demand_DE,example_01b
2019-01-02 10:00:00,0.0,NEURATH F,example_01b
2019-01-02 11:00:00,0.0,NEURATH F,example_01b
2019-01-02 10:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 11:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 10:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 11:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 10:00:00,-1529.4791666666667,demand_DE,example_01b
2019-01-02 11:00:00,-1540.4335664335665,demand_DE,example_01b
2019-01-02 11:00:00,0.0,NEURATH F,example_01b
2019-01-02 12:00:00,0.0,NEURATH F,example_01b
2019-01-02 11:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 12:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 11:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 12:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 11:00:00,-1540.4335664335665,demand_DE,example_01b
2019-01-02 12:00:00,-1520.188811188811,demand_DE,example_01b
2019-01-02 12:00:00,0.0,NEURATH F,example_01b
2019-01-02 13:00:00,0.0,NEURATH F,example_01b
2019-01-02 12:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 13:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 12:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 13:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 12:00:00,-1520.188811188811,demand_DE,example_01b
2019-01-02 13:00:00,-1520.188811188811,demand_DE,example_01b
2019-01-02 13:00:00,0.0,NEURATH F,example_01b
2019-01-02 14:00:00,0.0,NEURATH F,example_01b
2019-01-02 13:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 14:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 13:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 14:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 13:00:00,-1520.188811188811,demand_DE,example_01b
2019-01-02 14:00:00,-1492.875,demand_DE,example_01b
2019-01-02 14:00:00,0.0,NEURATH F,example_01b
2019-01-02 15:00:00,0.0,NEURATH F,example_01b
2019-01-02 14:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 15:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 14:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 15:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 14:00:00,-1492.875,demand_DE,example_01b
2019-01-02 15:00:00,-1492.875,demand_DE,example_01b
2019-01-02 15:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 16:00:00,1474.0555555555557,KKW ISAR 2,example_01b
2019-01-02 15:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 16:00:00,0.0,IRSCHING 5,example_01b
