tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
268,0.9,1.8,8.529262622,25.12963149,21.67,20.7,23.44416667
269,0.9,1.8,8.52913092,25.13067719,21.67,20.7,23.44895833
270,0.9,1.8,8.528999218,25.13172289,21.67,20.7,23.45375
271,0.9,1.8,8.528867516,25.13276859,21.67,20.7,23.45854167
272,0.9,1.8,8.528735814,25.13381429,21.67,20.7,23.46333333
273,0.9,1.8,8.528577772,25.13451142,21.67,20.7,23.468125
274,0.9,1.8,8.52841973,25.13520856,21.67,20.7,23.47291667
275,0.9,1.8,8.528261687,25.13590569,21.67,20.7,23.47770833
276,0.9,1.8,8.528103645,25.13660282,21.67,20.7,23.4825
277,0.9,1.8,8.527945602,25.13729996,21.67,20.7,23.48729167
278,0.9,1.8,8.52778756,25.13799709,21.67,20.7,23.49208333
279,0.9,1.8,8.527629517,25.13869422,21.67,20.7,23.496875
280,0.9,1.8,8.527471475,25.13939136,21.67,20.7,23.50166667
281,0.9,1.8,8.527313432,25.14008849,21.67,20.7,23.50645833
282,0.9,1.8,8.52715539,25.14078562,21.67,20.7,23.51125
283,0.9,1.8,8.526997348,25.14148276,21.67,20.7,23.51604167
284,0.9,1.8,8.526839305,25.14217989,21.67,20.7,23.52083333
285,0.9,1.8,8.526681263,25.14287702,21.67,20.7,23.525625
286,0.9,1.8,8.52652322,25.14357416,21.67,20.7,23.53041667
287,0.9,1.8,8.526365178,25.14427129,21.67,20.7,23.53520833
288,0.9,1.8,8.526207135,25.14496842,21.44,20.7,23.54
289,0.9,1.8,8.526207135,25.14461986,21.44,20.7,23.53496528
290,0.9,1.8,8.526207135,25.14427129,21.44,20.7,23.52993056
291,0.9,1.8,8.526207135,25.14392272,21.44,20.7,23.52489583
292,0.9,1.8,8.526207135,25.14357416,21.44,20.7,23.51986111
293,0.9,1.8,8.526207135,25.14322559,21.44,20.7,23.51482639
294,0.9,1.8,8.526207135,25.14287702,21.44,20.7,23.50979167
295,0.9,1.8,8.526207135,25.14252846,21.44,20.7,23.50475694
296,0.9,1.8,8.526207135,25.14217989,21.44,20.7,23.49972222
297,0.9,1.8,8.526207135,25.14183132,21.44,20.7,23.4946875
298,0.9,1.8,8.526207135,25.14148276,21.44,20.7,23.48965278
299,0.9,1.8,8.526207135,25.14113419,21.44,20.7,23.48461806
300,0.9,1.8,8.526207135,25.14078562,21.44,20.7,23.47958333
301,0.9,1.8,8.526207135,25.14043706,21.44,20.7,23.47454861
302,0.9,1.8,8.526207135,25.14008849,21.44,20.7,23.46951389
303,0.9,1.8,8.526207135,25.13973992,21.44,20.7,23.46447917
304,0.9,1.8,8.526207135,25.13939136,21.44,20.7,23.45944444
305,0.9,1.8,8.526075433,25.13939136,21.44,20.7,23.45440972
306,0.9,1.8,8.525943731,25.13939136,21.44,20.7,23.449375
307,0.9,1.8,8.525812029,25.13939136,21.44,20.7,23.44434028
308,0.9,1.8,8.525680327,25.13939136,21.44,20.7,23.43930556
309,0.9,1.8,8.525548625,25.13939136,21.44,20.7,23.43427083
310,0.9,1.8,8.525416923,25.13939136,21.44,20.7,23.42923611
311,0.9,1.8,8.525285221,25.13939136,21.44,20.7,23.42420139
312,0.9,1.8,8.525153519,25.13939136,21.44,20.7,23.41916667
313,0.9,1.8,8.525021817,25.13939136,21.44,20.7,23.41413194
314,0.9,1.8,8.524890115,25.13939136,21.44,20.7,23.40909722
315,0.9,1.8,8.524758413,25.13939136,21.44,20.7,23.4040625
316,0.9,1.8,8.524626711,25.13939136,21.44,20.7,23.39902778
317,0.9,1.8,8.524495009,25.13939136,21.44,20.7,23.39399306
318,0.9,1.8,8.524363307,25.13939136,21.44,20.7,23.38895833
319,0.9,1.8,8.524231605,25.13939136,21.44,20.7,23.38392361
320,0.9,1.8,8.524099903,25.13939136,21.44,20.7,23.37888889
321,0.9,1.8,8.523941861,25.13869422,21.44,20.7,23.37385417
322,0.9,1.8,8.523783818,25.13799709,21.44,20.7,23.36881944
323,0.9,1.8,8.523625776,25.13729996,21.44,20.7,23.36378472
324,0.9,1.8,8.523467733,25.13660282,21.44,20.7,23.35875
325,0.9,1.8,8.523309691,25.13590569,21.44,20.7,23.35371528
326,0.9,1.8,8.523151648,25.13520856,21.44,20.7,23.34868056
327,0.9,1.8,8.522993606,25.13451142,21.44,20.7,23.34364583
328,0.9,1.8,8.522835564,25.13381429,21.44,20.7,23.33861111
329,0.9,1.8,8.522677521,25.13311716,21.44,20.7,23.33357639
330,0.9,1.8,8.522519479,25.13242002,21.44,20.7,23.32854167
331,0.9,1.8,8.522361436,25.13172289,21.44,20.7,23.32350694
332,0.9,1.8,8.522203394,25.13102575,21.44,20.7,23.31847222
333,0.9,1.8,8.522045351,25.13032862,21.44,20.7,23.3134375
334,0.9,1.8,8.521887309,25.12963149,21.44,20.7,23.30840278
335,0.9,1.8,8.521729267,25.12893435,21.44,20.7,23.30336806
336,0.9,1.8,8.521571224,25.12823722,21.44,20.7,23.29833333
337,0.9,1.8,8.521439522,25.12719152,21.44,20.7,23.29329861
338,0.9,1.8,8.52130782,25.12614582,21.44,20.7,23.28826389
339,0.9,1.8,8.521176118,25.12510012,21.44,20.7,23.28322917
340,0.9,1.8,8.521044416,25.12405442,21.44,20.7,23.27819444
341,0.9,1.8,8.520912714,25.12300872,21.44,20.7,23.27315972
342,0.9,1.8,8.520781012,25.12196302,21.44,20.7,23.268125
343,0.9,1.8,8.52064931,25.12091732,21.44,20.7,23.26309028
344,0.9,1.8,8.520517608,25.11987162,21.44,20.7,23.25805556
345,0.9,1.8,8.520385906,25.11882592,21.44,20.7,23.25302083
346,0.9,1.8,8.520254204,25.11778022,21.44,20.7,23.24798611
347,0.9,1.8,8.520122502,25.11673452,21.44,20.7,23.24295139
348,0.9,1.8,8.5199908,25.11568882,21.44,20.7,23.23791667
349,0.9,1.8,8.519859098,25.11464312,21.44,20.7,23.23288194
350,0.9,1.8,8.519727396,25.11359742,21.44,20.7,23.22784722
351,0.9,1.8,8.519595694,25.11255172,21.44,20.7,23.2228125
352,0.9,1.8,8.519463992,25.11150602,21.44,20.7,23.21777778
