,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
18,880,880,880,880,119.39,119.39,119.39,,2019-01-02 07:00:00,2019-01-02 08:00:00,,EOM,2019-01-02 07:00:00,experiment_cement_plant_case
19,880,880,880,880,119.39,119.39,119.39,,2019-01-02 08:00:00,2019-01-02 09:00:00,,EOM,2019-01-02 08:00:00,experiment_cement_plant_case
20,880,880,880,880,119.39,119.39,119.39,,2019-01-02 09:00:00,2019-01-02 10:00:00,,EOM,2019-01-02 09:00:00,experiment_cement_plant_case
21,880,880,880,880,119.39,119.39,119.39,,2019-01-02 10:00:00,2019-01-02 11:00:00,,EOM,2019-01-02 10:00:00,experiment_cement_plant_case
22,880,880,880,880,119.39,119.39,119.39,,2019-01-02 11:00:00,2019-01-02 12:00:00,,EOM,2019-01-02 11:00:00,experiment_cement_plant_case
23,880,880,880,880,119.39,119.39,119.39,,2019-01-02 12:00:00,2019-01-02 13:00:00,,EOM,2019-01-02 12:00:00,experiment_cement_plant_case
24,880,880,880,880,119.39,119.39,119.39,,2019-01-02 13:00:00,2019-01-02 14:00:00,,EOM,2019-01-02 13:00:00,experiment_cement_plant_case
25,840.39,840.39,840.39,840.39,119.39,119.39,119.39,,2019-01-02 14:00:00,2019-01-02 15:00:00,,EOM,2019-01-02 14:00:00,experiment_cement_plant_case
26,807.23,807.23,807.23,807.23,119.39,119.39,119.39,,2019-01-02 15:00:00,2019-01-02 16:00:00,,EOM,2019-01-02 15:00:00,experiment_cement_plant_case
27,783.87,783.87,783.87,783.87,119.39,119.39,119.39,,2019-01-02 16:00:00,2019-01-02 17:00:00,,EOM,2019-01-02 16:00:00,experiment_cement_plant_case
28,771.91,771.91,771.91,771.91,92.118,92.118,92.118,,2019-01-02 17:00:00,2019-01-02 18:00:00,,EOM,2019-01-02 17:00:00,experiment_cement_plant_case
29,772.16,772.16,772.16,772.16,92.118,92.118,92.118,,2019-01-02 18:00:00,2019-01-02 19:00:00,,EOM,2019-01-02 18:00:00,experiment_cement_plant_case
30,784.62,784.62,784.62,784.62,119.39,119.39,119.39,,2019-01-02 19:00:00,2019-01-02 20:00:00,,EOM,2019-01-02 19:00:00,experiment_cement_plant_case
31,808.43,808.43,808.43,808.43,119.39,119.39,119.39,,2019-01-02 20:00:00,2019-01-02 21:00:00,,EOM,2019-01-02 20:00:00,experiment_cement_plant_case
32,841.96,841.96,841.96,841.96,119.39,119.39,119.39,,2019-01-02 21:00:00,2019-01-02 22:00:00,,EOM,2019-01-02 21:00:00,experiment_cement_plant_case
33,880,880,880,880,119.39,119.39,119.39,,2019-01-02 22:00:00,2019-01-02 23:00:00,,EOM,2019-01-02 22:00:00,experiment_cement_plant_case
34,880,880,880,880,119.39,119.39,119.39,,2019-01-02 23:00:00,2019-01-03 00:00:00,,EOM,2019-01-02 23:00:00,experiment_cement_plant_case
35,200,200,800,800,85.3,119.39,64.845,,2019-01-01 21:00:00,2019-01-02 01:00:00,,CRM_pos,2019-01-01 21:00:00,experiment_cement_plant_case
36,0,0,0,0,0,0,0,,2019-01-01 21:00:00,2019-01-02 01:00:00,,CRM_neg,2019-01-01 21:00:00,experiment_cement_plant_case
37,0,0,0,0,0,0,0,,2019-01-02 01:00:00,2019-01-02 05:00:00,,CRM_pos,2019-01-02 01:00:00,experiment_cement_plant_case
38,200,200,800,800,341.2,477.56,259.38,,2019-01-02 01:00:00,2019-01-02 05:00:00,,CRM_neg,2019-01-02 01:00:00,experiment_cement_plant_case
39,0,0,0,0,0,0,0,,2019-01-02 05:00:00,2019-01-02 09:00:00,,CRM_pos,2019-01-02 05:00:00,experiment_cement_plant_case
40,400,400,1600,1600,383.85,537.26,291.8,,2019-01-02 05:00:00,2019-01-02 09:00:00,,CRM_neg,2019-01-02 05:00:00,experiment_cement_plant_case
41,0,0,0,0,0,0,0,,2019-01-02 09:00:00,2019-01-02 13:00:00,,CRM_pos,2019-01-02 09:00:00,experiment_cement_plant_case
42,400,400,1600,1600,383.85,537.26,291.8,,2019-01-02 09:00:00,2019-01-02 13:00:00,,CRM_neg,2019-01-02 09:00:00,experiment_cement_plant_case
43,0,0,0,0,0,0,0,,2019-01-02 13:00:00,2019-01-02 17:00:00,,CRM_pos,2019-01-02 13:00:00,experiment_cement_plant_case
44,400,400,1600,1600,383.85,537.26,291.8,,2019-01-02 13:00:00,2019-01-02 17:00:00,,CRM_neg,2019-01-02 13:00:00,experiment_cement_plant_case
45,61.964,61.964,247.85,247.85,170.67,569.01,110.82,,2019-01-02 17:00:00,2019-01-02 21:00:00,,CRM_pos,2019-01-02 17:00:00,experiment_cement_plant_case
46,300,300,1200,1200,332.71,414.53,291.8,,2019-01-02 17:00:00,2019-01-02 21:00:00,,CRM_neg,2019-01-02 17:00:00,experiment_cement_plant_case
47,415.86,415.86,415.86,415.86,3000,3000,3000,,2019-01-03 00:00:00,2019-01-03 01:00:00,,EOM,2019-01-03 00:00:00,experiment_cement_plant_case
48,400,400,400,400,119.39,119.39,119.39,,2019-01-03 01:00:00,2019-01-03 02:00:00,,EOM,2019-01-03 01:00:00,experiment_cement_plant_case
49,400,400,400,400,119.39,119.39,119.39,,2019-01-03 02:00:00,2019-01-03 03:00:00,,EOM,2019-01-03 02:00:00,experiment_cement_plant_case
50,400,400,400,400,119.39,119.39,119.39,,2019-01-03 03:00:00,2019-01-03 04:00:00,,EOM,2019-01-03 03:00:00,experiment_cement_plant_case
51,400,400,400,400,119.39,119.39,119.39,,2019-01-03 04:00:00,2019-01-03 05:00:00,,EOM,2019-01-03 04:00:00,experiment_cement_plant_case
52,400,400,400,400,119.39,119.39,119.39,,2019-01-03 05:00:00,2019-01-03 06:00:00,,EOM,2019-01-03 05:00:00,experiment_cement_plant_case
53,400,400,400,400,119.39,119.39,119.39,,2019-01-03 06:00:00,2019-01-03 07:00:00,,EOM,2019-01-03 06:00:00,experiment_cement_plant_case
54,400,400,400,400,119.39,119.39,119.39,,2019-01-03 07:00:00,2019-01-03 08:00:00,,EOM,2019-01-03 07:00:00,experiment_cement_plant_case
55,400,400,400,400,119.39,119.39,119.39,,2019-01-03 08:00:00,2019-01-03 09:00:00,,EOM,2019-01-03 08:00:00,experiment_cement_plant_case
56,400,400,400,400,119.39,119.39,119.39,,2019-01-03 09:00:00,2019-01-03 10:00:00,,EOM,2019-01-03 09:00:00,experiment_cement_plant_case
57,400,400,400,400,119.39,119.39,119.39,,2019-01-03 10:00:00,2019-01-03 11:00:00,,EOM,2019-01-03 10:00:00,experiment_cement_plant_case
58,419.1,419.1,419.1,419.1,3000,3000,3000,,2019-01-03 11:00:00,2019-01-03 12:00:00,,EOM,2019-01-03 11:00:00,experiment_cement_plant_case
59,445.22,445.22,445.22,445.22,3000,3000,3000,,2019-01-03 12:00:00,2019-01-03 13:00:00,,EOM,2019-01-03 12:00:00,experiment_cement_plant_case
60,467.76,467.76,467.76,467.76,3000,3000,3000,,2019-01-03 13:00:00,2019-01-03 14:00:00,,EOM,2019-01-03 13:00:00,experiment_cement_plant_case
61,449.91,449.91,449.91,449.91,3000,3000,3000,,2019-01-03 14:00:00,2019-01-03 15:00:00,,EOM,2019-01-03 14:00:00,experiment_cement_plant_case
62,435.5,435.5,435.5,435.5,3000,3000,3000,,2019-01-03 15:00:00,2019-01-03 16:00:00,,EOM,2019-01-03 15:00:00,experiment_cement_plant_case
63,425.52,425.52,425.52,425.52,3000,3000,3000,,2019-01-03 16:00:00,2019-01-03 17:00:00,,EOM,2019-01-03 16:00:00,experiment_cement_plant_case
64,420.65,420.65,420.65,420.65,3000,3000,3000,,2019-01-03 17:00:00,2019-01-03 18:00:00,,EOM,2019-01-03 17:00:00,experiment_cement_plant_case
65,421.22,421.22,421.22,421.22,3000,3000,3000,,2019-01-03 18:00:00,2019-01-03 19:00:00,,EOM,2019-01-03 18:00:00,experiment_cement_plant_case
66,427.2,427.2,427.2,427.2,3000,3000,3000,,2019-01-03 19:00:00,2019-01-03 20:00:00,,EOM,2019-01-03 19:00:00,experiment_cement_plant_case
67,438.17,438.17,438.17,438.17,3000,3000,3000,,2019-01-03 20:00:00,2019-01-03 21:00:00,,EOM,2019-01-03 20:00:00,experiment_cement_plant_case
68,453.39,453.39,453.39,453.39,3000,3000,3000,,2019-01-03 21:00:00,2019-01-03 22:00:00,,EOM,2019-01-03 21:00:00,experiment_cement_plant_case
69,465.25,465.25,465.25,465.25,3000,3000,3000,,2019-01-03 22:00:00,2019-01-03 23:00:00,,EOM,2019-01-03 22:00:00,experiment_cement_plant_case
70,439.81,439.81,439.81,439.81,3000,3000,3000,,2019-01-03 23:00:00,2019-01-04 00:00:00,,EOM,2019-01-03 23:00:00,experiment_cement_plant_case
71,16.476,16.476,65.905,65.905,362.31,362.31,362.31,,2019-01-02 21:00:00,2019-01-03 01:00:00,,CRM_pos,2019-01-02 21:00:00,experiment_cement_plant_case
72,328.43,328.43,1313.7,1313.7,337.41,414.53,291.8,,2019-01-02 21:00:00,2019-01-03 01:00:00,,CRM_neg,2019-01-02 21:00:00,experiment_cement_plant_case
73,0,0,0,0,0,0,0,,2019-01-03 01:00:00,2019-01-03 05:00:00,,CRM_pos,2019-01-03 01:00:00,experiment_cement_plant_case
74,400,400,1600,1600,383.85,537.26,291.8,,2019-01-03 01:00:00,2019-01-03 05:00:00,,CRM_neg,2019-01-03 01:00:00,experiment_cement_plant_case
75,0,0,0,0,0,0,0,,2019-01-03 05:00:00,2019-01-03 09:00:00,,CRM_pos,2019-01-03 05:00:00,experiment_cement_plant_case
76,400,400,1600,1600,383.85,537.26,291.8,,2019-01-03 05:00:00,2019-01-03 09:00:00,,CRM_neg,2019-01-03 05:00:00,experiment_cement_plant_case
77,0,0,0,0,0,0,0,,2019-01-03 09:00:00,2019-01-03 13:00:00,,CRM_pos,2019-01-03 09:00:00,experiment_cement_plant_case
78,400,400,1600,1600,383.85,537.26,291.8,,2019-01-03 09:00:00,2019-01-03 13:00:00,,CRM_neg,2019-01-03 09:00:00,experiment_cement_plant_case
79,0,0,0,0,0,0,0,,2019-01-03 13:00:00,2019-01-03 17:00:00,,CRM_pos,2019-01-03 13:00:00,experiment_cement_plant_case
80,400,400,1600,1600,383.85,537.26,291.8,,2019-01-03 13:00:00,2019-01-03 17:00:00,,CRM_neg,2019-01-03 13:00:00,experiment_cement_plant_case
81,0,0,0,0,0,0,0,,2019-01-03 17:00:00,2019-01-03 21:00:00,,CRM_pos,2019-01-03 17:00:00,experiment_cement_plant_case
82,400,400,1600,1600,383.85,537.26,291.8,,2019-01-03 17:00:00,2019-01-03 21:00:00,,CRM_neg,2019-01-03 17:00:00,experiment_cement_plant_case
83,420.19,420.19,420.19,420.19,3000,3000,3000,,2019-01-04 00:00:00,2019-01-04 01:00:00,,EOM,2019-01-04 00:00:00,experiment_cement_plant_case
84,400,400,400,400,119.39,119.39,119.39,,2019-01-04 01:00:00,2019-01-04 02:00:00,,EOM,2019-01-04 01:00:00,experiment_cement_plant_case
85,400,400,400,400,119.39,119.39,119.39,,2019-01-04 02:00:00,2019-01-04 03:00:00,,EOM,2019-01-04 02:00:00,experiment_cement_plant_case
86,400,400,400,400,119.39,119.39,119.39,,2019-01-04 03:00:00,2019-01-04 04:00:00,,EOM,2019-01-04 03:00:00,experiment_cement_plant_case
87,400,400,400,400,119.39,119.39,119.39,,2019-01-04 04:00:00,2019-01-04 05:00:00,,EOM,2019-01-04 04:00:00,experiment_cement_plant_case
88,400,400,400,400,119.39,119.39,119.39,,2019-01-04 05:00:00,2019-01-04 06:00:00,,EOM,2019-01-04 05:00:00,experiment_cement_plant_case
89,400,400,400,400,119.39,119.39,119.39,,2019-01-04 06:00:00,2019-01-04 07:00:00,,EOM,2019-01-04 06:00:00,experiment_cement_plant_case
90,400,400,400,400,119.39,119.39,119.39,,2019-01-04 07:00:00,2019-01-04 08:00:00,,EOM,2019-01-04 07:00:00,experiment_cement_plant_case
91,400,400,400,400,119.39,119.39,119.39,,2019-01-04 08:00:00,2019-01-04 09:00:00,,EOM,2019-01-04 08:00:00,experiment_cement_plant_case
92,400,400,400,400,119.39,119.39,119.39,,2019-01-04 09:00:00,2019-01-04 10:00:00,,EOM,2019-01-04 09:00:00,experiment_cement_plant_case
93,400,400,400,400,119.39,119.39,119.39,,2019-01-04 10:00:00,2019-01-04 11:00:00,,EOM,2019-01-04 10:00:00,experiment_cement_plant_case
94,414.78,414.78,414.78,414.78,3000,3000,3000,,2019-01-04 11:00:00,2019-01-04 12:00:00,,EOM,2019-01-04 11:00:00,experiment_cement_plant_case
95,420.19,420.19,420.19,420.19,3000,3000,3000,,2019-01-04 12:00:00,2019-01-04 13:00:00,,EOM,2019-01-04 12:00:00,experiment_cement_plant_case
96,400,400,400,400,119.39,119.39,119.39,,2019-01-04 13:00:00,2019-01-04 14:00:00,,EOM,2019-01-04 13:00:00,experiment_cement_plant_case
97,400,400,400,400,119.39,119.39,119.39,,2019-01-04 14:00:00,2019-01-04 15:00:00,,EOM,2019-01-04 14:00:00,experiment_cement_plant_case
98,400,400,400,400,119.39,119.39,119.39,,2019-01-04 15:00:00,2019-01-04 16:00:00,,EOM,2019-01-04 15:00:00,experiment_cement_plant_case
99,400,400,400,400,119.39,119.39,119.39,,2019-01-04 16:00:00,2019-01-04 17:00:00,,EOM,2019-01-04 16:00:00,experiment_cement_plant_case
100,400,400,400,400,119.39,119.39,119.39,,2019-01-04 17:00:00,2019-01-04 18:00:00,,EOM,2019-01-04 17:00:00,experiment_cement_plant_case
101,400,400,400,400,119.39,119.39,119.39,,2019-01-04 18:00:00,2019-01-04 19:00:00,,EOM,2019-01-04 18:00:00,experiment_cement_plant_case
102,400,400,400,400,119.39,119.39,119.39,,2019-01-04 19:00:00,2019-01-04 20:00:00,,EOM,2019-01-04 19:00:00,experiment_cement_plant_case
103,400,400,400,400,119.39,119.39,119.39,,2019-01-04 20:00:00,2019-01-04 21:00:00,,EOM,2019-01-04 20:00:00,experiment_cement_plant_case
104,400,400,400,400,119.39,119.39,119.39,,2019-01-04 21:00:00,2019-01-04 22:00:00,,EOM,2019-01-04 21:00:00,experiment_cement_plant_case
105,400,400,400,400,119.39,119.39,119.39,,2019-01-04 22:00:00,2019-01-04 23:00:00,,EOM,2019-01-04 22:00:00,experiment_cement_plant_case
106,414.78,414.78,414.78,414.78,3000,3000,3000,,2019-01-04 23:00:00,2019-01-05 00:00:00,,EOM,2019-01-04 23:00:00,experiment_cement_plant_case
107,0,0,0,0,0,0,0,,2019-01-03 21:00:00,2019-01-04 01:00:00,,CRM_pos,2019-01-03 21:00:00,experiment_cement_plant_case
108,400,400,1600,1600,383.85,537.26,291.8,,2019-01-03 21:00:00,2019-01-04 01:00:00,,CRM_neg,2019-01-03 21:00:00,experiment_cement_plant_case
109,0,0,0,0,0,0,0,,2019-01-04 01:00:00,2019-01-04 05:00:00,,CRM_pos,2019-01-04 01:00:00,experiment_cement_plant_case
110,400,400,1600,1600,383.85,537.26,291.8,,2019-01-04 01:00:00,2019-01-04 05:00:00,,CRM_neg,2019-01-04 01:00:00,experiment_cement_plant_case
111,0,0,0,0,0,0,0,,2019-01-04 05:00:00,2019-01-04 09:00:00,,CRM_pos,2019-01-04 05:00:00,experiment_cement_plant_case
112,400,400,1600,1600,383.85,537.26,291.8,,2019-01-04 05:00:00,2019-01-04 09:00:00,,CRM_neg,2019-01-04 05:00:00,experiment_cement_plant_case
113,0,0,0,0,0,0,0,,2019-01-04 09:00:00,2019-01-04 13:00:00,,CRM_pos,2019-01-04 09:00:00,experiment_cement_plant_case
114,400,400,1600,1600,383.85,537.26,291.8,,2019-01-04 09:00:00,2019-01-04 13:00:00,,CRM_neg,2019-01-04 09:00:00,experiment_cement_plant_case
115,0,0,0,0,0,0,0,,2019-01-04 13:00:00,2019-01-04 17:00:00,,CRM_pos,2019-01-04 13:00:00,experiment_cement_plant_case
116,400,400,1600,1600,383.85,537.26,291.8,,2019-01-04 13:00:00,2019-01-04 17:00:00,,CRM_neg,2019-01-04 13:00:00,experiment_cement_plant_case
117,0,0,0,0,0,0,0,,2019-01-04 17:00:00,2019-01-04 21:00:00,,CRM_pos,2019-01-04 17:00:00,experiment_cement_plant_case
118,400,400,1600,1600,383.85,537.26,291.8,,2019-01-04 17:00:00,2019-01-04 21:00:00,,CRM_neg,2019-01-04 17:00:00,experiment_cement_plant_case
119,440.9,440.9,440.9,440.9,3000,3000,3000,,2019-01-05 00:00:00,2019-01-05 01:00:00,,EOM,2019-01-05 00:00:00,experiment_cement_plant_case
120,466.27,466.27,466.27,466.27,3000,3000,3000,,2019-01-05 01:00:00,2019-01-05 02:00:00,,EOM,2019-01-05 01:00:00,experiment_cement_plant_case
121,452.68,452.68,452.68,452.68,3000,3000,3000,,2019-01-05 02:00:00,2019-01-05 03:00:00,,EOM,2019-01-05 02:00:00,experiment_cement_plant_case
122,437.62,437.62,437.62,437.62,3000,3000,3000,,2019-01-05 03:00:00,2019-01-05 04:00:00,,EOM,2019-01-05 03:00:00,experiment_cement_plant_case
123,426.84,426.84,426.84,426.84,3000,3000,3000,,2019-01-05 04:00:00,2019-01-05 05:00:00,,EOM,2019-01-05 04:00:00,experiment_cement_plant_case
124,421.09,421.09,421.09,421.09,3000,3000,3000,,2019-01-05 05:00:00,2019-01-05 06:00:00,,EOM,2019-01-05 05:00:00,experiment_cement_plant_case
125,420.74,420.74,420.74,420.74,3000,3000,3000,,2019-01-05 06:00:00,2019-01-05 07:00:00,,EOM,2019-01-05 06:00:00,experiment_cement_plant_case
126,425.84,425.84,425.84,425.84,3000,3000,3000,,2019-01-05 07:00:00,2019-01-05 08:00:00,,EOM,2019-01-05 07:00:00,experiment_cement_plant_case
127,436.02,436.02,436.02,436.02,3000,3000,3000,,2019-01-05 08:00:00,2019-01-05 09:00:00,,EOM,2019-01-05 08:00:00,experiment_cement_plant_case
128,450.6,450.6,450.6,450.6,3000,3000,3000,,2019-01-05 09:00:00,2019-01-05 10:00:00,,EOM,2019-01-05 09:00:00,experiment_cement_plant_case
129,468.56,468.56,468.56,468.56,3000,3000,3000,,2019-01-05 10:00:00,2019-01-05 11:00:00,,EOM,2019-01-05 10:00:00,experiment_cement_plant_case
130,444.14,444.14,444.14,444.14,3000,3000,3000,,2019-01-05 11:00:00,2019-01-05 12:00:00,,EOM,2019-01-05 11:00:00,experiment_cement_plant_case
131,418.02,418.02,418.02,418.02,3000,3000,3000,,2019-01-05 12:00:00,2019-01-05 13:00:00,,EOM,2019-01-05 12:00:00,experiment_cement_plant_case
132,400,400,400,400,119.39,119.39,119.39,,2019-01-05 13:00:00,2019-01-05 14:00:00,,EOM,2019-01-05 13:00:00,experiment_cement_plant_case
133,400,400,400,400,119.39,119.39,119.39,,2019-01-05 14:00:00,2019-01-05 15:00:00,,EOM,2019-01-05 14:00:00,experiment_cement_plant_case
134,400,400,400,400,119.39,119.39,119.39,,2019-01-05 15:00:00,2019-01-05 16:00:00,,EOM,2019-01-05 15:00:00,experiment_cement_plant_case
135,400,400,400,400,119.39,119.39,119.39,,2019-01-05 16:00:00,2019-01-05 17:00:00,,EOM,2019-01-05 16:00:00,experiment_cement_plant_case
136,400,400,400,400,119.39,119.39,119.39,,2019-01-05 17:00:00,2019-01-05 18:00:00,,EOM,2019-01-05 17:00:00,experiment_cement_plant_case
137,400,400,400,400,119.39,119.39,119.39,,2019-01-05 18:00:00,2019-01-05 19:00:00,,EOM,2019-01-05 18:00:00,experiment_cement_plant_case
138,400,400,400,400,119.39,119.39,119.39,,2019-01-05 19:00:00,2019-01-05 20:00:00,,EOM,2019-01-05 19:00:00,experiment_cement_plant_case
139,400,400,400,400,119.39,119.39,119.39,,2019-01-05 20:00:00,2019-01-05 21:00:00,,EOM,2019-01-05 20:00:00,experiment_cement_plant_case
140,400,400,400,400,119.39,119.39,119.39,,2019-01-05 21:00:00,2019-01-05 22:00:00,,EOM,2019-01-05 21:00:00,experiment_cement_plant_case
141,400,400,400,400,119.39,119.39,119.39,,2019-01-05 22:00:00,2019-01-05 23:00:00,,EOM,2019-01-05 22:00:00,experiment_cement_plant_case
142,416.94,416.94,416.94,416.94,3000,3000,3000,,2019-01-05 23:00:00,2019-01-06 00:00:00,,EOM,2019-01-05 23:00:00,experiment_cement_plant_case
143,0,0,0,0,0,0,0,,2019-01-04 21:00:00,2019-01-05 01:00:00,,CRM_pos,2019-01-04 21:00:00,experiment_cement_plant_case
144,400,400,1600,1600,383.85,537.26,291.8,,2019-01-04 21:00:00,2019-01-05 01:00:00,,CRM_neg,2019-01-04 21:00:00,experiment_cement_plant_case
145,0,0,0,0,0,0,0,,2019-01-05 01:00:00,2019-01-05 05:00:00,,CRM_pos,2019-01-05 01:00:00,experiment_cement_plant_case
146,400,400,1600,1600,383.85,537.26,291.8,,2019-01-05 01:00:00,2019-01-05 05:00:00,,CRM_neg,2019-01-05 01:00:00,experiment_cement_plant_case
147,0,0,0,0,0,0,0,,2019-01-05 05:00:00,2019-01-05 09:00:00,,CRM_pos,2019-01-05 05:00:00,experiment_cement_plant_case
148,400,400,1600,1600,383.85,537.26,291.8,,2019-01-05 05:00:00,2019-01-05 09:00:00,,CRM_neg,2019-01-05 05:00:00,experiment_cement_plant_case
149,0,0,0,0,0,0,0,,2019-01-05 09:00:00,2019-01-05 13:00:00,,CRM_pos,2019-01-05 09:00:00,experiment_cement_plant_case
150,400,400,1600,1600,383.85,537.26,291.8,,2019-01-05 09:00:00,2019-01-05 13:00:00,,CRM_neg,2019-01-05 09:00:00,experiment_cement_plant_case
151,0,0,0,0,0,0,0,,2019-01-05 13:00:00,2019-01-05 17:00:00,,CRM_pos,2019-01-05 13:00:00,experiment_cement_plant_case
152,400,400,1600,1600,383.85,537.26,291.8,,2019-01-05 13:00:00,2019-01-05 17:00:00,,CRM_neg,2019-01-05 13:00:00,experiment_cement_plant_case
153,0,0,0,0,0,0,0,,2019-01-05 17:00:00,2019-01-05 21:00:00,,CRM_pos,2019-01-05 17:00:00,experiment_cement_plant_case
154,400,400,1600,1600,383.85,537.26,291.8,,2019-01-05 17:00:00,2019-01-05 21:00:00,,CRM_neg,2019-01-05 17:00:00,experiment_cement_plant_case
155,443.06,443.06,443.06,443.06,3000,3000,3000,,2019-01-06 00:00:00,2019-01-06 01:00:00,,EOM,2019-01-06 00:00:00,experiment_cement_plant_case
156,468.29,468.29,468.29,468.29,3000,3000,3000,,2019-01-06 01:00:00,2019-01-06 02:00:00,,EOM,2019-01-06 01:00:00,experiment_cement_plant_case
157,451.29,451.29,451.29,451.29,3000,3000,3000,,2019-01-06 02:00:00,2019-01-06 03:00:00,,EOM,2019-01-06 02:00:00,experiment_cement_plant_case
158,436.55,436.55,436.55,436.55,3000,3000,3000,,2019-01-06 03:00:00,2019-01-06 04:00:00,,EOM,2019-01-06 03:00:00,experiment_cement_plant_case
159,426.16,426.16,426.16,426.16,3000,3000,3000,,2019-01-06 04:00:00,2019-01-06 05:00:00,,EOM,2019-01-06 04:00:00,experiment_cement_plant_case
160,420.85,420.85,420.85,420.85,3000,3000,3000,,2019-01-06 05:00:00,2019-01-06 06:00:00,,EOM,2019-01-06 05:00:00,experiment_cement_plant_case
161,420.96,420.96,420.96,420.96,3000,3000,3000,,2019-01-06 06:00:00,2019-01-06 07:00:00,,EOM,2019-01-06 06:00:00,experiment_cement_plant_case
162,426.5,426.5,426.5,426.5,3000,3000,3000,,2019-01-06 07:00:00,2019-01-06 08:00:00,,EOM,2019-01-06 07:00:00,experiment_cement_plant_case
163,437.08,437.08,437.08,437.08,3000,3000,3000,,2019-01-06 08:00:00,2019-01-06 09:00:00,,EOM,2019-01-06 08:00:00,experiment_cement_plant_case
164,451.98,451.98,451.98,451.98,3000,3000,3000,,2019-01-06 09:00:00,2019-01-06 10:00:00,,EOM,2019-01-06 09:00:00,experiment_cement_plant_case
165,467.28,467.28,467.28,467.28,3000,3000,3000,,2019-01-06 10:00:00,2019-01-06 11:00:00,,EOM,2019-01-06 10:00:00,experiment_cement_plant_case
166,441.98,441.98,441.98,441.98,3000,3000,3000,,2019-01-06 11:00:00,2019-01-06 12:00:00,,EOM,2019-01-06 11:00:00,experiment_cement_plant_case
167,415.86,415.86,415.86,415.86,3000,3000,3000,,2019-01-06 12:00:00,2019-01-06 13:00:00,,EOM,2019-01-06 12:00:00,experiment_cement_plant_case
168,400,400,400,400,119.39,119.39,119.39,,2019-01-06 13:00:00,2019-01-06 14:00:00,,EOM,2019-01-06 13:00:00,experiment_cement_plant_case
169,400,400,400,400,119.39,119.39,119.39,,2019-01-06 14:00:00,2019-01-06 15:00:00,,EOM,2019-01-06 14:00:00,experiment_cement_plant_case
