,price_forecast,residual_load_forecast
2019-01-07 22:00:00,50.00000000000001,3114.75
2019-01-07 23:00:00,43.75,2918.1
2019-01-08 00:00:00,43.75,2726.35
2019-01-08 01:00:00,43.75,2637.75
2019-01-08 02:00:00,43.75,2594.5
2019-01-08 03:00:00,43.75,2623.85
2019-01-08 04:00:00,43.75,2704.8500000000004
2019-01-08 05:00:00,43.75,2874.4
2019-01-08 06:00:00,50.00000000000001,3236.3
2019-01-08 07:00:00,50.00000000000001,3550.7
2019-01-08 08:00:00,50.00000000000001,3672.35
2019-01-08 09:00:00,50.00000000000001,3677.75
2019-01-08 10:00:00,50.00000000000001,3709.45
2019-01-08 11:00:00,50.00000000000001,3739.6
2019-01-08 12:00:00,50.00000000000001,3727.7
2019-01-08 13:00:00,50.00000000000001,3717.7
2019-01-08 14:00:00,50.00000000000001,3678.4
2019-01-08 15:00:00,50.00000000000001,3658.05
2019-01-08 16:00:00,50.00000000000001,3695.4
2019-01-08 17:00:00,50.00000000000001,3790.15
2019-01-08 18:00:00,50.00000000000001,3763.35
2019-01-08 19:00:00,50.00000000000001,3674.5
2019-01-08 20:00:00,50.00000000000001,3479.45
2019-01-08 21:00:00,50.00000000000001,3301.55
2019-01-08 22:00:00,50.00000000000001,3147.05
2019-01-08 23:00:00,43.75,2963.15
2019-01-09 00:00:00,43.75,2777.5499999999997
2019-01-09 01:00:00,43.75,2685.7
2019-01-09 02:00:00,43.75,2638.6
2019-01-09 03:00:00,43.75,2661.5
2019-01-09 04:00:00,43.75,2738.35
2019-01-09 05:00:00,43.75,2890.0
2019-01-09 06:00:00,50.00000000000001,3246.8999999999996
2019-01-09 07:00:00,50.00000000000001,3569.55
2019-01-09 08:00:00,50.00000000000001,3703.15
2019-01-09 09:00:00,50.00000000000001,3730.45
2019-01-09 10:00:00,50.00000000000001,3772.75
2019-01-09 11:00:00,50.00000000000001,3816.55
2019-01-09 12:00:00,50.00000000000001,3792.45
2019-01-09 13:00:00,50.00000000000001,3776.8
2019-01-09 14:00:00,50.00000000000001,3742.7
2019-01-09 15:00:00,50.00000000000001,3707.4
2019-01-09 16:00:00,50.00000000000001,3728.8
2019-01-09 17:00:00,50.00000000000001,3845.15
2019-01-09 18:00:00,50.00000000000001,3804.35
2019-01-09 19:00:00,50.00000000000001,3714.85
2019-01-09 20:00:00,50.00000000000001,3503.05
2019-01-09 21:00:00,50.00000000000001,3325.15
2019-01-09 22:00:00,50.00000000000001,3174.7
2019-01-09 23:00:00,43.75,2947.75
2019-01-10 00:00:00,43.75,2816.15
2019-01-10 01:00:00,43.75,2697.95
2019-01-10 02:00:00,43.75,2649.9
2019-01-10 03:00:00,43.75,2657.15
2019-01-10 04:00:00,43.75,2692.25
2019-01-10 05:00:00,43.75,2830.65
2019-01-10 06:00:00,50.00000000000001,3177.8
2019-01-10 07:00:00,50.00000000000001,3467.45
2019-01-10 08:00:00,50.00000000000001,3590.6
2019-01-10 09:00:00,50.00000000000001,3593.15
2019-01-10 10:00:00,50.00000000000001,3636.4
2019-01-10 11:00:00,50.00000000000001,3665.65
2019-01-10 12:00:00,50.00000000000001,3652.6
2019-01-10 13:00:00,50.00000000000001,3625.95
2019-01-10 14:00:00,50.00000000000001,3573.15
2019-01-10 15:00:00,50.00000000000001,3550.55
2019-01-10 16:00:00,50.00000000000001,3570.75
2019-01-10 17:00:00,50.00000000000001,3688.05
2019-01-10 18:00:00,50.00000000000001,3654.5
2019-01-10 19:00:00,50.00000000000001,3570.0
2019-01-10 20:00:00,50.00000000000001,3393.3
2019-01-10 21:00:00,50.00000000000001,3210.3
2019-01-10 22:00:00,50.00000000000001,3107.25
2019-01-10 23:00:00,43.75,2918.55
2019-01-11 00:00:00,43.75,2809.6000000000004
2019-01-11 01:00:00,43.75,2705.1
2019-01-11 02:00:00,43.75,2679.4
2019-01-11 03:00:00,43.75,2702.0
2019-01-11 04:00:00,43.75,2770.4
2019-01-11 05:00:00,43.75,2914.55
2019-01-11 06:00:00,50.00000000000001,3293.9
2019-01-11 07:00:00,50.00000000000001,3599.05
2019-01-11 08:00:00,50.00000000000001,3736.35
2019-01-11 09:00:00,50.00000000000001,3759.75
2019-01-11 10:00:00,50.00000000000001,3792.85
2019-01-11 11:00:00,50.00000000000001,3831.55
2019-01-11 12:00:00,50.00000000000001,3803.0
2019-01-11 13:00:00,50.00000000000001,3736.6
2019-01-11 14:00:00,50.00000000000001,3648.95
2019-01-11 15:00:00,50.00000000000001,3600.85
2019-01-11 16:00:00,50.00000000000001,3618.25
2019-01-11 17:00:00,50.00000000000001,3718.0
2019-01-11 18:00:00,50.00000000000001,3661.0
2019-01-11 19:00:00,50.00000000000001,3571.75
2019-01-11 20:00:00,50.00000000000001,3353.9
2019-01-11 21:00:00,50.00000000000001,3170.4
2019-01-11 22:00:00,50.00000000000001,3049.85
2019-01-11 23:00:00,43.75,2862.8
2019-01-12 00:00:00,43.75,2657.1
2019-01-12 01:00:00,43.75,2533.2
2019-01-12 02:00:00,43.75,2446.6
2019-01-12 03:00:00,43.75,2411.35
2019-01-12 04:00:00,43.75,2429.65
2019-01-12 05:00:00,43.75,2448.15
2019-01-12 06:00:00,43.75,2522.15
2019-01-12 07:00:00,43.75,2680.95
2019-01-12 08:00:00,43.75,2858.05
2019-01-12 09:00:00,50.00000000000001,3033.45
2019-01-12 10:00:00,50.00000000000001,3158.5
2019-01-12 11:00:00,50.00000000000001,3229.15
2019-01-12 12:00:00,50.00000000000001,3208.6
2019-01-12 13:00:00,50.00000000000001,3128.2
2019-01-12 14:00:00,50.00000000000001,3074.55
2019-01-12 15:00:00,50.00000000000001,3049.8
2019-01-12 16:00:00,50.00000000000001,3102.55
2019-01-12 17:00:00,50.00000000000001,3228.65
2019-01-12 18:00:00,50.00000000000001,3214.4
2019-01-12 19:00:00,50.00000000000001,3109.9
2019-01-12 20:00:00,43.75,2941.1000000000004
2019-01-12 21:00:00,43.75,2798.75
2019-01-12 22:00:00,43.75,2737.7
2019-01-12 23:00:00,43.75,2606.9
2019-01-13 00:00:00,43.75,2431.55
2019-01-13 01:00:00,43.75,2323.05
2019-01-13 02:00:00,43.75,2257.5
2019-01-13 03:00:00,43.75,2218.85
2019-01-13 04:00:00,43.75,2211.95
2019-01-13 05:00:00,43.75,2195.75
2019-01-13 06:00:00,43.75,2170.25
2019-01-13 07:00:00,43.75,2276.3
2019-01-13 08:00:00,43.75,2461.55
2019-01-13 09:00:00,43.75,2670.55
2019-01-13 10:00:00,43.75,2829.45
2019-01-13 11:00:00,43.75,2985.7
2019-01-13 12:00:00,43.75,2992.1
2019-01-13 13:00:00,43.75,2940.1
2019-01-13 14:00:00,43.75,2895.55
2019-01-13 15:00:00,43.75,2874.55
2019-01-13 16:00:00,43.75,2922.4
2019-01-13 17:00:00,50.00000000000001,3061.95
2019-01-13 18:00:00,50.00000000000001,3105.45
2019-01-13 19:00:00,50.00000000000001,3032.35
2019-01-13 20:00:00,43.75,2892.75
2019-01-13 21:00:00,43.75,2819.0
2019-01-13 22:00:00,43.75,2803.7
2019-01-13 23:00:00,43.75,2673.3
2019-01-14 00:00:00,43.75,2542.55
2019-01-14 01:00:00,43.75,2435.3500000000004
2019-01-14 02:00:00,43.75,2402.75
2019-01-14 03:00:00,43.75,2429.2
2019-01-14 04:00:00,43.75,2514.75
2019-01-14 05:00:00,43.75,2734.55
2019-01-14 06:00:00,50.00000000000001,3157.15
2019-01-14 07:00:00,50.00000000000001,3498.55
2019-01-14 08:00:00,50.00000000000001,3627.4
2019-01-14 09:00:00,50.00000000000001,3634.6
2019-01-14 10:00:00,50.00000000000001,3651.8
2019-01-14 11:00:00,50.00000000000001,3692.35
2019-01-14 12:00:00,50.00000000000001,3683.0
2019-01-14 13:00:00,50.00000000000001,3682.7
2019-01-14 14:00:00,50.00000000000001,3651.45
2019-01-14 15:00:00,50.00000000000001,3604.8
2019-01-14 16:00:00,50.00000000000001,3582.85
2019-01-14 17:00:00,50.00000000000001,3740.6
2019-01-14 18:00:00,50.00000000000001,3718.95
