,charging_station_1,charging_station_2
timestep_315,0.0,0.0
timestep_316,0.0,0.0
timestep_317,0.0,0.0
timestep_318,0.03,0.03
timestep_319,0.03,0.03
timestep_320,0.0,0.0
timestep_321,0.0,0.0
timestep_322,0.0,0.0
timestep_323,0.0,0.0
timestep_324,0.0,0.0
timestep_325,0.0,0.0
timestep_326,0.0,0.0
timestep_327,0.0,0.0
timestep_328,0.0,0.0
timestep_329,0.0,0.0
timestep_330,0.0,0.0
timestep_331,0.0,0.0
timestep_332,0.0,0.0
timestep_333,0.0,0.0
timestep_334,0.0,0.0
timestep_335,0.0,0.0
timestep_336,0.0,0.0
timestep_337,0.0,0.0
timestep_338,0.0,0.0
timestep_339,0.0,0.0
timestep_340,0.0,0.0
timestep_341,0.0,0.0
timestep_342,0.0,0.0
timestep_343,0.0,0.0
timestep_344,0.0,0.0
timestep_345,0.0,0.0
timestep_346,0.0,0.0
timestep_347,0.0,0.0
timestep_348,0.0,0.0
timestep_349,0.0,0.0
timestep_350,0.0,0.0
timestep_351,0.0,0.0
timestep_352,0.0,0.0
timestep_353,0.0,0.0
timestep_354,0.0,0.0
timestep_355,0.0,0.0
timestep_356,0.0,0.0
timestep_357,0.0,0.0
timestep_358,0.0,0.0
timestep_359,0.0,0.0
timestep_360,0.0,0.0
timestep_361,0.0,0.0
timestep_362,0.0,0.0
timestep_363,0.0,0.0
timestep_364,0.0,0.0
timestep_365,0.0,0.0
timestep_366,0.026799999999998325,0.0
timestep_367,0.0,0.026799999999998325
timestep_368,0.0,0.0
timestep_369,0.0,0.0
timestep_370,0.0,0.0
timestep_371,0.0,0.0
timestep_372,0.0,0.0
timestep_373,0.0,0.0
timestep_374,0.0,0.0
timestep_375,0.0,0.0
timestep_376,0.0,0.0
timestep_377,0.0,0.0
timestep_378,0.0,0.0
timestep_379,0.0,0.0
timestep_380,0.0,0.0
timestep_381,0.0,0.0
timestep_382,0.0,0.0
timestep_383,0.0,0.0
timestep_384,0.0,0.0
timestep_385,0.0,0.0
timestep_386,0.0,0.0
timestep_387,0.0,0.0
timestep_388,0.0,0.0
timestep_389,0.0,0.0
timestep_390,0.0,0.0
timestep_391,0.03,0.0
timestep_392,0.0,0.0
timestep_393,0.0,0.0
timestep_394,0.0,0.0
timestep_395,0.0,0.0
timestep_396,0.0,0.0
timestep_397,0.0,0.03
timestep_398,0.0010720000000003366,0.03268000000000083
timestep_399,0.031072000000000335,0.0026800000000008345
timestep_400,0.061072000000000334,0.0
timestep_401,0.031072000000000332,0.03
timestep_402,0.0010720000000003338,0.06
timestep_403,0.03,0.03
timestep_404,0.0,0.0
timestep_405,0.0,0.0
timestep_406,0.0,0.0
timestep_407,0.0,0.0
timestep_408,0.0,0.0
timestep_409,0.0,0.0
timestep_410,0.0,0.0
timestep_411,0.0,0.0
timestep_412,0.0,0.0
timestep_413,0.0,0.0
timestep_414,0.03,0.03
timestep_415,0.03,0.03
timestep_416,0.0,0.0
timestep_417,0.0,0.0
timestep_418,0.0,0.0
timestep_419,0.0,0.0
timestep_420,0.0,0.0
timestep_421,0.0,0.0
timestep_422,0.0,0.0
timestep_423,0.0,0.0
timestep_424,0.0,0.0
timestep_425,0.0,0.0
timestep_426,0.0,0.0
timestep_427,0.0,0.0
timestep_428,0.0,0.0
timestep_429,0.0,0.0
timestep_430,0.0,0.0
timestep_431,0.0,0.0
timestep_432,0.0,0.0
timestep_433,0.0,0.0
timestep_434,0.0,0.0
timestep_435,0.0,0.0
timestep_436,0.0,0.0
timestep_437,0.0,0.0
timestep_438,0.0,0.0
timestep_439,0.0,0.0
timestep_440,0.0,0.0
timestep_441,0.0,0.0
timestep_442,0.0,0.0
timestep_443,0.0,0.0
timestep_444,0.0,0.0
timestep_445,0.0,0.0
timestep_446,0.0,0.0
timestep_447,0.0,0.0
timestep_448,0.0,0.0
timestep_449,0.0,0.0
timestep_450,0.0,0.0
timestep_451,0.0,0.0
timestep_452,0.0,0.0
timestep_453,0.0,0.0
timestep_454,0.0,0.0
timestep_455,0.0,0.0
timestep_456,0.0,0.0
timestep_457,0.0,0.0
timestep_458,0.0,0.0
timestep_459,0.0,0.0
timestep_460,0.0,0.0
timestep_461,0.0,0.0
timestep_462,0.026799999999998325,0.026799999999998325
timestep_463,0.0,0.0
timestep_464,0.0,0.0
timestep_465,0.0,0.0
timestep_466,0.0,0.0
timestep_467,0.0,0.0
timestep_468,0.0,0.0
timestep_469,0.0,0.0
timestep_470,0.0,0.0
timestep_471,0.0,0.0
timestep_472,0.0,0.0
timestep_473,0.0,0.0
timestep_474,0.0,0.0
timestep_475,0.0,0.0
timestep_476,0.0,0.0
timestep_477,0.0,0.0
timestep_478,0.0,0.0
timestep_479,0.0,0.0
timestep_480,0.0,0.0
timestep_481,0.0,0.0
timestep_482,0.0,0.0
timestep_483,0.0,0.0
timestep_484,0.0,0.0
timestep_485,0.0,0.0
timestep_486,0.0,0.0
timestep_487,0.0,0.0
timestep_488,0.0,0.0
timestep_489,0.0,0.0
timestep_490,0.0,0.0
timestep_491,0.0,0.0
timestep_492,0.015359999999999999,0.0
timestep_493,0.0,0.0
timestep_494,0.0,0.0
timestep_495,0.0,0.0
timestep_496,0.0,0.0
timestep_497,0.0,0.0
timestep_498,0.03,0.0
timestep_499,0.03,0.015359999999999999
timestep_500,0.0,0.0
timestep_501,0.0,0.0
timestep_502,0.0,0.0
timestep_503,0.0,0.0
timestep_504,0.0,0.0
timestep_505,0.0,0.0
timestep_506,0.0,0.0
timestep_507,0.0,0.0
timestep_508,0.0,0.0
timestep_509,0.0,0.0
timestep_510,0.03,0.015359999999999999
timestep_511,0.015359999999999999,0.03
timestep_512,0.0,0.0
timestep_513,0.0,0.0
timestep_514,0.0,0.0
timestep_515,0.0,0.0
timestep_516,0.0,0.0
timestep_517,0.0,0.0
timestep_518,0.0,0.0
timestep_519,0.0,0.0
timestep_520,0.0,0.0
timestep_521,0.0,0.0
timestep_522,0.015359999999999999,0.03
timestep_523,0.03,0.015359999999999999
timestep_524,0.0,0.0
timestep_525,0.0,0.0
timestep_526,0.0,0.0
timestep_527,0.0,0.0
timestep_528,0.0,0.0
timestep_529,0.0,0.0
timestep_530,0.0,0.0
timestep_531,0.0,0.0
timestep_532,0.0,0.0
timestep_533,0.0,0.0
timestep_534,0.015359999999999999,0.015359999999999999
timestep_535,0.03,0.03
timestep_536,0.0,0.0
timestep_537,0.0,0.0
timestep_538,0.0,0.0
timestep_539,0.0,0.0
timestep_540,0.0,0.0
timestep_541,0.0,0.0
timestep_542,0.0,0.0
timestep_543,0.0,0.0
timestep_544,0.0,0.0
timestep_545,0.0,0.0
timestep_546,0.03,0.03
timestep_547,0.015359999999999999,0.015359999999999999
timestep_548,0.0,0.0
timestep_549,0.0,0.0
timestep_550,0.0,0.0
timestep_551,0.0,0.0
timestep_552,0.0,0.0
timestep_553,0.0,0.0
timestep_554,0.0,0.0
timestep_555,0.0,0.0
timestep_556,0.0,0.0
timestep_557,0.0,0.0
timestep_558,0.015359999999999999,0.015359999999999999
timestep_559,0.03,0.03
timestep_560,0.0,0.0
timestep_561,0.0,0.0
timestep_562,0.0,0.0
timestep_563,0.0,0.0
timestep_564,0.0,0.0
timestep_565,0.0,0.0
timestep_566,0.0,0.0
timestep_567,0.0,0.0
timestep_568,0.0,0.0
timestep_569,0.0,0.0
timestep_570,0.0,0.0
timestep_571,0.0,0.0
timestep_572,0.0,0.0
timestep_573,0.0,0.0
timestep_574,0.0,0.0
timestep_575,0.0,0.0
timestep_576,0.0,0.0
timestep_577,0.0,0.0
timestep_578,0.0,0.0
timestep_579,0.0,0.0
timestep_580,0.0,0.0
timestep_581,0.0,0.0
timestep_582,0.0,0.0
timestep_583,0.0,0.0
timestep_584,0.0,0.0
timestep_585,0.0,0.0
timestep_586,0.0,0.0
timestep_587,0.0,0.0
timestep_588,0.015359999999999999,0.0
timestep_589,0.0,0.0
timestep_590,0.0,0.0
timestep_591,0.0,0.0
timestep_592,0.0,0.0
timestep_593,0.0,0.0
timestep_594,0.015359999999999999,0.0
timestep_595,0.03,0.03
timestep_596,0.0,0.0
timestep_597,0.0,0.0
timestep_598,0.0,0.0
timestep_599,0.0,0.0
timestep_600,0.0,0.0
timestep_601,0.0,0.0
timestep_602,0.0,0.0
timestep_603,0.0,0.0
timestep_604,0.0,0.0
timestep_605,0.0,0.0
timestep_606,0.03,0.03
timestep_607,0.015359999999999999,0.015359999999999999
timestep_608,0.0,0.0
timestep_609,0.0,0.0
timestep_610,0.0,0.0
timestep_611,0.0,0.0
timestep_612,0.0,0.0
timestep_613,0.0,0.0
timestep_614,0.0,0.0
timestep_615,0.0,0.0
timestep_616,0.0,0.0
timestep_617,0.0,0.0
timestep_618,0.03,0.03
timestep_619,0.015359999999999999,0.015359999999999999
timestep_620,0.0,0.0
timestep_621,0.0,0.0
timestep_622,0.0,0.0
timestep_623,0.0,0.0
timestep_624,0.0,0.0
timestep_625,0.0,0.0
timestep_626,0.0,0.0
timestep_627,0.0,0.0
timestep_628,0.0,0.0
timestep_629,0.0,0.0
timestep_630,0.015359999999999999,0.015359999999999999
timestep_631,0.03,0.03
timestep_632,0.0,0.0
timestep_633,0.0,0.0
timestep_634,0.0,0.0
timestep_635,0.0,0.0
timestep_636,0.0,0.0
timestep_637,0.0,0.0
timestep_638,0.0,0.0
timestep_639,0.0,0.0
timestep_640,0.0,0.0
timestep_641,0.0,0.0
timestep_642,0.015359999999999999,0.015359999999999999
timestep_643,0.03,0.03
timestep_644,0.0,0.0
timestep_645,0.0,0.0
timestep_646,0.0,0.0
timestep_647,0.0,0.0
timestep_648,0.0,0.0
timestep_649,0.0,0.0
timestep_650,0.0,0.0
timestep_651,0.0,0.0
timestep_652,0.0,0.0
timestep_653,0.0,0.0
timestep_654,0.03,0.020720000000001695
timestep_655,0.015359999999999999,0.03
timestep_656,0.0,0.0
timestep_657,0.0,0.0
timestep_658,0.0,0.0
timestep_659,0.0,0.0
timestep_660,0.0,0.0
timestep_661,0.0,0.0
timestep_662,0.0,0.0
timestep_663,0.0,0.0
timestep_664,0.0,0.0
timestep_665,0.0,0.0
timestep_666,0.0,0.0
timestep_667,0.0,0.0
timestep_668,0.0,0.0
timestep_669,0.0,0.0
timestep_670,0.0,0.0
timestep_671,0.0,0.0
timestep_672,0.0,0.0
timestep_673,0.0,0.0
timestep_674,0.0,0.0
timestep_675,0.0,0.0
timestep_676,0.0,0.0
timestep_677,0.03,0.0
timestep_678,0.0,0.0
timestep_679,0.03,0.0
timestep_680,0.0,0.0
timestep_681,0.011786666666667223,0.0
timestep_682,0.04178666666666722,0.0
timestep_683,0.011786666666667223,0.0
timestep_684,0.0,0.0
timestep_685,0.0,0.03
timestep_686,0.0,0.0
timestep_687,0.0,0.03
timestep_688,0.0,0.06
timestep_689,0.03,0.03
timestep_690,0.0,0.0
timestep_691,0.03,0.03
timestep_692,0.0,0.0
timestep_693,0.0,0.0
timestep_694,0.0,0.0
timestep_695,0.0,0.0
timestep_696,0.0,0.0
timestep_697,0.0,0.0
timestep_698,0.0,0.0
timestep_699,0.0,0.0
timestep_700,0.0,0.0
timestep_701,0.0,0.0
timestep_702,0.03,0.03
timestep_703,0.03,0.03
timestep_704,0.0,0.0
timestep_705,0.0,0.0
timestep_706,0.0,0.0
timestep_707,0.0,0.0
timestep_708,0.0,0.0
timestep_709,0.0,0.0
timestep_710,0.0,0.0
timestep_711,0.0,0.0
timestep_712,0.0,0.0
timestep_713,0.0,0.0
timestep_714,0.0,0.0
timestep_715,0.0,0.0
timestep_716,0.0,0.0
timestep_717,0.0,0.0
timestep_718,0.0,0.0
timestep_719,0.0,0.0
timestep_720,0.0,0.0
timestep_721,0.0,0.0
timestep_722,0.0,0.0
timestep_723,0.0,0.0
timestep_724,0.0,0.0
timestep_725,0.0,0.0
timestep_726,0.0,0.0
timestep_727,0.0,0.0
timestep_728,0.0,0.0
timestep_729,0.0,0.0
timestep_730,0.0,0.0
timestep_731,0.0,0.0
timestep_732,0.0,0.0
timestep_733,0.0,0.0
timestep_734,0.0,0.0
timestep_735,0.0,0.0
timestep_736,0.0,0.0
timestep_737,0.0,0.0
timestep_738,0.0,0.0
timestep_739,0.0,0.0
timestep_740,0.0,0.0
timestep_741,0.0,0.0
timestep_742,0.0,0.0
timestep_743,0.0,0.0
timestep_744,0.0,0.0
timestep_745,0.0,0.0
timestep_746,0.0,0.0
timestep_747,0.0,0.0
timestep_748,0.0,0.0
timestep_749,0.0,0.0
timestep_750,0.0,0.0
timestep_751,0.026799999999998325,0.026799999999998325
timestep_752,0.0,0.0
timestep_753,0.0,0.0
timestep_754,0.0,0.0
timestep_755,0.0,0.0
timestep_756,0.0,0.0
timestep_757,0.0,0.0
timestep_758,0.0,0.0
timestep_759,0.0,0.0
timestep_760,0.0,0.0
timestep_761,0.0,0.0
timestep_762,0.0,0.0
timestep_763,0.0,0.0
timestep_764,0.0,0.0
timestep_765,0.0,0.0
timestep_766,0.0,0.0
timestep_767,0.0,0.0
timestep_768,0.0,0.0
timestep_769,0.0,0.0
timestep_770,0.0,0.0
timestep_771,0.0,0.0
timestep_772,0.0,0.0
timestep_773,0.0,0.0
timestep_774,0.0,0.0
timestep_775,0.0,0.0
timestep_776,0.0,0.0
timestep_777,0.0,0.0
timestep_778,0.0,0.0
timestep_779,0.0007657142857145222,0.0
timestep_780,0.03076571428571452,0.0
timestep_781,0.06076571428571452,0.03
timestep_782,0.03076571428571452,0.0
timestep_783,0.0007657142857145222,0.0026800000000008345
timestep_784,0.03076571428571452,0.03268000000000083
timestep_785,0.0007657142857145231,0.03
timestep_786,0.0,0.06
timestep_787,0.03,0.03
timestep_788,0.0,0.0
timestep_789,0.0,0.0
timestep_790,0.0,0.0
timestep_791,0.0,0.0
timestep_792,0.0,0.0
timestep_793,0.0,0.0
timestep_794,0.0,0.0
timestep_795,0.0,0.0
timestep_796,0.0,0.0
timestep_797,0.0,0.0
timestep_798,0.03,0.03
timestep_799,0.03,0.03
timestep_800,0.0,0.0
timestep_801,0.0,0.0
timestep_802,0.0,0.0
timestep_803,0.0,0.0
timestep_804,0.0,0.0
timestep_805,0.0,0.0
timestep_806,0.0,0.0
timestep_807,0.0,0.0
timestep_808,0.0,0.0
timestep_809,0.0,0.0
timestep_810,0.0,0.0
timestep_811,0.0,0.0
timestep_812,0.0,0.0
timestep_813,0.0,0.0
timestep_814,0.0,0.0
timestep_815,0.0,0.0
timestep_816,0.0,0.0
timestep_817,0.0,0.0
timestep_818,0.0,0.0
timestep_819,0.0,0.0
timestep_820,0.0,0.0
timestep_821,0.0,0.0
timestep_822,0.0,0.0
timestep_823,0.0,0.0
timestep_824,0.0,0.0
timestep_825,0.0,0.0
timestep_826,0.0,0.0
timestep_827,0.0,0.0
timestep_828,0.0,0.0
timestep_829,0.0,0.0
timestep_830,0.0,0.0
timestep_831,0.0,0.0
timestep_832,0.0,0.0
timestep_833,0.0,0.0
timestep_834,0.0,0.0
timestep_835,0.0,0.0
timestep_836,0.0,0.0
timestep_837,0.0,0.0
timestep_838,0.0,0.0
timestep_839,0.0,0.0
timestep_840,0.0,0.0
timestep_841,0.0,0.0
timestep_842,0.0,0.0
timestep_843,0.0,0.0
timestep_844,0.0,0.0
timestep_845,0.0,0.0
timestep_846,0.026799999999998325,0.0
timestep_847,0.0,0.026799999999998325
timestep_848,0.0,0.0
timestep_849,0.0,0.0
timestep_850,0.0,0.0
timestep_851,0.0,0.0
timestep_852,0.0,0.0
timestep_853,0.0,0.0
timestep_854,0.0,0.0
timestep_855,0.0,0.0
timestep_856,0.0,0.0
timestep_857,0.0,0.0
timestep_858,0.0,0.0
timestep_859,0.0,0.0
timestep_860,0.0,0.0
timestep_861,0.0,0.0
timestep_862,0.0,0.0
timestep_863,0.0,0.0
timestep_864,0.0,0.0
timestep_865,0.0,0.0
timestep_866,0.0,0.0
timestep_867,0.0,0.0
timestep_868,0.0,0.0
timestep_869,0.0,0.0
timestep_870,0.0,0.0
timestep_871,0.0,0.0
