variable,ident,value,simulation
avg_price,future_markets_paper_base_case_2013_pp_all,173.06,future_markets_paper_base_case_2013_pp_all_episode_28
min_price,future_markets_paper_base_case_2013_pp_all,-159.28,future_markets_paper_base_case_2013_pp_all_episode_28
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_28
sum_reward,future_markets_paper_base_case_2013_pp_all,1988.5,future_markets_paper_base_case_2013_pp_all_episode_29
sum_regret,future_markets_paper_base_case_2013_pp_all,1.7371e+06,future_markets_paper_base_case_2013_pp_all_episode_29
sum_profit,future_markets_paper_base_case_2013_pp_all,7.9194e+08,future_markets_paper_base_case_2013_pp_all_episode_29
avg_price,future_markets_paper_base_case_2013_pp_all,171.06,future_markets_paper_base_case_2013_pp_all_episode_29
min_price,future_markets_paper_base_case_2013_pp_all,-357.21,future_markets_paper_base_case_2013_pp_all_episode_29
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_29
sum_reward,future_markets_paper_base_case_2013_pp_all,1971.1,future_markets_paper_base_case_2013_pp_all_episode_30
sum_regret,future_markets_paper_base_case_2013_pp_all,1.2086e+06,future_markets_paper_base_case_2013_pp_all_episode_30
sum_profit,future_markets_paper_base_case_2013_pp_all,7.6976e+08,future_markets_paper_base_case_2013_pp_all_episode_30
avg_price,future_markets_paper_base_case_2013_pp_all,169.2,future_markets_paper_base_case_2013_pp_all_episode_30
min_price,future_markets_paper_base_case_2013_pp_all,-256.03,future_markets_paper_base_case_2013_pp_all_episode_30
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_30
sum_reward,future_markets_paper_base_case_2013_pp_all,4142.1,future_markets_paper_base_case_2013_pp_all_eval_episode_2
sum_regret,future_markets_paper_base_case_2013_pp_all,8.8963e+06,future_markets_paper_base_case_2013_pp_all_eval_episode_2
sum_profit,future_markets_paper_base_case_2013_pp_all,1.6217e+09,future_markets_paper_base_case_2013_pp_all_eval_episode_2
avg_price,future_markets_paper_base_case_2013_pp_all,167.44,future_markets_paper_base_case_2013_pp_all_eval_episode_2
min_price,future_markets_paper_base_case_2013_pp_all,-489.07,future_markets_paper_base_case_2013_pp_all_eval_episode_2
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_eval_episode_2
sum_reward,future_markets_paper_base_case_2013_pp_all,1987.6,future_markets_paper_base_case_2013_pp_all_episode_31
sum_regret,future_markets_paper_base_case_2013_pp_all,5.4201e+05,future_markets_paper_base_case_2013_pp_all_episode_31
sum_profit,future_markets_paper_base_case_2013_pp_all,7.8349e+08,future_markets_paper_base_case_2013_pp_all_episode_31
avg_price,future_markets_paper_base_case_2013_pp_all,169.54,future_markets_paper_base_case_2013_pp_all_episode_31
min_price,future_markets_paper_base_case_2013_pp_all,-184.24,future_markets_paper_base_case_2013_pp_all_episode_31
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_31
sum_reward,future_markets_paper_base_case_2013_pp_all,1955.7,future_markets_paper_base_case_2013_pp_all_episode_32
sum_regret,future_markets_paper_base_case_2013_pp_all,2.6292e+05,future_markets_paper_base_case_2013_pp_all_episode_32
sum_profit,future_markets_paper_base_case_2013_pp_all,7.2495e+08,future_markets_paper_base_case_2013_pp_all_episode_32
avg_price,future_markets_paper_base_case_2013_pp_all,166.37,future_markets_paper_base_case_2013_pp_all_episode_32
min_price,future_markets_paper_base_case_2013_pp_all,-160.32,future_markets_paper_base_case_2013_pp_all_episode_32
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_32
sum_reward,future_markets_paper_base_case_2013_pp_all,1966.6,future_markets_paper_base_case_2013_pp_all_episode_33
