,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
22,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293,0.53293
23,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063,0.5063
24,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316,0.48316
25,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338,0.47338
26,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925,0.46925
27,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805,0.46805
28,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953,0.46953
29,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267,0.48267
30,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353,0.51353
31,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704,0.55704
