timestep,electricity_price_EUR_MWh,electricity_price_flex_EUR_MWh,pv_available_kW,pv_used_kW,pv_surplus_kW,pv_utilization_percent,battery_charge_kW,battery_discharge_kW,battery_soc_kWh,battery_soc_percent,battery_net_flow_kW,grid_import_kW,grid_feedin_kW,grid_net_flow_kW,charging_station_1_discharge_kW,charging_station_1_charge_kW,charging_station_2_discharge_kW,charging_station_2_charge_kW,total_cs_discharge_kW,total_cs_charge_kW,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_soc_kWh,electric_vehicle_1_soc_percent,electric_vehicle_1_usage_kW,electric_vehicle_1_available,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_soc_kWh,electric_vehicle_2_soc_percent,electric_vehicle_2_usage_kW,electric_vehicle_2_available,total_power_input_kW,total_power_output_kW,power_balance_check_kW,variable_cost_EUR,variable_revenue_EUR,net_income_EUR,input_from_pv_percent,input_from_grid_percent,input_from_battery_percent
24,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17816,89.08,0.0037199999999999998,0,0.0,0.0,0.17816,89.08,0.0037199999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324,86.61999999999999,0.004919999999999999,0,0.0,0.0,0.17324,86.61999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16832,84.16,0.004919999999999999,0,0.0,0.0,0.16832,84.16,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634,81.69999999999999,0.004919999999999999,0,0.0,0.0,0.1634,81.69999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15872,79.36,0.004679999999999999,0,0.0,0.0,0.15872,79.36,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15464,77.32,0.004079999999999999,0,0.0,0.0,0.15464,77.32,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04536000000000001,0.0,-0.04536000000000001,0.015360000000000013,0.0,0.03,0.0,0.04536000000000001,0.0,0.03,0.0,0.18464,92.32,0.0,1,0.015360000000000013,0.0,0.17,85.0,0.0,1,0.04536000000000001,0.0,0.04536000000000001,118.10383200000003,0.0,-118.10383200000003,0.0,100.0,0.0
31,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04536000000000001,0.0,-0.04536000000000001,0.03,0.0,0.015360000000000013,0.0,0.04536000000000001,0.0,0.015360000000000013,0.0,0.2,100.0,0.0,1,0.03,0.0,0.2,100.0,0.0,1,0.04536000000000001,0.0,0.04536000000000001,118.10383200000003,0.0,-118.10383200000003,0.0,100.0,0.0
32,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19532000000000002,97.66,0.004679999999999999,0,0.0,0.0,0.19532000000000002,97.66,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19052000000000002,95.26,0.0048,0,0.0,0.0,0.19052000000000002,95.26,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18596000000000001,92.98,0.00456,0,0.0,0.0,0.18596000000000001,92.98,0.00456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18188000000000001,90.94,0.004079999999999999,0,0.0,0.0,0.18188000000000001,90.94,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17816,89.08,0.0037199999999999998,0,0.0,0.0,0.17816,89.08,0.0037199999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
