Station_ID,Time_Step,Discharge_Power_kW,Max_Power_kW,Utilization_Percentage,Electricity_Price_EUR_per_MWh,Cost_per_Time_Step_EUR,Marginal_Cost_EUR_per_kWh,Assigned_EVs_Count
charging_station_2,5,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,6,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,7,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,8,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,9,0.06,0.15,40.0,2603.7,0.15622199999999997,2.6037,1
charging_station_2,10,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,11,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,12,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,13,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,14,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,15,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,16,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,17,0.06,0.15,40.0,2603.7,0.15622199999999997,2.6037,1
charging_station_2,18,0.06,0.15,40.0,2603.7,0.15622199999999997,2.6037,1
charging_station_2,19,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,20,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,21,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,22,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,23,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,24,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,25,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,26,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,27,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,28,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,29,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,30,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,31,0.015360000000000013,0.15,10.240000000000009,2603.7,0.03999283200000003,2.6037,1
charging_station_2,32,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,33,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,34,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,35,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,36,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,37,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
