EV_ID,Time_Step,Availability,Status,Assigned_Station,Charge_Power_kW,Discharge_Power_kW,Usage_Power_kW,SOC_kWh,SOC_Percentage,Max_Capacity_kWh,Net_Power_kW
electric_vehicle_1,59,0,Driving,,0.0,0.0,0.004079999999999999,0.09116,45.58,0.2,-0.004079999999999999
electric_vehicle_1,60,0,Driving,,0.0,0.0,0.0037199999999999998,0.08744,43.72,0.2,-0.0037199999999999998
electric_vehicle_1,61,0,Driving,,0.0,0.0,0.004919999999999999,0.08252000000000001,41.260000000000005,0.2,-0.004919999999999999
electric_vehicle_1,62,0,Driving,,0.0,0.0,0.004919999999999999,0.07760000000000002,38.800000000000004,0.2,-0.004919999999999999
electric_vehicle_1,63,0,Driving,,0.0,0.0,0.004919999999999999,0.07268000000000002,36.34000000000001,0.2,-0.004919999999999999
electric_vehicle_1,64,0,Driving,,0.0,0.0,0.004679999999999999,0.06800000000000002,34.00000000000001,0.2,-0.004679999999999999
electric_vehicle_1,65,0,Driving,,0.0,0.0,0.004079999999999999,0.06392000000000002,31.960000000000004,0.2,-0.004079999999999999
electric_vehicle_1,66,1,Charging,charging_station_1,0.0,0.0,0.0,0.06392000000000002,31.960000000000004,0.2,0.0
electric_vehicle_1,67,1,Charging,charging_station_2,0.0,0.0,0.0,0.06392000000000002,31.960000000000004,0.2,0.0
electric_vehicle_1,68,0,Driving,,0.0,0.0,0.004679999999999999,0.05924000000000002,29.620000000000008,0.2,-0.004679999999999999
electric_vehicle_1,69,0,Driving,,0.0,0.0,0.0048,0.05444000000000002,27.22000000000001,0.2,-0.0048
electric_vehicle_1,70,0,Driving,,0.0,0.0,0.00456,0.04988000000000002,24.94000000000001,0.2,-0.00456
electric_vehicle_1,71,0,Driving,,0.0,0.0,0.004079999999999999,0.04580000000000002,22.90000000000001,0.2,-0.004079999999999999
electric_vehicle_1,72,0,Driving,,0.0,0.0,0.0037199999999999998,0.04208000000000002,21.04000000000001,0.2,-0.0037199999999999998
electric_vehicle_1,73,0,Driving,,0.0,0.0,0.004919999999999999,0.03716000000000002,18.58000000000001,0.2,-0.004919999999999999
electric_vehicle_1,74,0,Driving,,0.0,0.0,0.004919999999999999,0.03224000000000002,16.120000000000008,0.2,-0.004919999999999999
electric_vehicle_1,75,0,Driving,,0.0,0.0,0.004919999999999999,0.027320000000000018,13.660000000000009,0.2,-0.004919999999999999
electric_vehicle_1,76,0,Driving,,0.0,0.0,0.004679999999999999,0.022640000000000018,11.320000000000007,0.2,-0.004679999999999999
electric_vehicle_1,77,0,Driving,,0.0,0.0,0.004079999999999999,0.018560000000000017,9.280000000000008,0.2,-0.004079999999999999
electric_vehicle_1,78,1,Charging,charging_station_1,0.02679999999999998,0.0,0.0,0.04536,22.679999999999996,0.2,0.02679999999999998
electric_vehicle_1,79,1,Charging,charging_station_1,0.0,0.0,0.0,0.04536,22.679999999999996,0.2,0.0
electric_vehicle_1,80,0,Driving,,0.0,0.0,0.004679999999999999,0.04068,20.34,0.2,-0.004679999999999999
electric_vehicle_1,81,0,Driving,,0.0,0.0,0.0048,0.03588,17.94,0.2,-0.0048
electric_vehicle_1,82,0,Driving,,0.0,0.0,0.00456,0.03132,15.659999999999998,0.2,-0.00456
electric_vehicle_1,83,0,Driving,,0.0,0.0,0.004079999999999999,0.02724,13.62,0.2,-0.004079999999999999
electric_vehicle_1,84,0,Driving,,0.0,0.0,0.0037199999999999998,0.02352,11.76,0.2,-0.0037199999999999998
electric_vehicle_1,85,0,Driving,,0.0,0.0,0.004919999999999999,0.0186,9.299999999999999,0.2,-0.004919999999999999
electric_vehicle_1,86,0,Driving,,0.0,0.0,0.004919999999999999,0.013679999999999998,6.839999999999999,0.2,-0.004919999999999999
electric_vehicle_1,87,0,Driving,,0.0,0.0,0.004919999999999999,0.008759999999999999,4.379999999999999,0.2,-0.004919999999999999
