variable,ident,value,simulation
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.13282,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4429.1,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.775e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7988e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,194.43,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.19618,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4423.4,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.3644e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7637e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.74,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.13282,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1695.1,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,3.6367e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-3.5452e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,152.03,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-391.54,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,3390.3,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,7.2735e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-7.0903e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,152.03,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-391.54,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_11
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1016,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,15932,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-1.2416e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,82.088,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-500,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2032.1,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,31865,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
