name,energy,capacity_pos,capacity_neg
HKW FLENSBURG 12,flexable_eom,naive,naive
SCHWERIN SUD,flexable_eom,naive,naive
FREIBURG WVK,flexable_eom,naive,naive
PKV KRAFTWERK VAREL,flexable_eom,naive,naive
KW BASF LUDWIGSHAFEN NORD,flexable_eom,naive,naive
HKW ELTMANN,flexable_eom,naive,naive
HKW KASSEL KOMBI,flexable_eom,naive,naive
KW HALLE DIESELSTRASSE BLOCK 1,flexable_eom,naive,naive
KW HALLE DIESELSTRASSE BLOCK 2,flexable_eom,naive,naive
HKW FRIEDENSBRUECKE BLOCK IV,flexable_eom,naive,naive
HKW HILTROP BOCHUM,flexable_eom,naive,naive
HKW PFORZHEIM,flexable_eom,naive,naive
KW GRENZACH WYHLEN 1,flexable_eom,naive,naive
HKW SUD SAARBRUECKEN,flexable_eom,naive,naive
GUD BIELEFELD HILLEGOSSEN,flexable_eom,naive,naive
HKW UNTERBREIZBACH,flexable_eom,naive,naive
HKW ERLANGEN,flexable_eom,naive,naive
HKW FRIEDENSBRUECKE BLOCK II,flexable_eom,naive,naive
KWK ANLAGE KREFELD,flexable_eom,naive,naive
KWK ANLAGE NEUSTADT,flexable_eom,naive,naive
HKW SCHWERIN LANKOW,flexable_eom,naive,naive
KWK ANLAGE MOHN MEDIA GÜTERSLOH,flexable_eom,naive,naive
HKW HBB RAUBLING,flexable_eom,naive,naive
KW STAUDINGER 4,flexable_eom,naive,naive
NUERNBERG FRANKEN 1,flexable_eom,naive,naive
IRSCHING 3,flexable_eom,naive,naive
KW HUNTORF CAES GT,flexable_eom,naive,naive
KW DUISBURG HUCKINGEN BLOCK A,flexable_eom,naive,naive
KW DUISBURG HUCKINGEN BLOCK B,flexable_eom,naive,naive
KW WEISWEILER VGT BLOCK G,flexable_eom,naive,naive
KW WEISWEILER VGT BLOCK H,flexable_eom,naive,naive
DKW BGH O1 BURGHAUSEN WACKER CHEMIE,flexable_eom,naive,naive
KW MITTELSBUEREN BLOCK 4,flexable_eom,naive,naive
KW BREMEN HASTEDT 14,flexable_eom,naive,naive
LICHTERFELDE 2,flexable_eom,naive,naive
KW HANNOVER HERRENHAUSEN B,flexable_eom,naive,naive
HKW FRANKFURT WEST GT,flexable_eom,naive,naive
KW MAINZ II GT,flexable_eom,naive,naive
KW MARL BLOCK 312 EVONIK,flexable_eom,naive,naive
CHARLOTTENBURG GT 1,flexable_eom,naive,naive
CHARLOTTENBURG GT 2,flexable_eom,naive,naive
HKW CHEMNITZ NORD II BLOCK A,flexable_eom,naive,naive
INDUSTRIEKRAFTWERK BERNBURG (IKB),flexable_eom,naive,naive
ALTBACH II GT E,flexable_eom,naive,naive
KW OBERNBURG GT1,flexable_eom,naive,naive
GTKW BIELEFELD UMMELN,flexable_eom,naive,naive
CHARLOTTENBURG GT 3,flexable_eom,naive,naive
KW LANDESBERGEN GT,flexable_eom,naive,naive
GERSTEINWERK BLOCK I GT,flexable_eom,naive,naive
KW ZIELITZ,flexable_eom,naive,naive
KW EMDEN BLOCK 4 GT,flexable_eom,naive,naive
IKW GENDORF INFRASERV,flexable_eom,naive,naive
GTKW DARMSTADT GT 1,flexable_eom,naive,naive
GTKW DARMSTADT GT 2,flexable_eom,naive,naive
UPM SCHONGAU,flexable_eom,naive,naive
WOLFEN ENVIA,flexable_eom,naive,naive
HKW DUISBURG WANHEIM IIIA,flexable_eom,naive,naive
KW LEUNA GT 3,flexable_eom,naive,naive
AHRENSFELDE GT D,flexable_eom,naive,naive
AHRENSFELDE GT A,flexable_eom,naive,naive
AHRENSFELDE GT B,flexable_eom,naive,naive
THYROW GT E,flexable_eom,naive,naive
AHRENSFELDE GT C,flexable_eom,naive,naive
INGOLSTADT 3,flexable_eom,naive,naive
INGOLSTADT 4,flexable_eom,naive,naive
MARBACH 3,flexable_eom,naive,naive
LICHTERFELDE 1,flexable_eom,naive,naive
WALHEIM GT 1,flexable_eom,naive,naive
BARMEN II,flexable_eom,naive,naive
WILMERSDORF GT 2,flexable_eom,naive,naive
WILMERSDORF GT 3,flexable_eom,naive,naive
WERDOHL ELVERLINGSEN 2,flexable_eom,naive,naive
WERDOHL ELVERLINGSEN 1,flexable_eom,naive,naive
