name,capacity,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
SEE934353429884,6.144,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.144,5.5296,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_49,way/259561755-380
SEE961293092137,5.12,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.12,4.608,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_50,way/152261133-220
SEE944199082556,4.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.5,4.05,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_51,way/154869247-220
SEE952303928317,3,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3,2.7,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_52,way/154869247-220
SEE985699638867,3.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.6,3.24,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_53,way/152403632-220
SEE929186077968,3.2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.2,2.88,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_54,DE147-380
SEE941708872783,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_55,way/207756597-220
SEE919443669678,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_56,way/82773910-380
SEE990521990150,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_57,way/152018146-380
SEE908096553144,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_58,way/152018146-380
SEE995933662862,2.857,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.857,2.5713,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_59,way/54359256-380
SEE931971412816,1.16,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.16,1.044,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_60,way/42097854-220
SEE975929008355,1.159,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.159,1.0431,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_61,DE175-220
