name,bus0,bus1,x,r,s_nom
41,11,75,0.001,0.001,2949.682526
42,11,98,0.001,0.001,1958.949464
43,110,125,0.001,0.001,1711.266198
44,110,19,0.001,0.001,1711.266198
45,111,165,0.001,0.001,2701.99926
46,111,4,0.001,0.001,990.733062
47,111,85,0.001,0.001,3422.532396
48,112,33,0.001,0.001,855.6330989
49,113,165,0.001,0.001,5133.798594
5,1,141,0.001,0.001,1733.782859
50,113,20,0.001,0.001,495.366531
51,113,87,0.001,0.001,495.366531
52,113,95,0.001,0.001,3422.532396
53,114,122,0.001,0.001,2206.632729
54,114,16,0.001,0.001,247.6832655
55,114,173,0.001,0.001,990.733062
56,114,179,0.001,0.001,2701.99926
57,115,86,0.001,0.001,990.733062
58,116,19,0.001,0.001,1958.949464
59,116,59,0.001,0.001,247.6832655
6,1,152,0.001,0.001,3917.898927
60,116,75,0.001,0.001,2206.632729
61,117,119,0.001,0.001,1711.266198
62,117,83,0.001,0.001,1283.449648
63,118,180,0.001,0.001,495.366531
64,119,126,0.001,0.001,1711.266198
65,119,128,0.001,0.001,3422.532396
66,119,27,0.001,0.001,1283.449648
67,119,94,0.001,0.001,1283.449648
68,12,124,0.001,0.001,247.6832655
69,12,162,0.001,0.001,855.6330989
7,1,199,0.001,0.001,3422.532396
70,12,189,0.001,0.001,495.366531
71,12,37,0.001,0.001,495.366531
72,12,95,0.001,0.001,855.6330989
73,120,170,0.001,0.001,855.6330989
74,120,187,0.001,0.001,495.366531
75,120,80,0.001,0.001,1350.99963
76,121,128,0.001,0.001,1711.266198
77,121,45,0.001,0.001,2566.899296
78,122,150,0.001,0.001,1711.266198
79,122,16,0.001,0.001,3422.532396
8,10,96,0.001,0.001,495.366531
80,122,179,0.001,0.001,1711.266198
81,122,187,0.001,0.001,855.6330989
82,123,162,0.001,0.001,1283.449648
83,124,162,0.001,0.001,855.6330989
84,124,62,0.001,0.001,1350.99963
85,125,19,0.001,0.001,1711.266198
86,125,29,0.001,0.001,2701.99926
87,125,49,0.001,0.001,2454.315995
88,125,77,0.001,0.001,2206.632729
89,125,98,0.001,0.001,2701.99926
9,100,192,0.001,0.001,1711.266198
90,126,27,0.001,0.001,1283.449648
91,127,132,0.001,0.001,495.366531
92,127,5,0.001,0.001,495.366531
93,128,14,0.001,0.001,1711.266198
94,128,164,0.001,0.001,1283.449648
95,128,34,0.001,0.001,2566.899296
96,128,45,0.001,0.001,1711.266198
97,128,66,0.001,0.001,990.733062
98,129,43,0.001,0.001,1711.266198
99,13,15,0.001,0.001,495.366531
