name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion77,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.331913,6.331913,0.95,0.95,1,11.930807,0.28,0.28,0,battery_operator_77,DE207-380
battery_li_ion78,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.63139,11.63139,0.95,0.95,1,22.610785,0.28,0.28,0,battery_operator_78,DE209-380
battery_li_ion79,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.832112,11.832112,0.95,0.95,1,20.006306,0.28,0.28,0,battery_operator_79,DE21-220
battery_li_ion80,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.641521000000001,13.641521000000001,0.95,0.95,1,26.450756,0.28,0.28,0,battery_operator_80,DE211-220
battery_li_ion81,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.922674,4.922674,0.95,0.95,1,8.858347,0.28,0.28,0,battery_operator_81,DE212-220
battery_li_ion82,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.932973,3.932973,0.95,0.95,1,6.940872,0.28,0.28,0,battery_operator_82,DE213-380
battery_li_ion83,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.159718,11.159718,0.95,0.95,1,21.534997,0.28,0.28,0,battery_operator_83,DE22-220
battery_li_ion84,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.499777,7.499777,0.95,0.95,1,12.365851,0.28,0.28,0,battery_operator_84,DE22-380
battery_li_ion85,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.664069999999999,8.664069999999999,0.95,0.95,1,16.681601,0.28,0.28,0,battery_operator_85,DE24-380
battery_li_ion86,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.385855,10.385855,0.95,0.95,1,20.076701,0.28,0.28,0,battery_operator_86,DE25-380
battery_li_ion87,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.307967,9.307967,0.95,0.95,1,18.771197,0.28,0.28,0,battery_operator_87,DE26-380
battery_li_ion88,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.283674,10.283674,0.95,0.95,1,17.281802,0.28,0.28,0,battery_operator_88,DE29-220
battery_li_ion89,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.258209,10.258209,0.95,0.95,1,16.742812,0.28,0.28,0,battery_operator_89,DE30-380
battery_li_ion90,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,16.321637,16.321637,0.95,0.95,1,25.159388,0.28,0.28,0,battery_operator_90,DE31-380
battery_li_ion91,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.375946,11.375946,0.95,0.95,1,16.29808,0.28,0.28,0,battery_operator_91,DE33-380
battery_li_ion92,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.851899,10.851899,0.95,0.95,1,19.897554,0.28,0.28,0,battery_operator_92,DE36-220
battery_li_ion93,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.708063,9.708063,0.95,0.95,1,14.668102,0.28,0.28,0,battery_operator_93,DE37-220
