name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_646,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,17.16457042,0,1,0,152,operator_646,Market
Unit_647,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,19.44001043,0,1,0,153,operator_647,Market
Unit_648,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,309.2330254,0,1,0,153,operator_648,Market
Unit_649,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,69.39445356,0,1,0,153,operator_649,Market
Unit_650,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,19.65758254,0,1,0,154,operator_650,Market
Unit_651,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,259.4267894,0,1,0,154,operator_651,Market
Unit_652,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,19.76581597,0,1,0,154,operator_652,Market
Unit_653,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,54.32185024,0,1,0,157,operator_653,Market
Unit_654,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,345.9855374,0,1,0,157,operator_654,Market
Unit_655,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,112.8150779,0,1,0,157,operator_655,Market
Unit_656,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,24.83078592,0,1,0,159,operator_656,Market
Unit_657,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,198.357783,0,1,0,159,operator_657,Market
Unit_658,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,93.52407566,0,1,0,159,operator_658,Market
Unit_659,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,11.86901142,0,1,0,160,operator_659,Market
