name,energy,capacity_pos,capacity_neg
HKW CHEMNITZ NORD II BLOCK A,flexable_eom,flexable_pos_crm,flexable_neg_crm
INDUSTRIEKRAFTWERK BERNBURG (IKB),flexable_eom,flexable_pos_crm,flexable_neg_crm
ALTBACH II GT E,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW OBERNBURG GT1,flexable_eom,flexable_pos_crm,flexable_neg_crm
GTKW BIELEFELD UMMELN,flexable_eom,flexable_pos_crm,flexable_neg_crm
CHARLOTTENBURG GT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW LANDESBERGEN GT,flexable_eom,flexable_pos_crm,flexable_neg_crm
GERSTEINWERK BLOCK I GT,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW ZIELITZ,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW EMDEN BLOCK 4 GT,flexable_eom,flexable_pos_crm,flexable_neg_crm
IKW GENDORF INFRASERV,flexable_eom,flexable_pos_crm,flexable_neg_crm
GTKW DARMSTADT GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
GTKW DARMSTADT GT 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
UPM SCHONGAU,flexable_eom,flexable_pos_crm,flexable_neg_crm
WOLFEN ENVIA,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW DUISBURG WANHEIM IIIA,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW LEUNA GT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
AHRENSFELDE GT D,flexable_eom,flexable_pos_crm,flexable_neg_crm
AHRENSFELDE GT A,flexable_eom,flexable_pos_crm,flexable_neg_crm
AHRENSFELDE GT B,flexable_eom,flexable_pos_crm,flexable_neg_crm
THYROW GT E,flexable_eom,flexable_pos_crm,flexable_neg_crm
AHRENSFELDE GT C,flexable_eom,flexable_pos_crm,flexable_neg_crm
INGOLSTADT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
INGOLSTADT 4,flexable_eom,flexable_pos_crm,flexable_neg_crm
MARBACH 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
LICHTERFELDE 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
WALHEIM GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
BARMEN II,flexable_eom,flexable_pos_crm,flexable_neg_crm
WILMERSDORF GT 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
WILMERSDORF GT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
WERDOHL ELVERLINGSEN 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
WERDOHL ELVERLINGSEN 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
ALTBACH I GT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
MITTELSBUEREN GT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
FLINGERN GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
ALTBACH I GT 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
MARBACH 3 GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
MARIENEHE 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
WILHELMSHAVEN GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
NUERNBERG FRANKEN I GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
WEDEL GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
WEDEL GT 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
ALTBACH I NO 5 GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
PEISSENBERG 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
GROSSKAYNA GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
GROSSKAYNA GT 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
GROSSKAYNA GT 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
Tanzmühle - Rabenleite,flexable_eom_storage,-,
Schwarzenbachwerk,flexable_eom_storage,-,
Leitzach II,flexable_eom_storage,-,
Leitzach I,flexable_eom_storage,-,
Hohenwarte I,flexable_eom_storage,-,
Bleiloch,flexable_eom_storage,-,
Wendefurth,flexable_eom_storage,-,
Glems,flexable_eom_storage,-,
Reisach - Rabenleite,flexable_eom_storage,-,
Geesthacht,flexable_eom_storage,-,
Rönkhausen,flexable_eom_storage,-,
Waldeck I,flexable_eom_storage,-,
Häusern,flexable_eom_storage,-,
Koepchenwerk Herdecke II,flexable_eom_storage,-,
Happurg,flexable_eom_storage,-,
Langenprozelten,flexable_eom_storage,-,
Waldshut,flexable_eom_storage,-,
Erzhausen,flexable_eom_storage,-,
Witznau,flexable_eom_storage,-,
Hohenwarte II,flexable_eom_storage,-,
Säckingen,flexable_eom_storage,-,
Waldeck II,flexable_eom_storage,-,
Wehr,flexable_eom_storage,-,
Markersbach,flexable_eom_storage,-,
Goldisthal,flexable_eom_storage,-,
