name,bus0,bus1,s_nom,x,r,bus_id0,bus_id1
way/32267173-380,way/87722999-380,DE6-380,3396.205,0.380598,0.046414,730,182
relation/3888200-220-a,way/957746797-220,way/28397771-220,491.556,10.330434,2.059223,789,517
relation/3889743-220-b,way/35176751-220,way/27646106-220,491.556,7.470892,1.489214,586,507
relation/945143-220-b,way/35176751-220,way/27124619-220,491.556,9.583015,1.910236,586,497
relation/3889744-220-b,way/27646106-220,way/27124619-220,491.556,5.835258,1.163174,507,497
relation/3889745-220,way/1089769599-220,way/60032354-220,491.556,5.548815,1.106076,252,681
relation/3937928-220,way/25943440-220,DE63-220,491.556,1.954119,0.389525,477,187
relation/3943779-220,way/28008024-220,way/1191459479-220,491.556,14.562293,2.902783,513,277
relation/5334826-220,way/28008024-220,way/1191459479-220,491.556,14.562293,2.902783,513,277
relation/3943780-220-c,way/24705761-220,way/954971276-220,983.112,5.73683,1.143554,446,786
relation/7054743-220-b,way/24705761-220,way/24768051-220,983.112,14.02055,2.794794,446,454
relation/395087-380,way/29084374-380,way/28099187-380,1698.103,40.07204,4.886834,529,806
relation/965662-380,way/29084374-380,way/28477054-380,1698.103,27.028158,3.296117,529,807
way/232071584-220,way/33042984-220,DE36-220,491.556,6.118511,1.219637,580,157
relation/4441426-220,way/28227099-220,way/151507370-220,983.112,0.351557,0.070078,514,314
way/243380065-220,way/28227099-220,way/97857512-220,983.112,0.550532,0.109741,514,793
relation/445559-380-a,way/44717036-380,DE17-380,1698.103,2.000649,0.243982,643,83
relation/5497488-380-b,DE14-380,DE13-380,1698.103,0.9474,0.115537,49,35
relation/5497490-380-b,DE14-380,DE13-380,1698.103,0.9474,0.115537,49,35
relation/5581798-380-a,way/941198517-380,DE58-380,1698.103,1.692487,0.206401,761,180
relation/5581799-380-a,way/941198517-380,DE58-380,1698.103,1.645924,0.200722,761,180
relation/5581800-380-a,way/941198517-380,DE58-380,1698.103,1.621497,0.197744,761,180
relation/5581801-380-a,way/941198517-380,DE58-380,1698.103,1.645924,0.200722,761,180
relation/5581802-380-a,way/941198517-380,DE58-380,1698.103,1.621497,0.197744,761,180
relation/5581803-380-a,way/941198517-380,DE58-380,1698.103,1.692487,0.206401,761,180
way/156960646-380,way/941198517-380,DE46-380,3396.205,4.748507,0.579086,761,168
relation/6170191-400,way/81641090-400,way/82773910-400,1787.476,9.641225,1.175759,822,715
relation/6771820-380,way/1280364401-380,way/525964629-380,1698.103,2.31689,0.282548,286,664
relation/6771821-380,way/1280364401-380,way/525964629-380,1698.103,2.31689,0.282548,286,664
way/515358079-380,way/515358077-380,way/947118608-380,3396.205,2.072837,0.252785,658,773
relation/941141-220,way/23744346-220,way/157421333-220,491.556,0.615774,0.122746,410,342
relation/943999-220,way/27124619-220,DE4-220,491.556,3.554295,0.708497,497,161
relation/962120-380-a,way/206289192-380,DE31-380,1698.103,9.649168,1.176728,366,151
way/1002012656-380,way/951273401-380,way/871646309-380,3396.205,0.174161,0.021239,775,725
way/107175828-1-380,DE73-380,DE74-380,1698.103,0.306533,0.037382,204,206
way/107175828-2-220,DE73-220,DE74-220,491.556,0.375079,0.074767,203,205
way/107175832-1-380,DE70-380,DE73-380,3396.205,0.189094,0.02306,200,204
way/107175832-2-220,DE70-220,DE73-220,983.112,0.227615,0.045372,199,203
way/107271567-1-380,way/24478889-380,DE77-380,1698.103,0.897824,0.109491,435,210
way/1101762004-380,way/30039908-380,way/1222597066-380,3396.205,3.851688,0.469718,541,281
way/1104914089-1-380,DE190-380,way/22960899-380,3396.205,0.270146,0.032945,108,386
way/41460654-1-380,DE189-380,way/22960899-380,1698.103,1.533288,0.186986,106,386
way/1130668496-1-380,DE140-380,DE143-380,3396.205,0.274714,0.033502,50,53
way/1130668503-1-380,way/89043564-380,DE140-380,3396.205,0.48257,0.05885,741,50
way/1254852017-380,DE137-380,DE140-380,1698.103,0.3069,0.037427,44,50
way/1131127616-2-220,DE30-220,DE32-220,491.556,2.047041,0.408048,149,152
way/116260546-220,way/22761692-220,DE126-220,1966.224,0.211235,0.042107,373,31
way/22762380-220,way/1118059105-220,DE126-220,983.112,0.401922,0.080117,265,31
way/125690613-220,DE206-220,way/81540198-220,983.112,0.377514,0.075252,128,819
way/125690616-220,DE206-220,way/81540198-220,983.112,0.370662,0.073886,128,819
way/118351425-220,way/28812249-220,way/27739871-220,983.112,6.690672,1.333689,521,508
way/1222462381-1-220,way/942448206-220,DE27-220,491.556,0.775391,0.154563,764,144
way/148211531-380-b,DE134-380,way/148211527-380,1698.103,0.891147,0.108677,40,307
way/128461828-380-b,way/198448981-380,way/373967500-380,3396.205,1.885783,0.229974,361,594
way/128478125-1-380,DE172-380,way/151967291-380,3396.205,1.299698,0.1585,87,318
way/128478125-2-220,DE172-220,way/151967291-220,983.112,1.589485,0.316841,86,317
way/1293441403-220,DE204-220,DE206-220,491.556,0.882249,0.175864,125,128
way/91086218-220,DE203-220,DE206-220,1966.224,0.388596,0.077461,124,128
way/296529805-2-220,DE177-220,way/54359256-220,983.112,2.583507,0.514985,92,668
way/92913327-2-220,way/207756597-220,way/54359256-220,983.112,0.854562,0.170344,369,668
way/137885048-1-220,way/89043564-220,DE137-220,491.556,1.075952,0.214475,740,43
way/143855350-1-380,DE196-380,way/26814283-380,1698.103,2.384136,0.290748,114,495
way/143901743-1-220,way/159326655-220,DE179-220,491.556,1.92503,0.383727,345,94
way/153089326-1-380,DE178-380,way/207248812-380,1698.103,0.663236,0.080882,93,368
way/151967297-1-380,DE170-380,way/42097854-380,3396.205,1.436312,0.17516,84,621
way/152297163-220,way/23140544-220,DE118-220,983.112,0.442807,0.088267,398,23
way/152924506-220,DE174-220,way/152924508-220,1966.224,0.415245,0.082773,89,329
way/156673647-1-380,way/1245867884-380,DE146-380,1698.103,1.123145,0.136969,285,56
way/156960657-380,DE46-380,way/52983550-380,3396.205,0.930563,0.113483,168,665
way/172819236-380,DE46-380,way/414169327-380,3396.205,5.581333,0.68065,168,616
way/157332863-380,DE149-380,way/166604822-380,3396.205,2.133971,0.26024,60,348
way/157332865-380,DE149-380,way/36183042-380,3396.205,0.563358,0.068702,60,593
way/159712911-220,DE137-220,DE132-220,983.112,1.93887,0.386486,43,38
way/167854736-220,way/1222597066-220,way/39688875-220,983.112,9.200834,1.834053,280,606
way/17673603-380,DE192-380,DE188-380,3396.205,2.645962,0.322678,110,105
way/196655217-1-220,way/4826893-220,way/23881272-220,1474.668,1.292329,0.257607,650,412
way/202171172-220,relation/17591073-220,way/152973139-220,983.112,0.553432,0.110319,238,330
way/222638710-220-b,DE151-220,way/1086825107-220,983.112,2.357616,0.469957,63,249
way/231735886-220,way/955268863-220,way/28812249-220,983.112,5.111377,1.018879,787,521
way/231965957-220,DE43-220,way/28227099-220,983.112,0.199972,0.039862,165,514
way/30018713-220,DE43-220,way/28227099-220,491.556,0.391351,0.07801,165,514
way/24415006-380,way/157628351-380,DE65-380,1698.103,1.689378,0.206022,343,189
way/24479976-1-380,DE107-380,way/91854336-380,5094.308,0.141603,0.017269,12,750
way/24530081-380,way/274603394-380,DE19-380,3396.205,2.618185,0.319291,500,107
way/25209869-1-380,way/22766160-380,DE144-380,1698.103,1.606011,0.195855,380,54
way/414015967-380,way/22766160-380,DE153-380,3396.205,3.328611,0.405928,380,65
way/27691050-220,DE51-220,way/288305056-220,983.112,1.568842,0.312726,173,522
way/33168244-220,DE51-220,way/957746797-220,983.112,0.231264,0.046099,173,789
way/28215364-220,way/699048438-220,DE55-220,983.112,0.788593,0.157195,698,177
way/61649945-220,DE59-220,DE55-220,983.112,1.347244,0.268554,181,177
way/286709461-380-b,way/1024536785-380,way/151967290-380,3396.205,4.216759,0.514239,239,316
way/290288900-380,way/311444692-380,way/311444691-380,6792.41,0.212305,0.025891,558,557
way/292316785-220,DE72-220,DE69-220,983.112,0.363,0.072359,202,196
way/89478841-220,DE72-220,way/787840119-220,983.112,0.252139,0.05026,202,707
way/296751942-220,DE55-220,way/30109913-220,983.112,1.942631,0.387235,177,543
way/30151837-380,DE23-380,way/940636813-380,3396.205,0.475288,0.057962,139,758
way/998005837-1-380,DE23-380,DE24-380,1698.103,0.312882,0.038156,139,141
way/30419417-380,DE19-380,DE18-380,3396.205,1.112366,0.135654,107,96
way/31669067-380,way/883768276-380,way/31024391-380,3396.205,1.329807,0.162172,733,552
way/31669070-380,way/883768277-380,way/883768276-380,1698.103,0.4179,0.050963,734,733
way/883768282-380,way/883768277-380,way/883768276-380,1698.103,0.417356,0.050897,734,733
way/49616633-380,way/883928229-380,way/883768277-380,3396.205,1.010953,0.123287,736,734
way/32950166-1-380,DE22-380,DE23-380,1698.103,0.705621,0.086051,137,139
way/33548105-1-220,way/37764852-220,DE38-220,983.112,0.428862,0.085487,597,159
way/760912582-1-220,DE42-220,DE38-220,491.556,3.005097,0.599023,164,159
way/881636336-380,DE10-380,way/881636329-380,6792.41,0.593088,0.072328,2,732
way/34897791-2-220,DE138-220,way/22766160-220,983.112,1.285737,0.256293,45,379
way/610525281-220,DE139-220,way/22766160-220,1966.224,0.429522,0.085619,47,379
way/349635742-220,DE176-220,DE180-220,983.112,0.911818,0.181758,91,97
way/39230385-380,DE153-380,way/26777313-380,3396.205,0.921006,0.112318,65,494
way/381739502-380,DE25-380,way/30132758-380,3396.205,3.056179,0.372705,142,544
way/381950155-380,way/160584794-380,DE155-380,1698.103,2.035153,0.248189,346,67
way/818506067-380,way/373967500-380,DE155-380,3396.205,5.095929,0.621455,594,67
way/38243743-1-380,DE100-380,way/87767098-380,3396.205,3.150443,0.3842,4,731
way/386594906-1-380,DE95-380,DE94-380,1698.103,0.284984,0.034754,232,231
way/40854817-380,DE186-380,DE187-380,1698.103,0.378594,0.04617,103,104
way/40854819-380,DE186-380,DE187-380,1698.103,0.377772,0.04607,103,104
way/40895968-380,way/942448206-380,DE27-380,3396.205,0.491053,0.059884,765,145
way/74003846-380,DE26-380,DE27-380,6792.41,0.176398,0.021512,143,145
way/41232147-380,way/41232144-380,DE104-380,6792.41,0.656773,0.080094,611,8
way/41339399-1-380,way/95434457-380,DE125-380,3396.205,0.326324,0.039796,785,30
way/41642831-1-220,DE211-220,DE212-220,491.556,1.140727,0.227387,133,134
way/41981221-380,way/147521567-380,way/1223405794-380,3396.205,2.649533,0.323114,305,283
way/42861709-1-380,DE56-380,way/42861703-380,1698.103,0.640038,0.078053,178,637
way/43163137-380,way/43163132-380,way/11500045-380,3396.205,0.300322,0.036625,639,276
way/59524692-380,way/46615737-380,way/11500045-380,3396.205,0.311493,0.037987,648,276
way/49746081-220,DE16-220,way/30039908-220,983.112,1.312393,0.261607,72,540
way/49746082-220-a,DE16-220,way/170123812-220,983.112,3.548501,0.707342,72,352
way/59524693-380,way/46615737-380,way/30303506-380,1698.103,1.266656,0.15447,648,546
way/60725324-1-380,way/29077623-380,DE50-380,1698.103,9.852989,1.201584,527,172
way/60869542-1-380,way/113546939-380,DE100-380,3396.205,0.505346,0.061628,273,4
way/617568394-380,way/518455594-380,DE22-380,3396.205,5.822781,0.710095,661,137
way/66038425-220,way/66038431-220,way/35763480-220,1474.668,0.370089,0.073772,690,588
way/74075920-380,way/42050342-380,way/38325076-380,3396.205,2.499032,0.30476,619,599
way/741770435-380,DE45-380,DE41-380,5094.308,0.132629,0.016174,167,163
way/77179292-1-220,way/93278553-220,way/24799890-220,983.112,1.278336,0.254818,754,455
way/786985537-380,way/947118608-380,way/518455594-380,3396.205,9.46392,1.154137,773,661
way/812676716-220-a,way/1086825107-220,DE151-220,983.112,2.369299,0.472286,249,63
way/812686808-220,way/152219167-220,DE151-220,491.556,2.595448,0.517365,322,63
way/82077681-1-380,DE91-380,DE88-380,1698.103,3.219006,0.392562,228,224
way/844075807-1-380,way/844075808-380,DE54-380,3396.205,1.198414,0.146148,719,176
way/844126084-380,way/799361667-380,way/844075808-380,1698.103,0.769141,0.093798,710,719
way/844126085-380,way/799361667-380,way/844075808-380,1698.103,0.773454,0.094324,710,719
way/844126088-380,way/799361667-380,way/844075808-380,1698.103,0.771599,0.094097,710,719
way/844126089-380,way/799361667-380,way/844075808-380,1698.103,0.775316,0.094551,710,719
way/844126090-380,way/311444691-380,way/799361667-380,3396.205,0.689998,0.084146,557,710
way/87280793-1-380,way/87767098-380,way/106096507-380,3396.205,1.15887,0.141326,731,242
way/91655776-220,DE173-220,way/145680894-220,983.112,0.590302,0.117668,88,303
way/92877623-220,DE106-220,way/92877635-220,983.112,0.23464,0.046772,10,753
way/93258454-220,DE169-220,way/24765111-220,1474.668,0.319171,0.063622,82,453
way/98382716-380,DE121-380,way/41232144-380,3396.205,2.865023,0.349393,26,611
way/133787551-220,way/210191809-220,way/50729129-220,983.112,3.678494,0.733255,805,814
merged_way/95863557-220-b+1,way/210191809-220,way/81540198-220,983.112,3.678494,0.733255,805,819
DE-BE,way/870598507-380,Belgium,1000,3,0.830478044,724,834
DE-NO,way/1134105414-380,Norway,1000,3,0.830478044,271,835
DE-SE,DE5-380,Sweden,1000,3,0.830989045,171,833
Planned_HVDC _525Baltic,DE1-220,way/1094015892-380,2000,0.5,0.001,1,259
Planned_HVDC _525Dollern-Wilster_Brokdorf-Wilster,way/525964617,way/87722999-220,2000,0.5,0.001,663,729
Planned_HVDC _525Büttel_Brokdorf-Wilster,way/1089769599-380,way/87722999-380,2000,0.5,0.001,253,730
Planned_HVDC _525Büttel_Wilhelmshafen,way/1089769599-380,way/289836713-380,2000,0.5,0.001,253,525
Planned_HVDC _525Brokdorf_Sottrum,way/87722999-380,way/955268863-380,2000,0.5,0.001,730,788
Planned_HVDC _525Sottrum_Hanover,way/955268863-380,way/23682013-220,2000,0.5,0.001,788,409
Planned_HVDC _525Hanover_Erzhausen,way/23682013-220,DE57-380,2000,0.5,0.001,409,179
Planned_HVDC _525Erzhausen_Göttingen,DE57-380,way/952004951-380,2000,0.5,0.001,179,778
Planned_HVDC _525Göttingen_Bergheinfeld,way/952004951-380,way/499165542-380,2000,0.5,0.001,778,655
Planned_HVDC _525Bergheinfeld_Grossgartach,way/499165542-380,way/31653753-380,2000,0.5,0.001,655,562
Planned_HVDC _525Grossgartach_Riedenheim,way/31653753-380,way/1327333163-380,2000,0.5,0.001,562,291
Planned_HVDC_RheinMeinLink0,way/829116805-220,way/266684854-380,2000,0.5,0.001,716,493
Planned_HVDC_RheinMeinLink1,way/266684854-380,DE17-380,2000,0.5,0.001,493,83
Planned_HVDC_RheinMeinLink2,DE17-380,way/953015049-380,2000,0.5,0.001,83,780
Planned_HVDC_RheinMeinLink3,way/953015049-380,DE28-380,2000,0.5,0.001,780,146
Planned_HVDC_RheinMeinLink4,DE28-380,way/27739871-380,2000,0.5,0.001,146,509
Planned_HVDC_RheinMeinLink5,way/27739871-380,way/24413992-380,2000,0.5,0.001,509,427
Planned_HVDC_RheinMeinLink6,way/24413992-380,way/42681484-380,2000,0.5,0.001,427,631
Planned_HVDC_RheinMeinLink7,way/42681484-380,way/41232144-380,2000,0.5,0.001,631,611
Planned_HVDC_RheinMeinLink8,way/41232144-380,way/202747445-380,2000,0.5,0.001,611,363
Planned_HVDC_RheinMeinLink9,way/202747445-380,DE159-380,2000,0.5,0.001,363,71
Planned_HVDC_RheinMeinLink10,DE159-380,DE161-380,2000,0.5,0.001,71,74
Planned_HVDC_RheinMeinLink11,DE161-380,way/24685992-380,2000,0.5,0.001,74,445
Planned_HVDC_SuedOstLink0,way/26472665-380,DE47-220,2000,0.5,0.001,490,169
Planned_HVDC_SuedOstLink1,DE47-220,way/943939310-380,2000,0.5,0.001,169,769
Planned_HVDC_SuedOstLink2,way/943939310-380,way/29713902-380,2000,0.5,0.001,769,538
Planned_HVDC_SuedOstLink3,way/29713902-380,DE103-380,2000,0.5,0.001,538,7
Planned_HVDC_SuedOstLink4,DE103-380,way/148211527-380,2000,0.5,0.001,7,307
Planned_HVDC_SuedOstLink5,way/148211527-380,DE134-380,2000,0.5,0.001,307,40
Planned_HVDC_SuedOstLink6,DE134-380,way/152219167-220,2000,0.5,0.001,40,322
Planned_HVDC_SuedOstLink7,way/152219167-220,DE151-220,2000,0.5,0.001,322,63
Planned_HVDC_SuedOstLink8,DE151-220,way/1086825107-380,2000,0.5,0.001,63,250
Planned_HVDC_SuedOstLink9,way/1086825107-380,DE157-380,2000,0.5,0.001,250,69
Planned_HVDC_SuedOstLink10,DE157-380,way/93341407-380,2000,0.5,0.001,69,756
Planned_HVDC_SuedOstLink11,way/93341407-380,way/29084374-380,2000,0.5,0.001,756,529
Planned_HVDC_SuedOstLink12,way/29084374-380,way/28956649-380,2000,0.5,0.001,529,524
Planned_HVDC_SuedOstLink13,way/28956649-380,way/29417741-220,2000,0.5,0.001,524,534
Planned_HVDC_SuedOstLink14,way/29417741-220,way/77697810-380,2000,0.5,0.001,534,704
Planned_HVDC_NordSued0,way/147521567-380,DE168-380,2000,0.5,0.001,305,81
Planned_HVDC_NordSued1,DE168-380,way/24685992-380,2000,0.5,0.001,81,445
Planned_HVDC_NordSued2,way/24685992-380,DE156-380,2000,0.5,0.001,445,68
Planned_HVDC_NordSued3,DE156-380,way/160584794-380,2000,0.5,0.001,68,346
Planned_HVDC_NordSued4,way/160584794-380,way/395847307-380,2000,0.5,0.001,346,605
Planned_HVDC_NordSued5,way/395847307-380,way/154869247-220,2000,0.5,0.001,605,332
Planned_HVDC_NordSued6,way/154869247-220,way/42423415-380,2000,0.5,0.001,332,625
Planned_HVDC_NordSued7,way/42423415-380,way/22766160-380,2000,0.5,0.001,625,380
Planned_HVDC_NordSued8,way/22766160-380,DE138-380,2000,0.5,0.001,380,46
Planned_HVDC_NordSued9,DE138-380,way/22765517-380,2000,0.5,0.001,46,378
Planned_HVDC_NordSued10,way/22765517-380,way/23084554-380,2000,0.5,0.001,378,396
Planned_HVDC_NordSued11,way/23084554-380,DE131-220,2000,0.5,0.001,396,37
Planned_HVDC_NordSued12,DE131-220,way/188276460-220,2000,0.5,0.001,37,359
Planned_HVDC_NordSued13,way/188276460-220,way/24799890-380,2000,0.5,0.001,359,456
Planned_HVDC_NordSued14,way/24799890-380,DE127-380,2000,0.5,0.001,456,32
Planned_HVDC_NordSued15,DE127-380,DE114-380,2000,0.5,0.001,32,21
Planned_HVDC_NordSued16,DE114-380,way/93278553-220,2000,0.5,0.001,21,754
Planned_HVDC_NordSued17,way/93278553-220,DE113-220,2000,0.5,0.001,754,20
Planned_HVDC_NordSued18,DE113-220,way/23084417-220,2000,0.5,0.001,20,394
Planned_HVDC_NordSued19,way/23084417-220,DE62-380,2000,0.5,0.001,394,186
Planned_HVDC_NordSued20,DE62-380,way/979801144-380,2000,0.5,0.001,186,795
