name,bus0,bus1,s_nom,bus_id0,bus_id1
relation/14595857-380-b_relation/1641702-380-d,way/38661452-380,DE161-380,3396.206,74,601
relation/14595857-380-e_relation/1641706-380-b,DE162-380,way/169244940-380,3396.206,75,351
relation/1641702-380-a_relation/1641706-380-a,way/24685992-380,DE162-380,3396.206,75,445
relation/3866868-220,way/499165542-220,DE163-220,491.556,76,654
overlap_bus_correction98,DE164-220,way/89176939-220,1000,77,742
merged_way/8762976-380+1,DE168-380,DE165-380,3396.205,78,81
merged_way/277828184-1-380+1,way/23284340-380,DE165-380,3396.205,78,402
merged_way/106337111-1-220+1,DE166-220,DE171-220,491.556,79,85
merged_way/128714149-1-220+4,DE166-220,way/149987048-220,491.556,79,310
merged_way/202576764-1-380+1,DE167-380,DE172-380,3396.205,80,87
Planned_HVDC_NordSued0_way/169240672-380,way/147521567-380,DE168-380,5396.205,81,305
Planned_HVDC_NordSued1_way/24686637-380,DE168-380,way/24685992-380,5396.205,81,445
way/143100816-220,way/24705761-220,DE169-220,491.556,82,446
way/93258454-220,DE169-220,way/24765111-220,1474.668,82,453
merged_way/143980167-220+3,way/42410916-220,DE169-220,983.112,82,623
relation/445559-380-b,DE17-380,way/24493551-380,1698.103,83,440
Planned_HVDC_RheinMeinLink1,way/266684854-380,DE17-380,2000,83,493
relation/445559-380-a,way/44717036-380,DE17-380,1698.103,83,643
merged_way/42557078-380+2,DE17-380,way/829116805-380,3396.205,83,717
Planned_HVDC_RheinMeinLink2,DE17-380,way/953015049-380,2000,83,780
merged_way/1072230175-1-380+2,way/151967291-380,DE170-380,1698.103,84,318
way/151967297-1-380,DE170-380,way/42097854-380,3396.205,84,621
way/91655761-220,DE172-220,DE173-220,983.112,86,88
merged_way/202576764-2-220+1,way/151967290-220,DE172-220,983.112,86,315
way/128478125-2-220,DE172-220,way/151967291-220,983.112,86,317
way/128478125-1-380,DE172-380,way/151967291-380,3396.205,87,318
way/91655776-220,DE173-220,way/145680894-220,983.112,88,303
merged_way/33813956-220+2,way/1042974725-220,DE173-220,983.112,88,800
way/152924520-2-220,DE174-220,way/149987048-220,983.112,89,310
way/152924506-220,DE174-220,way/152924508-220,1966.224,89,329
merged_way/152924510-2-220+2,way/600395952-220,DE174-220,983.112,89,682
relation/1735138-220-a,way/145680894-220,DE175-220,491.556,90,303
relation/1735138-220-c,DE175-220,way/89215122-220,491.556,90,744
way/349635742-220,DE176-220,DE180-220,983.112,91,97
merged_way/143848416-220+1,way/152973139-220,DE176-220,491.556,91,330
way/145129280-220,way/156676050-220,DE176-220,491.556,91,337
way/296529805-2-220,DE177-220,way/54359256-220,983.112,92,668
merged_way/54359261-2-220+1,way/82773910-220,DE177-220,983.112,92,713
merged_way/132074206-220+1_way/131956209-1-220,way/89215122-220,DE177-220,1966.224,92,744
way/146633582-1-380,DE178-380,DE181-380,1698.103,93,98
way/153089326-1-380,DE178-380,way/207248812-380,1698.103,93,368
merged_way/1286792202-380+3,way/48057110-380,DE178-380,1698.103,93,649
merged_way/231741801-2-220+1,DE179-220,way/1327333163-220,491.556,94,290
merged_way/143901793-1-220+1,DE179-220,way/143903369-220,491.556,94,300
