name,v_nom,carrier,x,y
DE180-220,220,AC,8.7530299,49.30962609
DE181-380,380,AC,8.6700993,49.30920229
DE182-380,380,AC,8.605843,49.16169079
DE183-220,220,AC,8.321627,49.04169159
DE184-380,380,AC,9.0844334,48.95320199
DE185-380,380,AC,9.0757491,48.94575389
DE186-380,380,AC,8.8219795,48.93937229
DE187-380,380,AC,8.8342098,48.92815939
DE188-380,380,AC,9.3025725,48.88318119
DE189-380,380,AC,9.2936083,48.86634919
DE19-380,380,AC,12.01229835,53.06999993
DE190-380,380,AC,9.2403641,48.86323499
DE191-380,380,AC,9.3397477,48.84354569
DE192-380,380,AC,9.3940779,48.71817519
DE193-380,380,AC,9.4033277,48.71042649
DE194-220,220,AC,8.1001077,48.70706109
DE195-380,380,AC,9.421214407,48.67539466
DE196-380,380,AC,8.8718148,48.62833039
DE197-380,380,AC,9.350048555,48.60906051
DE198-380,380,AC,9.240195959,48.54315025
DE199-380,380,AC,9.2182231,48.53246029
DE20-380,380,AC,7.18438535,52.75621645
DE200-380,380,AC,10.2346772,48.43467519
DE201-220,220,AC,12.8651391,48.32958149
DE202-220,220,AC,10.05453307,48.31109383
DE202-380,380,AC,10.05481913,48.31128455
DE203-220,220,AC,12.99714893,48.2945713
DE204-220,220,AC,13.06402678,48.29442831
DE205-220,220,AC,10.06477996,48.27253944
DE205-380,380,AC,10.06506584,48.27273013
DE206-220,220,AC,13.05576146,48.27020227
DE207-380,380,AC,8.627626158,48.05668046
DE208-380,380,AC,8.5887872,48.04535759
DE209-380,380,AC,8.5305556,47.91484819
DE21-220,220,AC,13.21034488,52.68001802
DE211-220,220,AC,11.3045349,47.65462729
DE212-220,220,AC,11.3365743,47.62954239
DE213-380,380,AC,7.9953862,47.57836749
DE22-220,220,AC,13.47625688,52.62953996
DE22-380,380,AC,13.47658492,52.62972123
DE23-220,220,AC,13.51468766,52.61931968
DE23-380,380,AC,13.51501578,52.61950085
DE24-220,220,AC,13.5334559,52.61919433
DE24-380,380,AC,13.5337841,52.61937545
DE25-380,380,AC,12.9076739,52.59692919
DE26-380,380,AC,13.6798066,52.58468839
DE27-220,220,AC,13.6943539,52.56038756
DE27-380,380,AC,13.69468231,52.56056823
DE28-380,380,AC,9.0012677,52.53951469
DE29-220,220,AC,11.76852762,52.50430072
DE30-220,220,AC,8.40186431,52.49658071
DE30-380,380,AC,8.402169691,52.49677548
DE31-380,380,AC,7.4129489,52.47010479
DE32-220,220,AC,8.325695,52.45700399
DE33-380,380,AC,8.3057941,52.43941219
DE34-380,380,AC,8.308483,52.40315969
DE35-220,220,AC,8.297912629,52.38157647
DE35-380,380,AC,8.298216771,52.38177151
DE36-220,220,AC,10.1846439,52.30526549
DE37-220,220,AC,7.8807455,52.26568799
DE38-220,220,AC,8.1123126,52.24362339
DE39-220,220,AC,7.3719734,52.19769579
DE4-220,220,AC,10.2041312,54.3407327
DE40-220,220,AC,10.24758678,52.18899105
DE41-380,380,AC,7.381831,52.17897039
DE42-220,220,AC,8.2116205,52.17861839
DE43-220,220,AC,10.35713549,52.17604951
DE44-380,380,AC,10.9761229,52.16974479
DE45-380,380,AC,7.3986181,52.16873389
DE46-380,380,AC,14.5112165,52.16161529
DE47-220,220,AC,11.5632769,52.12414779
DE49-380,380,AC,9.412715272,52.02804271
DE5-380,380,AC,12.1304799,54.1408596
DE50-380,380,AC,6.9670047,52.00760219
DE51-220,220,AC,8.6807188,51.99684189
DE52-220,220,AC,8.6290784,51.99452089
DE53-380,380,AC,7.484673306,51.95615718
DE54-380,380,AC,6.9454549,51.92675029
DE55-220,220,AC,9.8524163,51.89876529
DE56-380,380,AC,7.6372691,51.88868729
DE57-380,380,AC,9.926370324,51.88199355
DE58-380,380,AC,14.45775273,51.83403498
DE59-220,220,AC,9.8524753,51.81831119
DE6-380,380,AC,9.3557308,53.8783433
DE60-220,220,AC,9.8759312,51.76466939
DE61-380,380,AC,7.833887761,51.75348916
DE62-220,220,AC,6.52533729,51.75308879
DE62-380,380,AC,6.52562956,51.75328827
DE63-220,220,AC,8.7391058,51.70055739
DE64-220,220,AC,7.7008697,51.69036949
DE65-380,380,AC,7.6098655,51.68884639
DE66-220,220,AC,6.855912376,51.67963526
DE66-380,380,AC,6.856205625,51.67983393
DE67-220,220,AC,6.669634143,51.67612268
DE67-380,380,AC,6.669926559,51.67632181
DE68-220,220,AC,7.456434436,51.66014681
DE68-380,380,AC,7.456730165,51.66034398
DE69-220,220,AC,7.367656109,51.62877255
DE69-380,380,AC,7.367951253,51.62896994
