demand_north,demand_south
7002.4,7002.4
6896.8,6896.8
6802.8,6802.8
6725.2,6725.2
6645.6,6645.6
6551.6,6551.6
6490.0,6490.0
6436.8,6436.8
6342.4,6342.4
6249.2,6249.2
6148.0,6148.0
6051.6,6051.6
5959.6,5959.6
5889.6,5889.6
5804.4,5804.4
5670.4,5670.4
5601.2,5601.2
5502.4,5502.4
5446.4,5446.4
5409.6,5409.6
5393.2,5393.2
5369.6,5369.6
5313.2,5313.2
5251.2,5251.2
5283.2,5283.2
5279.2,5279.2
5295.2,5295.2
5300.8,5300.8
5289.2,5289.2
5329.2,5329.2
5372.8,5372.8
5382.0,5382.0
5459.2,5459.2
5534.8,5534.8
5530.8,5530.8
5631.6,5631.6
5702.8,5702.8
5854.0,5854.0
5931.6,5931.6
6172.4,6172.4
6425.2,6425.2
6599.2,6599.2
6778.4,6778.4
6989.2,6989.2
7089.6,7089.6
7186.0,7186.0
7291.6,7291.6
7379.6,7379.6
7425.6,7425.6
7405.2,7405.2
7414.8,7414.8
7406.0,7406.0
7452.8,7452.8
7471.2,7471.2
7513.6,7513.6
7528.0,7528.0
7517.6,7517.6
7548.8,7548.8
7587.6,7587.6
7614.8,7614.8
7622.4,7622.4
7651.2,7651.2
7644.0,7644.0
7597.2,7597.2
7581.2,7581.2
7583.2,7583.2
7578.0,7578.0
7599.6,7599.6
7569.2,7569.2
7543.6,7543.6
7502.0,7502.0
7503.2,7503.2
7512.0,7512.0
7475.6,7475.6
7450.8,7450.8
7461.2,7461.2
7414.0,7414.0
7400.8,7400.8
7383.2,7383.2
7396.0,7396.0
7415.6,7415.6
7465.2,7465.2
7553.6,7553.6
7633.2,7633.2
7697.2,7697.2
7718.0,7718.0
7712.8,7712.8
7648.0,7648.0
7611.2,7611.2
7605.6,7605.6
7570.0,7570.0
7539.6,7539.6
7467.6,7467.6
7394.4,7394.4
7317.2,7317.2
7170.4,7170.4
7036.8,7036.8
6953.6,6953.6
6863.6,6863.6
6785.6,6785.6
6711.6,6711.6
6608.8,6608.8
6495.2,6495.2
6505.6,6505.6
6426.8,6426.8
6302.8,6302.8
6162.4,6162.4
