datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg
2/8/2021 13:15,68732,2898,2708
2/8/2021 13:30,68428,2898,2708
2/8/2021 13:45,67976,2898,2708
2/8/2021 14:00,67912,2898,2708
2/8/2021 14:15,67672,2898,2708
2/8/2021 14:30,67124,2898,2708
2/8/2021 14:45,66488,2898,2708
2/8/2021 15:00,65980,2898,2708
2/8/2021 15:15,65824,2898,2708
2/8/2021 15:30,65640,2898,2708
2/8/2021 15:45,65240,2898,2708
2/8/2021 16:00,65752,2898,2708
2/8/2021 16:15,65688,2898,2708
2/8/2021 16:30,65568,2898,2708
2/8/2021 16:45,65908,2898,2708
2/8/2021 17:00,66200,2898,2708
2/8/2021 17:15,65320,2898,2708
2/8/2021 17:30,65348,2898,2708
2/8/2021 17:45,65416,2898,2708
2/8/2021 18:00,65388,2898,2708
2/8/2021 18:15,65136,2898,2708
2/8/2021 18:30,65212,2898,2708
2/8/2021 18:45,65360,2898,2708
2/8/2021 19:00,65104,2898,2708
2/8/2021 19:15,65224,2898,2708
2/8/2021 19:30,65160,2898,2708
2/8/2021 19:45,64532,2898,2708
2/8/2021 20:00,63952,2898,2708
2/8/2021 20:15,63084,2898,2708
2/8/2021 20:30,62380,2898,2708
2/8/2021 20:45,61812,2898,2708
2/8/2021 21:00,61560,2898,2708
2/8/2021 21:15,60980,2898,2708
2/8/2021 21:30,60468,2898,2708
2/8/2021 21:45,59392,2898,2708
2/8/2021 22:00,58460,2898,2708
2/8/2021 22:15,57760,2898,2708
2/8/2021 22:30,57132,2898,2708
2/8/2021 22:45,56340,2898,2708
2/8/2021 23:00,55376,2898,2708
2/8/2021 23:15,54776,2898,2708
2/8/2021 23:30,54504,2898,2708
2/8/2021 23:45,54016,2898,2708
2/9/2021 0:00,53480,2898,2708
2/9/2021 0:15,53100,2898,2708
2/9/2021 0:30,52960,2898,2708
2/9/2021 0:45,52680,2898,2708
2/9/2021 1:00,52232,2898,2708
2/9/2021 1:15,52168,2898,2708
2/9/2021 1:30,52248,2898,2708
2/9/2021 1:45,52144,2898,2708
2/9/2021 2:00,52376,2898,2708
2/9/2021 2:15,52652,2898,2708
2/9/2021 2:30,52928,2898,2708
2/9/2021 2:45,53116,2898,2708
2/9/2021 3:00,53840,2898,2708
2/9/2021 3:15,54324,2898,2708
2/9/2021 3:30,54768,2898,2708
2/9/2021 3:45,55288,2898,2708
2/9/2021 4:00,56376,2898,2708
2/9/2021 4:15,56836,2898,2708
2/9/2021 4:30,57496,2898,2708
2/9/2021 4:45,58852,2898,2708
2/9/2021 5:00,60944,2898,2708
2/9/2021 5:15,62504,2898,2708
2/9/2021 5:30,63384,2898,2708
2/9/2021 5:45,64076,2898,2708
2/9/2021 6:00,65348,2898,2708
2/9/2021 6:15,66384,2898,2708
2/9/2021 6:30,67176,2898,2708
2/9/2021 6:45,68060,2898,2708
2/9/2021 7:00,68880,2898,2708
2/9/2021 7:15,69376,2898,2708
2/9/2021 7:30,69588,2898,2708
2/9/2021 7:45,70032,2898,2708
2/9/2021 8:00,69432,2898,2708
2/9/2021 8:15,69952,2898,2708
2/9/2021 8:30,70180,2898,2708
2/9/2021 8:45,70376,2898,2708
2/9/2021 9:00,70272,2898,2708
2/9/2021 9:15,70260,2898,2708
2/9/2021 9:30,70360,2898,2708
2/9/2021 9:45,70568,2898,2708
2/9/2021 10:00,71476,2898,2708
2/9/2021 10:15,72128,2898,2708
2/9/2021 10:30,72060,2898,2708
2/9/2021 10:45,71972,2898,2708
2/9/2021 11:00,71616,2898,2708
2/9/2021 11:15,71316,2898,2708
2/9/2021 11:30,70936,2898,2708
2/9/2021 11:45,70664,2898,2708
2/9/2021 12:00,70032,2898,2708
2/9/2021 12:15,69652,2898,2708
2/9/2021 12:30,69232,2898,2708
2/9/2021 12:45,68420,2898,2708
2/9/2021 13:00,68140,2898,2708
2/9/2021 13:15,67452,2898,2708
2/9/2021 13:30,66472,2898,2708
2/9/2021 13:45,66020,2898,2708
2/9/2021 14:00,65840,2898,2708
2/9/2021 14:15,65236,2898,2708
2/9/2021 14:30,64480,2898,2708
2/9/2021 14:45,64332,2898,2708
2/9/2021 15:00,64300,2898,2708
2/9/2021 15:15,64024,2898,2708
2/9/2021 15:30,63752,2898,2708
2/9/2021 15:45,63680,2898,2708
2/9/2021 16:00,63600,2898,2708
2/9/2021 16:15,63316,2898,2708
2/9/2021 16:30,63360,2898,2708
2/9/2021 16:45,63232,2898,2708
2/9/2021 17:00,63164,2898,2708
2/9/2021 17:15,62676,2898,2708
2/9/2021 17:30,63088,2898,2708
2/9/2021 17:45,63084,2898,2708
2/9/2021 18:00,63156,2898,2708
2/9/2021 18:15,62576,2898,2708
2/9/2021 18:30,62740,2898,2708
2/9/2021 18:45,62376,2898,2708
2/9/2021 19:00,62440,2898,2708
2/9/2021 19:15,62280,2898,2708
2/9/2021 19:30,62136,2898,2708
2/9/2021 19:45,60952,2898,2708
2/9/2021 20:00,60336,2898,2708
2/9/2021 20:15,59328,2898,2708
2/9/2021 20:30,58504,2898,2708
2/9/2021 20:45,57392,2898,2708
2/9/2021 21:00,56960,2898,2708
2/9/2021 21:15,56416,2898,2708
2/9/2021 21:30,55308,2898,2708
2/9/2021 21:45,54820,2898,2708
2/9/2021 22:00,53708,2898,2708
2/9/2021 22:15,52704,2898,2708
2/9/2021 22:30,51908,2898,2708
2/9/2021 22:45,51156,2898,2708
2/9/2021 23:00,49796,2898,2708
2/9/2021 23:15,48924,2898,2708
2/9/2021 23:30,48380,2898,2708
2/9/2021 23:45,47548,2898,2708
2/10/2021 0:00,46908,2898,2708
2/10/2021 0:15,46308,2898,2708
2/10/2021 0:30,45996,2898,2708
2/10/2021 0:45,46048,2898,2708
