datetime,price_EOM,price_EOM_flex,lime_co2_factor,lime_price,co2_price,grinder_availability_profile,clinker_availability_profile,fuel_price_natural_gas,target_profile,opt_power
1/7/2021 9:00,124.5,315.37,0.1,15,85,1,1,20,5.97242698,2.6804
1/7/2021 10:00,124.5,315.49,0.1,15,85,1,1,20,5.97242698,3.3505
1/7/2021 11:00,124.5,315.6,0.1,15,85,1,1,20,5.97242698,4.0206
1/7/2021 12:00,124.5,315.72,0.1,15,85,1,1,20,5.97242698,4.6907
1/7/2021 13:00,124.5,315.83,0.1,15,85,1,1,20,5.97242698,5.3608
1/7/2021 14:00,124.5,315.95,0.1,15,85,1,1,20,5.889454065,6.0309
1/7/2021 15:00,124.5,316.06,0.1,15,85,1,1,20,5.827224385,6.701
1/7/2021 16:00,124.5,316.18,0.1,15,85,1,1,20,5.7649947,6.958730769
1/7/2021 17:00,124.5,316.3,0.1,15,85,1,1,20,5.7649947,6.958730769
1/7/2021 18:00,124.5,316.41,0.1,15,85,1,1,20,5.7649947,6.958730769
1/7/2021 19:00,124.5,316.53,0.1,15,85,1,1,20,5.7649947,6.958730769
1/7/2021 20:00,124.5,316.64,0.1,15,85,1,1,20,5.7649947,6.958730769
1/7/2021 21:00,124.5,316.76,0.1,15,85,1,1,20,5.7649947,6.958730769
1/7/2021 22:00,124.5,316.88,0.1,15,85,1,1,20,5.728209455,6.701
1/7/2021 23:00,124.5,306.88,0.1,15,85,1,1,20,5.728209455,6.0309
1/8/2021 0:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,5.3608
1/8/2021 1:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,4.6907
1/8/2021 2:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,4.0206
1/8/2021 3:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,3.3505
1/8/2021 4:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,2.6804
1/8/2021 5:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,2.0103
1/8/2021 6:00,124.5,327.51,0.1,15,85,1,1,20,5.827224385,1.3402
1/8/2021 7:00,124.5,317.07,0.1,15,85,1,1,20,5.889454065,0.6701
1/8/2021 8:00,124.5,317.08,0.1,15,85,1,1,20,5.97242698,0
1/8/2021 9:00,124.5,317.08,0.1,15,85,1,1,20,5.97242698,0.6701
1/8/2021 10:00,124.5,317.08,0.1,15,85,1,1,20,5.97242698,0
1/8/2021 11:00,124.5,317.08,0.1,15,85,1,1,20,5.97242698,0.6701
1/8/2021 12:00,124.5,317.08,0.1,15,85,1,1,20,5.97242698,0
1/8/2021 13:00,124.5,317.08,0.1,15,85,1,1,20,5.97242698,0.6701
1/8/2021 14:00,124.5,317.09,0.1,15,85,1,1,20,5.889454065,1.3402
1/8/2021 15:00,124.5,317.09,0.1,15,85,0,0,20,5.827224385,2.0103
1/8/2021 16:00,124.5,317.09,0.1,15,85,0,0,20,5.7649947,2.6804
1/8/2021 17:00,124.5,317.09,0.1,15,85,0,0,20,5.7649947,3.3505
1/8/2021 18:00,124.5,317.09,0.1,15,85,0,0,20,5.7649947,2.6804
1/8/2021 19:00,124.5,317.09,0.1,15,85,0,0,20,5.7649947,2.0103
1/8/2021 20:00,124.5,317.09,0.1,15,85,1,1,20,5.7649947,1.3402
1/8/2021 21:00,124.5,317.1,0.1,15,85,1,1,20,5.7649947,0.6701
1/8/2021 22:00,124.5,306.98,0.1,15,85,1,1,20,5.728209455,0
1/8/2021 23:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,0.6701
1/9/2021 0:00,124.5,147.98,0.1,15,85,1,1,20,5.728209455,0
1/9/2021 1:00,124.5,143.64,0.1,15,85,1,1,20,5.728209455,0.6701
1/9/2021 2:00,124.5,139.08,0.1,15,85,1,1,20,5.728209455,0
1/9/2021 3:00,124.5,138.61,0.1,15,85,1,1,20,5.728209455,0.6701
1/9/2021 4:00,124.5,137.92,0.1,15,85,1,1,20,5.728209455,0
1/9/2021 5:00,124.5,140.72,0.1,15,85,1,1,20,5.728209455,0.6701
1/9/2021 6:00,124.5,138.61,0.1,15,85,1,1,20,5.827224385,0
1/9/2021 7:00,124.5,137.92,0.1,15,85,1,1,20,5.889454065,0.6701
1/9/2021 8:00,124.5,140.72,0.1,15,85,1,1,20,5.97242698,1.3402
1/9/2021 9:00,124.5,279.43,0.1,15,85,1,1,20,5.97242698,2.0103
1/9/2021 10:00,124.5,307,0.1,15,85,1,1,20,5.97242698,2.6804
1/9/2021 11:00,124.5,307,0.1,15,85,1,1,20,5.97242698,3.3505
1/9/2021 12:00,124.5,473.35,0.1,15,85,1,1,20,5.97242698,2.6804
1/9/2021 13:00,124.5,307,0.1,15,85,1,1,20,5.97242698,2.0103
1/9/2021 14:00,124.5,269.32,0.1,15,85,1,1,20,5.889454065,1.3402
1/9/2021 15:00,124.5,307.01,0.1,15,85,1,1,20,5.827224385,0.6701
1/9/2021 16:00,124.5,317.13,0.1,15,85,1,1,20,5.7649947,0
1/9/2021 17:00,124.5,317.13,0.1,15,85,1,1,20,5.7649947,0.6701
1/9/2021 18:00,124.5,317.13,0.1,15,85,1,1,20,5.7649947,0
1/9/2021 19:00,124.5,317.13,0.1,15,85,1,1,20,5.7649947,0.6701
1/9/2021 20:00,124.5,317.13,0.1,15,85,1,1,20,5.7649947,1.3402
1/9/2021 21:00,124.5,270.83,0.1,15,85,1,1,20,5.7649947,2.0103
1/9/2021 22:00,124.5,143.64,0.1,15,85,1,1,20,5.728209455,2.6804
1/9/2021 23:00,124.5,140.72,0.1,15,85,1,1,20,5.728209455,3.3505
1/10/2021 0:00,124.5,132.6,0.1,15,85,1,1,20,5.728209455,4.0206
1/10/2021 1:00,124.5,135.56,0.1,15,85,1,1,20,5.728209455,4.6907
1/10/2021 2:00,124.5,129.64,0.1,15,85,1,1,20,5.728209455,5.3608
1/10/2021 3:00,124.5,129.64,0.1,15,85,1,1,20,5.728209455,6.0309
1/10/2021 4:00,124.5,129.28,0.1,15,85,1,1,20,5.728209455,5.618530769
