name,technology,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,max_power,min_power,unit_operator,node
demand_214,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,42
demand_215,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,98
demand_216,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,170
demand_217,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,13
demand_218,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,13
demand_219,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,79
demand_220_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,79
demand_221,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,37
demand_223,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,10
demand_224,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,153
demand_225,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,176
demand_226,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,43
demand_227,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,186
demand_228,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,42
demand_229,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,42
demand_22_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,50
demand_23,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,165
demand_230,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,52
demand_231_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,46
demand_232_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,186
demand_233_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,63
demand_234,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,86
demand_235,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,7
demand_236_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,170
demand_238,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,175
demand_239,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,175
demand_240,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,1
demand_241,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,1
demand_242,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,26
demand_245,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,152
demand_246,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,152
demand_247_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,154
demand_248_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,117
demand_249,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,27
demand_24_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,45
demand_25,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,50
demand_250_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,27
demand_251_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,27
demand_252_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,27
demand_253,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,134
demand_254,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,70
demand_255,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,101
demand_256,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,12
demand_257,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,98
demand_258,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,149
demand_259,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,149
demand_260,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,51
demand_261_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,170
demand_262,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,95
